				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
飛彈	打仗	致命	武器	0.579	0.365	0.418	0.381	0.197	0.222	0.168
槍	暴力	攻打	武器	0.541	0.493	0.372	0.26	0.246	0.117	0.222
槍	血腥	攻打	武器	0.506	0.493	0.33	0.26	0.22	0.117	0.241
攻擊	國防	血腥	武器	0.503	0.338	0.387	0.33	0.211	0.196	0.145
飛彈	軍人	致命	武器	0.499	0.365	0.33	0.381	0.242	0.222	0.114
暴力	國防	攻打	武器	0.499	0.372	0.387	0.26	0.13	0.222	0.168
飛彈	打仗	死亡	武器	0.477	0.365	0.418	0.264	0.197	0.153	0.221
防禦	軍人	血腥	武器	0.466	0.466	0.33	0.33	0.246	0.191	0.223
傷害	國防	血腥	武器	0.464	0.26	0.387	0.33	0.182	0.185	0.145
槍	死亡	攻打	武器	0.444	0.493	0.264	0.26	0.223	0.117	0.234
國防	血腥	攻打	武器	0.423	0.387	0.33	0.26	0.145	0.168	0.241
飛彈	軍人	血腥	武器	0.419	0.365	0.33	0.33	0.242	0.141	0.223
飛彈	暴力	攻打	武器	0.409	0.365	0.372	0.26	0.179	0.187	0.222
死亡	國防	攻打	武器	0.401	0.264	0.387	0.26	0.108	0.234	0.168
飛彈	血腥	攻打	武器	0.387	0.365	0.33	0.26	0.141	0.187	0.241
殺人	國防	攻打	武器	0.378	0.343	0.387	0.26	0.208	0.237	0.168
飛彈	軍人	攻打	武器	0.371	0.365	0.33	0.26	0.242	0.187	0.156
傷害	國防	攻打	武器	0.346	0.26	0.387	0.26	0.182	0.211	0.168
飛彈	死亡	攻打	武器	0.316	0.365	0.264	0.26	0.153	0.187	0.234
軍人	血腥	攻打	武器	0.3	0.33	0.33	0.26	0.223	0.156	0.241
傷害	軍人	血腥	武器	0.267	0.26	0.33	0.33	0.245	0.185	0.223
傷害	軍人	攻打	武器	0.239	0.26	0.33	0.26	0.245	0.211	0.156
傷害	血腥	攻打	武器	0.213	0.26	0.33	0.26	0.185	0.211	0.241
