				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
園遊會	顏色	高空	氣球	0.747	0.344	0.368	0.381	0.127	0.205	0.014
氫氣	飄	彩色	氣球	0.74	0.483	0.333	0.332	0.153	0.164	0.091
顏色	高空	膨脹	氣球	0.733	0.368	0.381	0.287	0.014	0.224	0.066
氫氣	飄	玩具	氣球	0.733	0.483	0.333	0.335	0.153	0.229	0.037
氫氣	小孩	飄	氣球	0.719	0.483	0.3	0.333	0.177	0.153	0.067
氫氣	小孩子	飛	氣球	0.708	0.483	0.316	0.406	0.19	0.217	0.09
氫氣	飄	小孩子	氣球	0.697	0.483	0.333	0.316	0.153	0.19	0.092
升空	園遊會	顏色	氣球	0.694	0.433	0.344	0.368	0.24	0.084	0.127
氫氣	園遊會	飛	氣球	0.693	0.483	0.344	0.406	0.163	0.217	0.16
氫氣	飄	園遊會	氣球	0.691	0.483	0.333	0.344	0.153	0.163	0.154
氫氣	彩色	飛	氣球	0.69	0.483	0.332	0.406	0.164	0.217	0.151
氫氣	小孩	飛	氣球	0.688	0.483	0.3	0.406	0.177	0.217	0.107
顏色	高空	玩具	氣球	0.674	0.368	0.381	0.335	0.014	0.205	0.191
小孩	升空	顏色	氣球	0.672	0.3	0.433	0.368	0.195	0.15	0.084
飄	高空	玩具	氣球	0.664	0.333	0.381	0.335	0.158	0.037	0.191
氫氣	園遊會	彩色	氣球	0.662	0.483	0.344	0.332	0.163	0.164	0.17
小孩	顏色	高空	氣球	0.655	0.3	0.368	0.381	0.15	0.229	0.014
小孩	圓形	升空	氣球	0.651	0.3	0.408	0.433	0.153	0.195	0.143
圓形	升空	小孩子	氣球	0.649	0.408	0.433	0.316	0.143	0.182	0.183
天空	氫氣	園遊會	氣球	0.647	0.326	0.483	0.344	0.157	0.187	0.163
升空	小孩子	顏色	氣球	0.646	0.433	0.316	0.368	0.183	0.084	0.203
爆破	園遊會	顏色	氣球	0.639	0.304	0.344	0.368	0.151	0.098	0.127
天空	氫氣	慶祝	氣球	0.639	0.326	0.483	0.313	0.157	0.095	0.231
圓形	升空	玩具	氣球	0.637	0.408	0.433	0.335	0.143	0.176	0.221
高空	玩具	膨脹	氣球	0.628	0.381	0.335	0.287	0.191	0.066	0.12
升空	顏色	玩具	氣球	0.626	0.433	0.368	0.335	0.084	0.221	0.205
氫氣	飛	玩具	氣球	0.623	0.483	0.406	0.335	0.217	0.229	0.156
飛行	小孩子	膨脹	氣球	0.619	0.477	0.316	0.287	0.164	0.229	0.067
飛行	園遊會	彩色	氣球	0.617	0.477	0.344	0.332	0.159	0.207	0.17
氫氣	彩色	慶祝	氣球	0.616	0.483	0.332	0.313	0.164	0.231	0.117
圓形	高空	玩具	氣球	0.615	0.408	0.381	0.335	0.143	0.176	0.191
小孩	飛行	膨脹	氣球	0.614	0.3	0.477	0.287	0.146	0.075	0.229
小孩子	飛	膨脹	氣球	0.612	0.316	0.406	0.287	0.09	0.067	0.24
天空	氫氣	飄	氣球	0.61	0.326	0.483	0.333	0.157	0.223	0.153
小孩子	高空	膨脹	氣球	0.609	0.316	0.381	0.287	0.243	0.067	0.066
園遊會	高空	膨脹	氣球	0.608	0.344	0.381	0.287	0.205	0.134	0.066
升空	園遊會	兒童	氣球	0.606	0.433	0.344	0.362	0.24	0.066	0.226
爆炸	園遊會	顏色	氣球	0.605	0.307	0.344	0.368	0.157	0.129	0.127
小孩子	顏色	高空	氣球	0.605	0.316	0.368	0.381	0.203	0.243	0.014
