				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
攤販	可口	柳丁	水果	0.772	0.396	0.385	0.489	0.132	0.179	0.186
健康	柳丁	拼盤	水果	0.752	0.317	0.489	0.462	0.156	0.143	0.216
美容	柳丁	拼盤	水果	0.742	0.363	0.489	0.462	0.188	0.168	0.216
攤販	美味	柳丁	水果	0.72	0.396	0.457	0.489	0.242	0.179	0.201
消化	柳丁	拼盤	水果	0.708	0.285	0.489	0.462	0.168	0.144	0.216
香甜	美容	拼盤	水果	0.701	0.441	0.363	0.462	0.2	0.197	0.168
可口	柳丁	拼盤	水果	0.691	0.385	0.489	0.462	0.186	0.243	0.216
美味	纖維	柳丁	水果	0.671	0.457	0.263	0.489	0.147	0.201	0.19
健康	攤販	柳丁	水果	0.67	0.317	0.396	0.489	0.196	0.156	0.179
攤販	甜	冰箱	水果	0.661	0.396	0.38	0.431	0.115	0.23	0.201
新鮮	美容	柳丁	水果	0.659	0.363	0.363	0.489	0.189	0.179	0.188
攤販	美容	柳丁	水果	0.652	0.396	0.363	0.489	0.229	0.179	0.188
攤販	多汁	冰箱	水果	0.648	0.396	0.429	0.431	0.163	0.23	0.215
甜美	攤販	冰箱	水果	0.648	0.367	0.396	0.431	0.114	0.203	0.23
美味	維他命	柳丁	水果	0.647	0.457	0.348	0.489	0.208	0.201	0.237
甜美	拼盤	冰箱	水果	0.64	0.367	0.462	0.431	0.184	0.203	0.232
香甜	拼盤	刀子	水果	0.639	0.441	0.462	0.364	0.197	0.227	0.204
蘋果	美容	吃	水果	0.634	0.433	0.363	0.467	0.186	0.228	0.215
攤販	消化	柳丁	水果	0.627	0.396	0.285	0.489	0.196	0.179	0.168
香甜	攤販	美容	水果	0.619	0.441	0.396	0.363	0.153	0.2	0.229
甜	拼盤	冰箱	水果	0.615	0.38	0.462	0.431	0.225	0.201	0.232
可口	纖維	柳丁	水果	0.612	0.385	0.263	0.489	0.149	0.186	0.19
甜美	拼盤	刀子	水果	0.611	0.367	0.462	0.364	0.184	0.194	0.204
消化	拼盤	刀子	水果	0.61	0.285	0.462	0.364	0.144	0.153	0.204
美容	甜	拼盤	水果	0.608	0.363	0.38	0.462	0.205	0.168	0.225
健康	拼盤	冰箱	水果	0.606	0.317	0.462	0.431	0.143	0.229	0.232
多汁	芭樂	冰箱	水果	0.605	0.429	0.38	0.431	0.239	0.215	0.182
好吃	纖維	柳丁	水果	0.604	0.426	0.263	0.489	0.157	0.227	0.19
攤販	美容	多汁	水果	0.6	0.396	0.363	0.429	0.229	0.163	0.197
維他命	可口	柳丁	水果	0.598	0.348	0.385	0.489	0.2	0.237	0.186
健康	芭樂	冰箱	水果	0.595	0.317	0.38	0.431	0.123	0.229	0.182
好吃	維他命	柳丁	水果	0.593	0.426	0.348	0.489	0.205	0.227	0.237
攤販	美容	甜	水果	0.591	0.396	0.363	0.38	0.229	0.115	0.205
