				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
整治	魚蝦	瀑布	河川	0.663	0.339	0.331	0.407	0.157	0.142	0.114
海洋	整治	小橋	河川	0.62	0.406	0.339	0.259	0.18	0.074	0.129
整治	冰河	魚蝦	河川	0.613	0.339	0.331	0.331	0.127	0.157	0.103
大海	橋樑	整治	河川	0.598	0.424	0.328	0.339	0.167	0.099	0.226
小魚	整治	瀑布	河川	0.589	0.293	0.339	0.407	0.09	0.218	0.142
海洋	整治	瀑布	河川	0.584	0.406	0.339	0.407	0.18	0.246	0.142
大海	整治	小橋	河川	0.566	0.424	0.339	0.259	0.099	0.227	0.129
污染	流水	橋樑	河川	0.564	0.372	0.328	0.328	0.153	0.157	0.154
污染	小魚	蜿蜒	河川	0.56	0.372	0.293	0.322	0.159	0.161	0.107
污染	冰河	小橋	河川	0.554	0.372	0.331	0.259	0.186	0.073	0.148
小魚	整治	冰河	河川	0.548	0.293	0.339	0.331	0.09	0.198	0.127
流水	海洋	橋樑	河川	0.539	0.328	0.406	0.328	0.187	0.154	0.182
污染	小魚	瀑布	河川	0.525	0.372	0.293	0.407	0.159	0.17	0.218
整治	冰河	小橋	河川	0.524	0.339	0.331	0.259	0.127	0.129	0.148
清澈	橋樑	冰河	河川	0.523	0.362	0.328	0.331	0.108	0.224	0.165
小魚	整治	蜿蜒	河川	0.523	0.293	0.339	0.322	0.09	0.107	0.234
污染	橋樑	冰河	河川	0.522	0.372	0.328	0.331	0.157	0.186	0.165
水流	整治	魚蝦	河川	0.521	0.452	0.339	0.331	0.214	0.229	0.157
整治	蜿蜒	魚蝦	河川	0.514	0.339	0.322	0.331	0.234	0.157	0.086
流水	海洋	整治	河川	0.503	0.328	0.406	0.339	0.187	0.203	0.18
海洋	氾濫	小橋	河川	0.499	0.406	0.253	0.259	0.121	0.074	0.224
水流	橋樑	整治	河川	0.497	0.452	0.328	0.339	0.182	0.214	0.226
小魚	整治	自然	河川	0.492	0.293	0.339	0.286	0.09	0.116	0.219
海洋	氾濫	瀑布	河川	0.488	0.406	0.253	0.407	0.121	0.246	0.211
海洋	橋樑	整治	河川	0.485	0.406	0.328	0.339	0.182	0.18	0.226
自然	蜿蜒	魚蝦	河川	0.481	0.286	0.322	0.331	0.222	0.15	0.086
海洋	氾濫	蜿蜒	河川	0.479	0.406	0.253	0.322	0.121	0.206	0.176
橋樑	整治	冰河	河川	0.479	0.328	0.339	0.331	0.226	0.165	0.127
流水	海洋	氾濫	河川	0.478	0.328	0.406	0.253	0.187	0.201	0.121
清澈	橋樑	整治	河川	0.469	0.362	0.328	0.339	0.108	0.226	0.226
小魚	自然	蜿蜒	河川	0.456	0.293	0.286	0.322	0.116	0.107	0.222
清澈	整治	冰河	河川	0.454	0.362	0.339	0.331	0.226	0.224	0.127
污染	小魚	橋樑	河川	0.453	0.372	0.293	0.328	0.159	0.157	0.224
污染	小魚	冰河	河川	0.453	0.372	0.293	0.331	0.159	0.186	0.198
污染	蜿蜒	釣魚	河川	0.451	0.372	0.322	0.28	0.161	0.233	0.129
流水	整治	魚蝦	河川	0.45	0.328	0.339	0.331	0.203	0.188	0.157
自然	冰河	魚蝦	河川	0.448	0.286	0.331	0.331	0.246	0.15	0.103
海洋	整治	蜿蜒	河川	0.447	0.406	0.339	0.322	0.18	0.206	0.234
流水	橋樑	自然	河川	0.446	0.328	0.328	0.286	0.154	0.196	0.145
污染	釣魚	瀑布	河川	0.444	0.372	0.28	0.407	0.233	0.17	0.211
海洋	蜿蜒	釣魚	河川	0.437	0.406	0.322	0.28	0.206	0.237	0.129
污染	流水	小魚	河川	0.434	0.372	0.328	0.293	0.153	0.159	0.247
水	蜿蜒	魚蝦	河川	0.429	0.301	0.322	0.331	0.213	0.225	0.086
整治	自然	魚蝦	河川	0.429	0.339	0.286	0.331	0.219	0.157	0.15
橋樑	水	冰河	河川	0.428	0.328	0.301	0.331	0.146	0.165	0.221
大海	氾濫	環保	河川	0.422	0.424	0.253	0.298	0.118	0.194	0.241
小魚	橋樑	自然	河川	0.422	0.293	0.328	0.286	0.224	0.116	0.145
流水	小魚	整治	河川	0.421	0.328	0.293	0.339	0.247	0.203	0.09
小魚	橋樑	整治	河川	0.42	0.293	0.328	0.339	0.224	0.09	0.226
水	整治	冰河	河川	0.415	0.301	0.339	0.331	0.207	0.221	0.127
水	冰河	魚蝦	河川	0.413	0.301	0.331	0.331	0.221	0.225	0.103
流水	橋樑	整治	河川	0.412	0.328	0.328	0.339	0.154	0.203	0.226
流水	自然	魚蝦	河川	0.411	0.328	0.286	0.331	0.196	0.188	0.15
水	蜿蜒	釣魚	河川	0.409	0.301	0.322	0.28	0.213	0.152	0.129
整治	自然	小橋	河川	0.405	0.339	0.286	0.259	0.219	0.129	0.129
自然	蜿蜒	釣魚	河川	0.4	0.286	0.322	0.28	0.222	0.137	0.129
海洋	釣魚	瀑布	河川	0.4	0.406	0.28	0.407	0.237	0.246	0.211
污染	冰河	釣魚	河川	0.398	0.372	0.331	0.28	0.186	0.233	0.166
污染	流水	釣魚	河川	0.393	0.372	0.328	0.28	0.153	0.233	0.202
流水	海洋	釣魚	河川	0.388	0.328	0.406	0.28	0.187	0.202	0.237
橋樑	水	整治	河川	0.388	0.328	0.301	0.339	0.146	0.226	0.207
橋樑	自然	冰河	河川	0.388	0.328	0.286	0.331	0.145	0.165	0.246
流水	橋樑	游泳	河川	0.388	0.328	0.328	0.31	0.154	0.23	0.194
清澈	冰河	釣魚	河川	0.385	0.362	0.331	0.28	0.224	0.197	0.166
水	整治	魚蝦	河川	0.381	0.301	0.339	0.331	0.207	0.225	0.157
水	冰河	釣魚	河川	0.374	0.301	0.331	0.28	0.221	0.152	0.166
流水	環保	游泳	河川	0.369	0.328	0.298	0.31	0.095	0.23	0.242
大海	氾濫	小橋	河川	0.366	0.424	0.253	0.259	0.118	0.227	0.224
小魚	橋樑	冰河	河川	0.364	0.293	0.328	0.331	0.224	0.198	0.165
橋樑	整治	自然	河川	0.362	0.328	0.339	0.286	0.226	0.145	0.219
整治	自然	冰河	河川	0.362	0.339	0.286	0.331	0.219	0.127	0.246
水	整治	小橋	河川	0.362	0.301	0.339	0.259	0.207	0.2	0.129
橋樑	整治	游泳	河川	0.36	0.328	0.339	0.31	0.226	0.194	0.196
流水	自然	釣魚	河川	0.358	0.328	0.286	0.28	0.196	0.202	0.137
大海	小橋	環保	河川	0.353	0.424	0.259	0.298	0.227	0.194	0.206
水	氾濫	冰河	河川	0.352	0.301	0.253	0.331	0.149	0.221	0.162
清澈	冰河	環保	河川	0.352	0.362	0.331	0.298	0.224	0.22	0.193
自然	冰河	小橋	河川	0.351	0.286	0.331	0.259	0.246	0.129	0.148
小魚	自然	冰河	河川	0.349	0.293	0.286	0.331	0.116	0.198	0.246
流水	氾濫	自然	河川	0.349	0.328	0.253	0.286	0.201	0.196	0.12
流水	小魚	自然	河川	0.348	0.328	0.293	0.286	0.247	0.196	0.116
流水	整治	游泳	河川	0.348	0.328	0.339	0.31	0.203	0.23	0.196
自然	冰河	釣魚	河川	0.347	0.286	0.331	0.28	0.246	0.137	0.166
氾濫	自然	蜿蜒	河川	0.343	0.253	0.286	0.322	0.12	0.176	0.222
流水	氾濫	環保	河川	0.342	0.328	0.253	0.298	0.201	0.095	0.241
氾濫	自然	冰河	河川	0.341	0.253	0.286	0.331	0.12	0.162	0.246
冰河	小橋	環保	河川	0.34	0.331	0.259	0.298	0.148	0.193	0.206
水	氾濫	蜿蜒	河川	0.338	0.301	0.253	0.322	0.149	0.213	0.176
流水	整治	自然	河川	0.334	0.328	0.339	0.286	0.203	0.196	0.219
氾濫	環保	瀑布	河川	0.333	0.253	0.298	0.407	0.241	0.211	0.172
水	蜿蜒	環保	河川	0.328	0.301	0.322	0.298	0.213	0.24	0.141
氾濫	自然	小橋	河川	0.324	0.253	0.286	0.259	0.12	0.224	0.129
流水	小魚	橋樑	河川	0.323	0.328	0.293	0.328	0.247	0.154	0.224
水	冰河	小橋	河川	0.321	0.301	0.331	0.259	0.221	0.2	0.148
氾濫	蜿蜒	環保	河川	0.316	0.253	0.322	0.298	0.176	0.241	0.141
氾濫	冰河	小橋	河川	0.308	0.253	0.331	0.259	0.162	0.224	0.148
水	整治	蜿蜒	河川	0.307	0.301	0.339	0.322	0.207	0.213	0.234
流水	氾濫	游泳	河川	0.295	0.328	0.253	0.31	0.201	0.23	0.165
氾濫	冰河	環保	河川	0.285	0.253	0.331	0.298	0.162	0.241	0.193
水	冰河	環保	河川	0.276	0.301	0.331	0.298	0.221	0.24	0.193
整治	自然	蜿蜒	河川	0.271	0.339	0.286	0.322	0.219	0.234	0.222
水	氾濫	小橋	河川	0.239	0.301	0.253	0.259	0.149	0.2	0.224
水	氾濫	環保	河川	0.222	0.301	0.253	0.298	0.149	0.24	0.241
氾濫	環保	游泳	河川	0.213	0.253	0.298	0.31	0.241	0.165	0.242
水	小橋	環保	河川	0.212	0.301	0.259	0.298	0.2	0.24	0.206
氾濫	小橋	環保	河川	0.139	0.253	0.259	0.298	0.224	0.241	0.206
