				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
小魚	污染	蜿蜒	河流	0.769	0.311	0.396	0.49	0.159	0.107	0.161
魚蝦	生命	蜿蜒	河流	0.767	0.372	0.35	0.49	0.124	0.086	0.234
小魚	蜿蜒	垃圾	河流	0.736	0.311	0.49	0.311	0.107	0.158	0.11
污染	魚	蜿蜒	河流	0.735	0.396	0.263	0.49	0.166	0.161	0.087
魚蝦	蜿蜒	垃圾	河流	0.73	0.372	0.49	0.311	0.086	0.246	0.11
污染	蜿蜒	水溝	河流	0.699	0.396	0.49	0.38	0.161	0.196	0.209
污染	石頭	蜿蜒	河流	0.692	0.396	0.314	0.49	0.16	0.161	0.187
海洋	蜿蜒	水溝	河流	0.686	0.412	0.49	0.38	0.206	0.182	0.209
生命	蜿蜒	水溝	河流	0.68	0.35	0.49	0.38	0.234	0.097	0.209
大海	彎曲	灌溉	河流	0.676	0.442	0.295	0.478	0.156	0.211	0.172
魚	蜿蜒	垃圾	河流	0.668	0.263	0.49	0.311	0.087	0.199	0.11
污染	淡水	綿延	河流	0.651	0.396	0.357	0.311	0.249	0.121	0.044
魚蝦	蜿蜒	鄉村	河流	0.65	0.372	0.49	0.304	0.086	0.231	0.197
污染	蜿蜒	淡水	河流	0.647	0.396	0.49	0.357	0.161	0.249	0.185
彎曲	海洋	涓涓	河流	0.645	0.295	0.412	0.38	0.097	0.182	0.164
魚	生命	蜿蜒	河流	0.641	0.263	0.35	0.49	0.14	0.087	0.234
污染	小橋	淡水	河流	0.641	0.396	0.341	0.357	0.073	0.249	0.132
大海	流動	灌溉	河流	0.636	0.442	0.312	0.478	0.15	0.211	0.235
小魚	灌溉	垃圾	河流	0.629	0.311	0.478	0.311	0.069	0.158	0.244
小魚	灌溉	綿延	河流	0.625	0.311	0.478	0.311	0.069	0.167	0.239
小魚	生命	蜿蜒	河流	0.621	0.311	0.35	0.49	0.187	0.107	0.234
污染	蜿蜒	鄉村	河流	0.621	0.396	0.49	0.304	0.161	0.21	0.197
海洋	蜿蜒	鄉村	河流	0.616	0.412	0.49	0.304	0.206	0.186	0.197
海洋	涓涓	水溝	河流	0.616	0.412	0.38	0.38	0.164	0.182	0.212
大海	灌溉	小橋	河流	0.615	0.442	0.478	0.341	0.211	0.227	0.209
石頭	蜿蜒	淡水	河流	0.613	0.314	0.49	0.357	0.187	0.175	0.185
石頭	海洋	蜿蜒	河流	0.61	0.314	0.412	0.49	0.214	0.187	0.206
彎曲	灌溉	垃圾	河流	0.605	0.295	0.478	0.311	0.172	0.063	0.244
彎曲	海洋	潺潺	河流	0.604	0.295	0.412	0.445	0.097	0.234	0.218
蜿蜒	淡水	鄉村	河流	0.6	0.49	0.357	0.304	0.185	0.197	0.167
彎曲	海洋	流水	河流	0.599	0.295	0.412	0.367	0.097	0.191	0.187
蜿蜒	垃圾	鄉村	河流	0.598	0.49	0.311	0.304	0.11	0.197	0.199
彎曲	涓涓	淡水	河流	0.598	0.295	0.38	0.357	0.182	0.067	0.185
大海	灌溉	鄉村	河流	0.594	0.442	0.478	0.304	0.211	0.176	0.242
海洋	潺潺	水溝	河流	0.593	0.412	0.445	0.38	0.218	0.182	0.246
污染	流水	綿延	河流	0.591	0.396	0.367	0.311	0.153	0.121	0.209
污染	石頭	涓涓	河流	0.59	0.396	0.314	0.38	0.16	0.164	0.177
污染	魚	涓涓	河流	0.588	0.396	0.263	0.38	0.166	0.164	0.122
海洋	涓涓	鄉村	河流	0.588	0.412	0.38	0.304	0.164	0.186	0.158
彎曲	潺潺	垃圾	河流	0.587	0.295	0.445	0.311	0.234	0.063	0.167
海洋	潺潺	鄉村	河流	0.587	0.412	0.445	0.304	0.218	0.186	0.171
污染	涓涓	水溝	河流	0.584	0.396	0.38	0.38	0.164	0.196	0.212
生命	蜿蜒	垃圾	河流	0.581	0.35	0.49	0.311	0.234	0.225	0.11
污染	魚	潺潺	河流	0.581	0.396	0.263	0.445	0.166	0.199	0.159
污染	潺潺	水溝	河流	0.58	0.396	0.445	0.38	0.199	0.196	0.246
彎曲	淡水	潺潺	河流	0.577	0.295	0.357	0.445	0.067	0.234	0.218
生命	小橋	垃圾	河流	0.575	0.35	0.341	0.311	0.07	0.225	0.133
魚蝦	生命	流水	河流	0.573	0.372	0.35	0.367	0.124	0.188	0.205
淡水	流水	綿延	河流	0.572	0.357	0.367	0.311	0.21	0.044	0.209
彎曲	海洋	細水	河流	0.572	0.295	0.412	0.297	0.097	0.215	0.12
小魚	污染	綿延	河流	0.571	0.311	0.396	0.311	0.159	0.167	0.121
大海	灌溉	綿延	河流	0.566	0.442	0.478	0.311	0.211	0.215	0.239
小魚	蜿蜒	鄉村	河流	0.565	0.311	0.49	0.304	0.107	0.234	0.197
污染	潺潺	鄉村	河流	0.565	0.396	0.445	0.304	0.199	0.21	0.171
魚蝦	潺潺	鄉村	河流	0.563	0.372	0.445	0.304	0.155	0.231	0.171
魚蝦	彎曲	灌溉	河流	0.562	0.372	0.295	0.478	0.24	0.17	0.172
污染	石頭	潺潺	河流	0.562	0.396	0.314	0.445	0.16	0.199	0.235
魚	灌溉	綿延	河流	0.562	0.263	0.478	0.311	0.102	0.15	0.239
魚蝦	潺潺	垃圾	河流	0.561	0.372	0.445	0.311	0.155	0.246	0.167
石頭	生命	蜿蜒	河流	0.558	0.314	0.35	0.49	0.174	0.187	0.234
小魚	流動	灌溉	河流	0.558	0.311	0.312	0.478	0.238	0.069	0.235
生命	蜿蜒	鄉村	河流	0.553	0.35	0.49	0.304	0.234	0.158	0.197
石頭	海洋	涓涓	河流	0.552	0.314	0.412	0.38	0.214	0.177	0.164
生命	流水	水溝	河流	0.552	0.35	0.367	0.38	0.205	0.097	0.244
彎曲	淡水	流水	河流	0.55	0.295	0.357	0.367	0.067	0.191	0.21
污染	流水	水溝	河流	0.55	0.396	0.367	0.38	0.153	0.196	0.244
淡水	潺潺	鄉村	河流	0.55	0.357	0.445	0.304	0.218	0.167	0.171
污染	涓涓	鄉村	河流	0.548	0.396	0.38	0.304	0.164	0.21	0.158
小魚	灌溉	鄉村	河流	0.547	0.311	0.478	0.304	0.069	0.234	0.242
海洋	流水	鄉村	河流	0.547	0.412	0.367	0.304	0.187	0.186	0.163
海洋	流水	水溝	河流	0.547	0.412	0.367	0.38	0.187	0.182	0.244
灌溉	小橋	垃圾	河流	0.546	0.478	0.341	0.311	0.209	0.244	0.133
污染	流水	鄉村	河流	0.542	0.396	0.367	0.304	0.153	0.21	0.163
魚蝦	涓涓	鄉村	河流	0.541	0.372	0.38	0.304	0.125	0.231	0.158
小魚	污染	涓涓	河流	0.536	0.311	0.396	0.38	0.159	0.228	0.164
污染	涓涓	淡水	河流	0.536	0.396	0.38	0.357	0.164	0.249	0.185
彎曲	涓涓	垃圾	河流	0.535	0.295	0.38	0.311	0.182	0.063	0.206
污染	魚	綿延	河流	0.534	0.396	0.263	0.311	0.166	0.121	0.15
灌溉	垃圾	綿延	河流	0.533	0.478	0.311	0.311	0.244	0.239	0.086
污染	淡水	潺潺	河流	0.532	0.396	0.357	0.445	0.249	0.199	0.218
涓涓	淡水	鄉村	河流	0.531	0.38	0.357	0.304	0.185	0.158	0.167
海洋	流水	綿延	河流	0.529	0.412	0.367	0.311	0.187	0.165	0.209
污染	石頭	流水	河流	0.528	0.396	0.314	0.367	0.16	0.153	0.237
清澈	彎曲	垃圾	河流	0.528	0.409	0.295	0.311	0.181	0.242	0.063
潺潺	垃圾	鄉村	河流	0.524	0.445	0.311	0.304	0.167	0.171	0.199
小魚	垃圾	綿延	河流	0.522	0.311	0.311	0.311	0.158	0.167	0.086
海洋	細水	鄉村	河流	0.516	0.412	0.297	0.304	0.12	0.186	0.191
小魚	污染	流水	河流	0.516	0.311	0.396	0.367	0.159	0.247	0.153
石頭	涓涓	淡水	河流	0.514	0.314	0.38	0.357	0.177	0.175	0.185
彎曲	生命	垃圾	河流	0.513	0.295	0.35	0.311	0.154	0.063	0.225
清澈	垃圾	綿延	河流	0.513	0.409	0.311	0.311	0.242	0.191	0.086
魚蝦	生命	鄉村	河流	0.512	0.372	0.35	0.304	0.124	0.231	0.158
彎曲	細水	淡水	河流	0.512	0.295	0.297	0.357	0.215	0.067	0.154
魚蝦	灌溉	鄉村	河流	0.51	0.372	0.478	0.304	0.17	0.231	0.242
污染	淡水	流水	河流	0.509	0.396	0.357	0.367	0.249	0.153	0.21
魚	灌溉	垃圾	河流	0.508	0.263	0.478	0.311	0.102	0.199	0.244
魚蝦	流動	灌溉	河流	0.508	0.372	0.312	0.478	0.249	0.17	0.235
石頭	海洋	潺潺	河流	0.506	0.314	0.412	0.445	0.214	0.235	0.218
魚蝦	灌溉	綿延	河流	0.504	0.372	0.478	0.311	0.17	0.248	0.239
魚蝦	灌溉	垃圾	河流	0.502	0.372	0.478	0.311	0.17	0.246	0.244
魚蝦	彎曲	涓涓	河流	0.5	0.372	0.295	0.38	0.24	0.125	0.182
魚蝦	彎曲	生命	河流	0.498	0.372	0.295	0.35	0.24	0.124	0.154
污染	彎曲	淡水	河流	0.498	0.396	0.295	0.357	0.233	0.249	0.067
魚	潺潺	垃圾	河流	0.496	0.263	0.445	0.311	0.159	0.199	0.167
