				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
乾淨	唱歌	浴盆	洗澡	0.739	0.303	0.444	0.45	0.133	0.153	0.172
清潔	唱歌	浴盆	洗澡	0.726	0.368	0.444	0.45	0.182	0.183	0.172
享受	香皂	鴨子	洗澡	0.703	0.275	0.474	0.263	0.116	0.029	0.164
享受	香皂	水	洗澡	0.666	0.275	0.474	0.362	0.116	0.086	0.243
肥皂	享受	鴨子	洗澡	0.647	0.475	0.275	0.263	0.129	0.208	0.029
乾淨	香皂	唱歌	洗澡	0.647	0.303	0.474	0.444	0.216	0.133	0.225
唱歌	清爽	浴盆	洗澡	0.644	0.444	0.299	0.45	0.207	0.172	0.17
沐浴乳	享受	鴨子	洗澡	0.643	0.489	0.275	0.263	0.177	0.178	0.029
熱水	唱歌	清爽	洗澡	0.638	0.476	0.444	0.299	0.137	0.238	0.207
沐浴乳	享受	水	洗澡	0.634	0.489	0.275	0.362	0.177	0.229	0.086
沐浴乳	愉快	水	洗澡	0.629	0.489	0.294	0.362	0.189	0.229	0.098
舒服	香皂	鴨子	洗澡	0.628	0.385	0.474	0.263	0.207	0.123	0.164
乾淨	肥皂	唱歌	洗澡	0.623	0.303	0.475	0.444	0.248	0.133	0.217
唱歌	清爽	馬桶	洗澡	0.621	0.444	0.299	0.431	0.207	0.221	0.126
香皂	唱歌	水	洗澡	0.612	0.474	0.444	0.362	0.225	0.243	0.2
香皂	放鬆	水	洗澡	0.605	0.474	0.299	0.362	0.176	0.243	0.112
沐浴乳	放鬆	水	洗澡	0.599	0.489	0.299	0.362	0.21	0.229	0.112
愉快	香皂	水	洗澡	0.596	0.294	0.474	0.362	0.194	0.098	0.243
舒服	肥皂	鴨子	洗澡	0.595	0.385	0.475	0.263	0.197	0.123	0.208
肥皂	放鬆	鴨子	洗澡	0.593	0.475	0.299	0.263	0.103	0.208	0.132
舒服	香皂	水	洗澡	0.593	0.385	0.474	0.362	0.207	0.179	0.243
熱水	泡沫	唱歌	洗澡	0.583	0.476	0.257	0.444	0.228	0.137	0.23
清潔	唱歌	水	洗澡	0.583	0.368	0.444	0.362	0.182	0.209	0.2
乾淨	享受	香皂	洗澡	0.581	0.303	0.275	0.474	0.138	0.216	0.116
清潔	享受	泡泡	洗澡	0.571	0.368	0.275	0.39	0.173	0.14	0.15
乾淨	唱歌	水	洗澡	0.567	0.303	0.444	0.362	0.133	0.208	0.2
香皂	放鬆	鴨子	洗澡	0.564	0.474	0.299	0.263	0.176	0.164	0.132
沐浴乳	愉快	鴨子	洗澡	0.556	0.489	0.294	0.263	0.189	0.178	0.123
