				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
蔚藍	垃圾	地形	海岸	0.605	0.441	0.284	0.367	0.161	0.122	0.204
陸地	漂亮	堤防	海岸	0.576	0.412	0.286	0.379	0.099	0.211	0.19
陸地	浪漫	砂石	海岸	0.565	0.412	0.377	0.333	0.193	0.226	0.139
陸地	漂亮	砂石	海岸	0.559	0.412	0.286	0.333	0.099	0.226	0.147
漂亮	船	山脈	海岸	0.546	0.286	0.356	0.356	0.159	0.137	0.156
垃圾	藍色	沙岸	海岸	0.544	0.284	0.301	0.466	0.151	0.175	0.182
海水	漂亮	山脈	海岸	0.541	0.43	0.286	0.356	0.198	0.196	0.137
陸地	浪漫	堤防	海岸	0.54	0.412	0.377	0.379	0.193	0.211	0.224
浪漫	船	山脈	海岸	0.537	0.377	0.356	0.356	0.207	0.188	0.156
浪漫	山脈	珊瑚礁	海岸	0.533	0.377	0.356	0.455	0.188	0.222	0.244
垃圾	藍色	地形	海岸	0.523	0.284	0.301	0.367	0.151	0.204	0.074
花蓮	浪漫	船隻	海岸	0.516	0.268	0.377	0.394	0.187	0.147	0.189
浪濤	漂亮	地形	海岸	0.511	0.27	0.286	0.367	0.057	0.172	0.182
浪濤	浪漫	地形	海岸	0.507	0.27	0.377	0.367	0.181	0.172	0.153
花蓮	垃圾	沙岸	海岸	0.506	0.268	0.284	0.466	0.15	0.186	0.175
垃圾	海邊	地形	海岸	0.504	0.284	0.433	0.367	0.185	0.204	0.191
浪漫	山脈	堤防	海岸	0.499	0.377	0.356	0.379	0.188	0.224	0.201
垃圾	夕陽	地形	海岸	0.496	0.284	0.295	0.367	0.138	0.204	0.108
漂亮	山脈	堤防	海岸	0.492	0.286	0.356	0.379	0.137	0.19	0.201
花蓮	浪漫	船	海岸	0.492	0.268	0.377	0.356	0.187	0.115	0.207
陸地	浪漫	垃圾	海岸	0.491	0.412	0.377	0.284	0.193	0.172	0.218
漂亮	山脈	珊瑚礁	海岸	0.49	0.286	0.356	0.455	0.137	0.226	0.244
垃圾	山脈	珊瑚礁	海岸	0.483	0.284	0.356	0.455	0.128	0.24	0.244
浪漫	垃圾	山脈	海岸	0.483	0.377	0.284	0.356	0.218	0.188	0.128
花蓮	浪漫	堤防	海岸	0.477	0.268	0.377	0.379	0.187	0.136	0.224
花蓮	浪漫	砂石	海岸	0.476	0.268	0.377	0.333	0.187	0.176	0.139
浪花	山脈	堤防	海岸	0.475	0.342	0.356	0.379	0.153	0.247	0.201
陸地	夕陽	堤防	海岸	0.474	0.412	0.295	0.379	0.239	0.211	0.161
花蓮	漂亮	船隻	海岸	0.47	0.268	0.286	0.394	0.201	0.147	0.129
浪花	美麗	地形	海岸	0.468	0.342	0.294	0.367	0.242	0.147	0.145
花蓮	浪漫	地形	海岸	0.465	0.268	0.377	0.367	0.187	0.207	0.153
浪花	垃圾	山脈	海岸	0.462	0.342	0.284	0.356	0.239	0.153	0.128
漂亮	夕陽	地形	海岸	0.46	0.286	0.295	0.367	0.198	0.182	0.108
浪濤	漂亮	堤防	海岸	0.458	0.27	0.286	0.379	0.057	0.228	0.19
