				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
藍天	倒灌	水母	海水	0.785	0.303	0.401	0.468	0.084	0.131	0.173
沙灘	倒灌	斗量	海水	0.779	0.429	0.401	0.328	0.049	0.132	0.199
冰冷	浴場	浪花	海水	0.757	0.364	0.452	0.421	0.128	0.182	0.169
游泳	貝殼	倒灌	海水	0.751	0.451	0.404	0.401	0.242	0.199	0.063
游泳	蔚藍	斗量	海水	0.749	0.451	0.383	0.328	0.211	0.138	0.065
冰冷	波浪	浴場	海水	0.745	0.364	0.414	0.452	0.193	0.128	0.163
蔚藍	倒灌	水母	海水	0.744	0.383	0.401	0.468	0.112	0.224	0.173
鹹	沙灘	倒灌	海水	0.738	0.356	0.429	0.401	0.193	0.207	0.049
藍天	水母	斗量	海水	0.737	0.303	0.468	0.328	0.131	0.064	0.167
蔚藍	倒灌	斗量	海水	0.737	0.383	0.401	0.328	0.112	0.065	0.199
鹹	浴場	浪花	海水	0.734	0.356	0.452	0.421	0.206	0.12	0.169
鯊魚	倒灌	斗量	海水	0.73	0.437	0.401	0.328	0.124	0.113	0.199
鹹	波浪	浴場	海水	0.726	0.356	0.414	0.452	0.126	0.206	0.163
蔚藍	水母	斗量	海水	0.724	0.383	0.468	0.328	0.224	0.065	0.167
冰冷	浴場	斗量	海水	0.721	0.364	0.452	0.328	0.128	0.132	0.163
藍色	游泳	斗量	海水	0.72	0.323	0.451	0.328	0.185	0.06	0.138
鹹	冰冷	漁船	海水	0.718	0.356	0.364	0.354	0.189	0.072	0.095
游泳	蔚藍	倒灌	海水	0.713	0.451	0.383	0.401	0.211	0.199	0.112
鹹	浪潮	潛水	海水	0.71	0.356	0.358	0.441	0.127	0.174	0.143
鹹	貝殼	倒灌	海水	0.706	0.356	0.404	0.401	0.184	0.207	0.063
鹹	漁船	倒灌	海水	0.704	0.356	0.354	0.401	0.072	0.207	0.128
游泳	湛藍	倒灌	海水	0.701	0.451	0.436	0.401	0.225	0.199	0.163
游泳	湛藍	斗量	海水	0.698	0.451	0.436	0.328	0.225	0.138	0.154
藍色	倒灌	斗量	海水	0.694	0.323	0.401	0.328	0.099	0.06	0.199
冰冷	鯊魚	斗量	海水	0.693	0.364	0.437	0.328	0.191	0.132	0.113
鯊魚	沙子	倒灌	海水	0.693	0.437	0.438	0.401	0.219	0.124	0.239
藍色	游泳	倒灌	海水	0.692	0.323	0.451	0.401	0.185	0.099	0.199
浪潮	鯊魚	斗量	海水	0.691	0.358	0.437	0.328	0.212	0.107	0.113
湛藍	浪潮	斗量	海水	0.691	0.436	0.358	0.328	0.17	0.154	0.107
貝殼	倒灌	斗量	海水	0.689	0.404	0.401	0.328	0.063	0.181	0.199
鹹	湛藍	浪潮	海水	0.687	0.356	0.436	0.358	0.165	0.127	0.17
藍天	倒灌	斗量	海水	0.686	0.303	0.401	0.328	0.084	0.064	0.199
冰冷	沙灘	斗量	海水	0.685	0.364	0.429	0.328	0.173	0.132	0.132
沙灘	浪潮	斗量	海水	0.685	0.429	0.358	0.328	0.193	0.132	0.107
冰冷	水母	斗量	海水	0.682	0.364	0.468	0.328	0.18	0.132	0.167
鹹	鯊魚	倒灌	海水	0.682	0.356	0.437	0.401	0.18	0.207	0.124
鹹味	冰冷	水母	海水	0.681	0.438	0.364	0.468	0.187	0.223	0.18
鹹	倒灌	水母	海水	0.68	0.356	0.401	0.468	0.207	0.165	0.173
游泳	藍天	斗量	海水	0.68	0.451	0.303	0.328	0.2	0.138	0.064
鹹味	冰冷	漁船	海水	0.676	0.438	0.364	0.354	0.187	0.199	0.095
冰冷	波浪	魚蝦	海水	0.675	0.364	0.414	0.398	0.193	0.132	0.175
游泳	藍	倒灌	海水	0.672	0.451	0.26	0.401	0.155	0.199	0.086
藍天	倒灌	潛水	海水	0.672	0.303	0.401	0.441	0.084	0.228	0.161
浪潮	斗量	潛水	海水	0.672	0.358	0.328	0.441	0.107	0.143	0.205
游泳	藍天	倒灌	海水	0.672	0.451	0.303	0.401	0.2	0.199	0.084
游泳	浪潮	斗量	海水	0.671	0.451	0.358	0.328	0.222	0.138	0.107
藍	浪花	倒灌	海水	0.668	0.26	0.421	0.401	0.131	0.086	0.197
鹹	浪潮	水母	海水	0.667	0.356	0.358	0.468	0.127	0.165	0.223
浪潮	蔚藍	斗量	海水	0.667	0.358	0.383	0.328	0.231	0.107	0.065
游泳	藍	斗量	海水	0.666	0.451	0.26	0.328	0.155	0.138	0.08
鹽	倒灌	水母	海水	0.663	0.303	0.401	0.468	0.144	0.193	0.173
藍色	倒灌	潛水	海水	0.663	0.323	0.401	0.441	0.099	0.242	0.161
浪潮	浴場	斗量	海水	0.662	0.358	0.452	0.328	0.207	0.107	0.163
藍天	冰冷	水母	海水	0.661	0.303	0.364	0.468	0.164	0.131	0.18
波浪	浴場	斗量	海水	0.66	0.414	0.452	0.328	0.163	0.208	0.163
倒灌	水母	斗量	海水	0.659	0.401	0.468	0.328	0.173	0.199	0.167
浪潮	水母	斗量	海水	0.658	0.358	0.468	0.328	0.223	0.107	0.167
鹹	湛藍	倒灌	海水	0.657	0.356	0.436	0.401	0.165	0.207	0.163
游泳	鹼	斗量	海水	0.657	0.451	0.305	0.328	0.199	0.138	0.091
鹹	冰冷	潛水	海水	0.657	0.356	0.364	0.441	0.189	0.174	0.14
鹹	蔚藍	倒灌	海水	0.656	0.356	0.383	0.401	0.165	0.207	0.112
冰冷	斗量	潛水	海水	0.655	0.364	0.328	0.441	0.132	0.14	0.205
鹹	倒灌	潛水	海水	0.655	0.356	0.401	0.441	0.207	0.174	0.161
蔚藍	沙子	倒灌	海水	0.655	0.383	0.438	0.401	0.215	0.112	0.239
冰冷	浪潮	潛水	海水	0.655	0.364	0.358	0.441	0.224	0.14	0.143
鹹	冰冷	水母	海水	0.654	0.356	0.364	0.468	0.189	0.165	0.18
鹹	浪花	倒灌	海水	0.654	0.356	0.421	0.401	0.12	0.207	0.197
藍天	波浪	倒灌	海水	0.653	0.303	0.414	0.401	0.178	0.084	0.204
鹹	蔚藍	水母	海水	0.653	0.356	0.383	0.468	0.165	0.165	0.224
鹹	漁船	浪潮	海水	0.652	0.356	0.354	0.358	0.072	0.127	0.217
藍	沙子	倒灌	海水	0.65	0.26	0.438	0.401	0.123	0.086	0.239
鹹	冰冷	浪花	海水	0.65	0.356	0.364	0.421	0.189	0.12	0.182
藍色	沙子	倒灌	海水	0.65	0.323	0.438	0.401	0.174	0.099	0.239
湛藍	倒灌	斗量	海水	0.65	0.436	0.401	0.328	0.163	0.154	0.199
貝殼	冰冷	斗量	海水	0.649	0.404	0.364	0.328	0.134	0.181	0.132
鹹	冰冷	浴場	海水	0.648	0.356	0.364	0.452	0.189	0.206	0.128
波浪	魚蝦	倒灌	海水	0.647	0.414	0.398	0.401	0.175	0.204	0.187
鹹	藍天	水母	海水	0.645	0.356	0.303	0.468	0.185	0.165	0.131
湛藍	沙子	倒灌	海水	0.644	0.436	0.438	0.401	0.228	0.163	0.239
游泳	倒灌	斗量	海水	0.644	0.451	0.401	0.328	0.199	0.138	0.199
藍色	浪潮	斗量	海水	0.643	0.323	0.358	0.328	0.2	0.06	0.107
蔚藍	鹼	斗量	海水	0.643	0.383	0.305	0.328	0.217	0.065	0.091
鹹	游泳	湛藍	海水	0.643	0.356	0.451	0.436	0.209	0.165	0.225
浴場	浪花	斗量	海水	0.64	0.452	0.421	0.328	0.169	0.163	0.229
游泳	冰冷	斗量	海水	0.639	0.451	0.364	0.328	0.235	0.138	0.132
鹹味	藍天	水母	海水	0.636	0.438	0.303	0.468	0.218	0.223	0.131
鹹	漁船	沙子	海水	0.636	0.356	0.354	0.438	0.072	0.207	0.232
