				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
魚類	天空	船	海洋	0.7	0.383	0.42	0.402	0.092	0.221	0.193
藍天	太平洋	船	海洋	0.638	0.357	0.444	0.402	0.197	0.131	0.237
鯨魚	太平洋	汪洋	海洋	0.618	0.446	0.444	0.398	0.231	0.243	0.196
太平洋	魚群	汪洋	海洋	0.618	0.444	0.37	0.398	0.201	0.196	0.198
魚	太平洋	汪洋	海洋	0.613	0.269	0.444	0.398	0.126	0.176	0.196
魚類	天空	鐵達尼號	海洋	0.607	0.383	0.42	0.304	0.092	0.203	0.205
廣闊	魚類	船	海洋	0.597	0.286	0.383	0.402	0.239	0.015	0.221
天空	輪船	游泳	海洋	0.586	0.42	0.319	0.4	0.137	0.198	0.218
廣闊	大學	船	海洋	0.575	0.286	0.342	0.402	0.226	0.015	0.214
藍天	魚類	船	海洋	0.572	0.357	0.383	0.402	0.219	0.131	0.221
太平洋	藍	汪洋	海洋	0.571	0.444	0.259	0.398	0.195	0.196	0.139
太平洋	寬廣	船	海洋	0.559	0.444	0.254	0.402	0.246	0.237	0.058
廣闊	魚類	帆船	海洋	0.537	0.286	0.383	0.428	0.239	0.095	0.226
大學	天空	船	海洋	0.534	0.342	0.42	0.402	0.223	0.214	0.193
廣大	天空	輪船	海洋	0.524	0.261	0.42	0.319	0.201	0.138	0.137
太平洋	輪船	汪洋	海洋	0.524	0.444	0.319	0.398	0.242	0.196	0.2
廣大	魚類	天空	海洋	0.521	0.261	0.383	0.42	0.249	0.201	0.092
廣大	魚類	汪洋	海洋	0.519	0.261	0.383	0.398	0.249	0.177	0.098
漁船	天空	游泳	海洋	0.518	0.348	0.42	0.4	0.206	0.246	0.198
廣大	游泳	鐵達尼號	海洋	0.516	0.261	0.4	0.304	0.166	0.07	0.213
廣大	天空	游泳	海洋	0.515	0.261	0.42	0.4	0.201	0.166	0.198
魚類	寬廣	船	海洋	0.513	0.383	0.254	0.402	0.248	0.221	0.058
藍天	太平洋	鐵達尼號	海洋	0.513	0.357	0.444	0.304	0.197	0.23	0.166
廣大	天空	鐵達尼號	海洋	0.508	0.261	0.42	0.304	0.201	0.07	0.205
天空	游泳	鐵達尼號	海洋	0.508	0.42	0.4	0.304	0.198	0.205	0.213
魚類	寬廣	帆船	海洋	0.508	0.383	0.254	0.428	0.248	0.226	0.084
鯨魚	廣大	汪洋	海洋	0.508	0.446	0.261	0.398	0.177	0.243	0.177
廣闊	游泳	鐵達尼號	海洋	0.508	0.286	0.4	0.304	0.162	0.109	0.213
鯨魚	廣大	天空	海洋	0.502	0.446	0.261	0.42	0.177	0.246	0.201
大學	天空	游泳	海洋	0.501	0.342	0.42	0.4	0.223	0.239	0.198
大學	寬廣	船	海洋	0.5	0.342	0.254	0.402	0.226	0.214	0.058
廣大	魚類	帆船	海洋	0.499	0.261	0.383	0.428	0.249	0.098	0.226
鯨魚	太平洋	寬廣	海洋	0.492	0.446	0.444	0.254	0.231	0.175	0.246
廣大	天空	船隻	海洋	0.489	0.261	0.42	0.386	0.201	0.133	0.244
藍天	魚類	帆船	海洋	0.485	0.357	0.383	0.428	0.219	0.238	0.226
魚	太平洋	鐵達尼號	海洋	0.478	0.269	0.444	0.304	0.126	0.247	0.166
太平洋	藍	鐵達尼號	海洋	0.473	0.444	0.259	0.304	0.195	0.166	0.174
太平洋	藍	船	海洋	0.469	0.444	0.259	0.402	0.195	0.237	0.204
廣大	魚群	汪洋	海洋	0.465	0.261	0.37	0.398	0.189	0.177	0.198
廣大	輪船	汪洋	海洋	0.463	0.261	0.319	0.398	0.138	0.177	0.2
廣大	輪船	游泳	海洋	0.457	0.261	0.319	0.4	0.138	0.166	0.218
廣闊	漁船	游泳	海洋	0.456	0.286	0.348	0.4	0.171	0.162	0.246
寬廣	藍	帆船	海洋	0.452	0.254	0.259	0.428	0.218	0.084	0.187
寬廣	漁船	游泳	海洋	0.451	0.254	0.348	0.4	0.153	0.152	0.246
魚	廣大	天空	海洋	0.441	0.269	0.261	0.42	0.196	0.111	0.201
太平洋	寬廣	漁船	海洋	0.437	0.444	0.254	0.348	0.246	0.211	0.153
寬廣	藍	船	海洋	0.434	0.254	0.259	0.402	0.218	0.058	0.204
