				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
夏天	蛙式	體育	游泳	0.83	0.394	0.492	0.411	0.157	0.174	0.136
健身	海洋	蛙式	游泳	0.812	0.491	0.4	0.492	0.215	0.206	0.149
海洋	蛙式	減肥	游泳	0.797	0.4	0.492	0.353	0.149	0.126	0.172
健身	夏天	蛙式	游泳	0.796	0.491	0.394	0.492	0.218	0.206	0.157
水池	自由式	健康	游泳	0.787	0.456	0.457	0.331	0.207	0.133	0.116
水池	蛙式	體育	游泳	0.773	0.456	0.492	0.411	0.23	0.219	0.136
自由式	健康	海邊	游泳	0.772	0.457	0.331	0.4	0.116	0.179	0.119
海洋	蛙式	比賽	游泳	0.771	0.4	0.492	0.387	0.149	0.14	0.218
健身	海邊	蛙式	游泳	0.77	0.491	0.4	0.492	0.212	0.206	0.195
夏天	蛙式	救生員	游泳	0.769	0.394	0.492	0.466	0.157	0.184	0.242
自由	蛙式	救生員	游泳	0.766	0.262	0.492	0.466	0.135	0.077	0.242
運動	夏天	蛙式	游泳	0.765	0.369	0.394	0.492	0.158	0.176	0.157
自由式	健康	蛙鏡	游泳	0.763	0.457	0.331	0.464	0.116	0.224	0.148
水池	健康	蛙式	游泳	0.76	0.456	0.331	0.492	0.133	0.23	0.154
健身	自由式	海水	游泳	0.76	0.491	0.457	0.451	0.244	0.2	0.195
健身	自由式	海洋	游泳	0.76	0.491	0.457	0.4	0.244	0.215	0.129
健康	海邊	蛙式	游泳	0.754	0.331	0.4	0.492	0.119	0.154	0.195
夏天	自由式	蛙鏡	游泳	0.751	0.394	0.457	0.464	0.165	0.175	0.224
自由式	健康	救生員	游泳	0.748	0.457	0.331	0.466	0.116	0.229	0.16
自由	蛙式	體育	游泳	0.748	0.262	0.492	0.411	0.135	0.146	0.136
自由式	海洋	淹水	游泳	0.747	0.457	0.4	0.307	0.129	0.149	0.139
運動	水池	蛙式	游泳	0.746	0.369	0.456	0.492	0.164	0.176	0.23
