				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
日本	爆笑	圖畫	漫畫	0.532	0.253	0.381	0.388	0.194	0.125	0.172
卡通	雜誌	血腥	漫畫	0.529	0.438	0.385	0.26	0.224	0.232	0.099
爆笑	書店	黑白	漫畫	0.506	0.381	0.357	0.281	0.136	0.249	0.128
日本	人物	快樂	漫畫	0.499	0.253	0.319	0.26	0.152	0.065	0.117
日本	爆笑	書店	漫畫	0.494	0.253	0.381	0.357	0.194	0.168	0.136
日本	爆笑	雜誌	漫畫	0.486	0.253	0.381	0.385	0.194	0.175	0.165
爆笑	圖畫	作家	漫畫	0.481	0.381	0.388	0.302	0.172	0.184	0.234
小說	日本	爆笑	漫畫	0.471	0.421	0.253	0.381	0.158	0.233	0.194
卡通	書店	血腥	漫畫	0.464	0.438	0.357	0.26	0.238	0.232	0.122
休閒	日本	人物	漫畫	0.453	0.295	0.253	0.319	0.092	0.17	0.152
小說	爆笑	黑白	漫畫	0.449	0.421	0.381	0.281	0.233	0.152	0.249
爆笑	雜誌	黑白	漫畫	0.448	0.381	0.385	0.281	0.165	0.249	0.185
人物	書店	黑白	漫畫	0.432	0.319	0.357	0.281	0.199	0.198	0.128
日本	圖畫	好看	漫畫	0.431	0.253	0.388	0.297	0.125	0.151	0.23
日本	爆笑	報紙	漫畫	0.425	0.253	0.381	0.288	0.194	0.169	0.134
休閒	爆笑	作家	漫畫	0.416	0.295	0.381	0.302	0.23	0.149	0.184
小說	日本	黑白	漫畫	0.415	0.421	0.253	0.281	0.158	0.152	0.23
休閒	日本	爆笑	漫畫	0.414	0.295	0.253	0.381	0.092	0.23	0.194
日本	雜誌	血腥	漫畫	0.413	0.253	0.385	0.26	0.175	0.212	0.099
日本	好看	雜誌	漫畫	0.413	0.253	0.297	0.385	0.151	0.175	0.196
書店	好笑	黑白	漫畫	0.41	0.357	0.268	0.281	0.159	0.128	0.208
日本	人物	書店	漫畫	0.41	0.253	0.319	0.357	0.152	0.168	0.199
日本	爆笑	藝術	漫畫	0.406	0.253	0.381	0.325	0.194	0.175	0.184
小說	有趣	日本	漫畫	0.406	0.421	0.268	0.253	0.199	0.158	0.18
日本	暴力	雜誌	漫畫	0.404	0.253	0.254	0.385	0.209	0.175	0.104
人物	快樂	黑白	漫畫	0.403	0.319	0.26	0.281	0.117	0.198	0.142
小說	好笑	黑白	漫畫	0.402	0.421	0.268	0.281	0.208	0.152	0.208
小說	有趣	黑白	漫畫	0.398	0.421	0.268	0.281	0.199	0.152	0.222
人物	書店	血腥	漫畫	0.396	0.319	0.357	0.26	0.199	0.22	0.122
爆笑	圖畫	黑白	漫畫	0.395	0.381	0.388	0.281	0.172	0.249	0.234
日本	圖畫	好笑	漫畫	0.393	0.253	0.388	0.268	0.125	0.19	0.201
日本	好笑	雜誌	漫畫	0.388	0.253	0.268	0.385	0.19	0.175	0.153
日本	書店	好看	漫畫	0.388	0.253	0.357	0.297	0.168	0.151	0.199
日本	報紙	好看	漫畫	0.387	0.253	0.288	0.297	0.169	0.151	0.129
小說	日本	好笑	漫畫	0.387	0.421	0.253	0.268	0.158	0.208	0.19
好笑	雜誌	黑白	漫畫	0.387	0.268	0.385	0.281	0.153	0.208	0.185
休閒	日本	好笑	漫畫	0.385	0.295	0.253	0.268	0.092	0.149	0.19
休閒	日本	好看	漫畫	0.384	0.295	0.253	0.297	0.092	0.218	0.151
日本	快樂	好看	漫畫	0.382	0.253	0.26	0.297	0.065	0.151	0.212
卡通	娛樂	作家	漫畫	0.381	0.438	0.292	0.302	0.247	0.235	0.169
娛樂	作家	黑白	漫畫	0.378	0.292	0.302	0.281	0.169	0.146	0.181
人物	書店	好看	漫畫	0.378	0.319	0.357	0.297	0.199	0.197	0.199
日本	圖畫	暴力	漫畫	0.376	0.253	0.388	0.254	0.125	0.209	0.185
娛樂	日本	好看	漫畫	0.374	0.292	0.253	0.297	0.135	0.182	0.151
日本	趣味	雜誌	漫畫	0.372	0.253	0.291	0.385	0.214	0.175	0.168
日本	好看	藝術	漫畫	0.369	0.253	0.297	0.325	0.151	0.175	0.179
日本	書店	血腥	漫畫	0.369	0.253	0.357	0.26	0.168	0.212	0.122
日本	人物	好看	漫畫	0.369	0.253	0.319	0.297	0.152	0.151	0.197
可愛	作家	黑白	漫畫	0.367	0.366	0.302	0.281	0.152	0.249	0.181
卡通	快樂	作家	漫畫	0.367	0.438	0.26	0.302	0.224	0.235	0.174
日本	書店	黑白	漫畫	0.364	0.253	0.357	0.281	0.168	0.23	0.128
有趣	書店	黑白	漫畫	0.364	0.268	0.357	0.281	0.193	0.222	0.128
日本	可愛	人物	漫畫	0.363	0.253	0.366	0.319	0.19	0.152	0.233
日本	書店	好笑	漫畫	0.361	0.253	0.357	0.268	0.168	0.19	0.159
娛樂	好看	作家	漫畫	0.361	0.292	0.297	0.302	0.182	0.169	0.179
休閒	作家	血腥	漫畫	0.361	0.295	0.302	0.26	0.149	0.157	0.191
有趣	暴力	雜誌	漫畫	0.359	0.268	0.254	0.385	0.249	0.195	0.104
卡通	娛樂	血腥	漫畫	0.358	0.438	0.292	0.26	0.247	0.232	0.154
日本	快樂	黑白	漫畫	0.357	0.253	0.26	0.281	0.065	0.23	0.142
有趣	日本	雜誌	漫畫	0.357	0.268	0.253	0.385	0.18	0.195	0.175
休閒	日本	暴力	漫畫	0.356	0.295	0.253	0.254	0.092	0.146	0.209
日本	圖畫	血腥	漫畫	0.355	0.253	0.388	0.26	0.125	0.212	0.21
可愛	作家	血腥	漫畫	0.354	0.366	0.302	0.26	0.152	0.231	0.191
休閒	好笑	作家	漫畫	0.353	0.295	0.268	0.302	0.149	0.149	0.214
休閒	作家	黑白	漫畫	0.352	0.295	0.302	0.281	0.149	0.195	0.181
書店	生動	黑白	漫畫	0.352	0.357	0.26	0.281	0.229	0.128	0.189
