				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
壯觀	水流	尼加拉瓜	瀑布	0.675	0.416	0.497	0.408	0.236	0.187	0.223
壯觀	水	尼加拉瓜	瀑布	0.639	0.416	0.356	0.408	0.153	0.187	0.201
壯觀	尼加拉瓜	水花	瀑布	0.639	0.416	0.408	0.43	0.187	0.225	0.204
壯觀	尼加拉瓜	小溪	瀑布	0.634	0.416	0.408	0.489	0.187	0.245	0.247
壯觀	流水	尼加拉瓜	瀑布	0.632	0.416	0.321	0.408	0.225	0.187	0.102
水流	美麗	尼加拉瓜	瀑布	0.617	0.497	0.258	0.408	0.14	0.223	0.182
尼加拉瓜	美景	石頭	瀑布	0.615	0.408	0.471	0.298	0.197	0.147	0.218
流水	風景	尼加拉瓜	瀑布	0.611	0.321	0.386	0.408	0.234	0.102	0.168
水	尼加拉瓜	美景	瀑布	0.599	0.356	0.408	0.471	0.201	0.238	0.197
水	風景	尼加拉瓜	瀑布	0.587	0.356	0.386	0.408	0.194	0.201	0.168
壯觀	尼加拉瓜	水源	瀑布	0.568	0.416	0.408	0.304	0.187	0.158	0.216
壯觀	尼加拉瓜	山林	瀑布	0.567	0.416	0.408	0.332	0.187	0.192	0.21
壯觀	高山	尼加拉瓜	瀑布	0.564	0.416	0.32	0.408	0.217	0.187	0.177
流水	美麗	尼加拉瓜	瀑布	0.558	0.321	0.258	0.408	0.144	0.102	0.182
高山	尼加拉瓜	水花	瀑布	0.544	0.32	0.408	0.43	0.177	0.233	0.204
流水	尼加拉瓜	石頭	瀑布	0.541	0.321	0.408	0.298	0.102	0.237	0.147
壯觀	水花	山林	瀑布	0.533	0.416	0.43	0.332	0.225	0.192	0.229
尼加拉瓜	水花	山林	瀑布	0.527	0.408	0.43	0.332	0.204	0.21	0.229
美麗	尼加拉瓜	水花	瀑布	0.52	0.258	0.408	0.43	0.182	0.189	0.204
尼加拉瓜	水花	大自然	瀑布	0.515	0.408	0.43	0.305	0.204	0.218	0.206
風景	尼加拉瓜	水源	瀑布	0.499	0.386	0.408	0.304	0.168	0.216	0.216
壯觀	高山	水花	瀑布	0.491	0.416	0.32	0.43	0.217	0.225	0.233
壯觀	尼加拉瓜	大自然	瀑布	0.487	0.416	0.408	0.305	0.187	0.237	0.218
流水	尼加拉瓜	大自然	瀑布	0.486	0.321	0.408	0.305	0.102	0.228	0.218
美麗	尼加拉瓜	岩石	瀑布	0.486	0.258	0.408	0.441	0.182	0.219	0.22
水	美麗	尼加拉瓜	瀑布	0.486	0.356	0.258	0.408	0.153	0.201	0.182
壯觀	水花	大自然	瀑布	0.482	0.416	0.43	0.305	0.225	0.237	0.206
流水	尼加拉瓜	水源	瀑布	0.482	0.321	0.408	0.304	0.102	0.233	0.216
水	尼加拉瓜	石頭	瀑布	0.475	0.356	0.408	0.298	0.201	0.239	0.147
高山	尼加拉瓜	石頭	瀑布	0.456	0.32	0.408	0.298	0.177	0.246	0.147
美麗	尼加拉瓜	水源	瀑布	0.454	0.258	0.408	0.304	0.182	0.118	0.216
尼加拉瓜	石頭	山林	瀑布	0.445	0.408	0.298	0.332	0.147	0.21	0.235
水	美景	石頭	瀑布	0.43	0.356	0.471	0.298	0.238	0.239	0.218
壯觀	流水	水源	瀑布	0.424	0.416	0.321	0.304	0.225	0.158	0.233
尼加拉瓜	石頭	水源	瀑布	0.422	0.408	0.298	0.304	0.147	0.216	0.226
美麗	高山	尼加拉瓜	瀑布	0.403	0.258	0.32	0.408	0.223	0.182	0.177
流水	美麗	水源	瀑布	0.387	0.321	0.258	0.304	0.144	0.233	0.118
美麗	高山	水花	瀑布	0.362	0.258	0.32	0.43	0.223	0.189	0.233
壯觀	流水	大自然	瀑布	0.352	0.416	0.321	0.305	0.225	0.237	0.228
流水	風景	水源	瀑布	0.328	0.321	0.386	0.304	0.234	0.233	0.216
流水	石頭	水源	瀑布	0.227	0.321	0.298	0.304	0.237	0.233	0.226
