				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
誤點	月台	動力	火車	0.807	0.426	0.346	0.389	0.147	0.087	0.12
山洞	誤點	動力	火車	0.736	0.276	0.426	0.389	0.084	0.184	0.087
誤點	軌道	旅行	火車	0.728	0.426	0.496	0.345	0.197	0.181	0.161
誤點	軌道	便當	火車	0.705	0.426	0.496	0.417	0.197	0.208	0.229
誤點	動力	便當	火車	0.703	0.426	0.389	0.417	0.087	0.208	0.234
誤點	動力	煙囟	火車	0.7	0.426	0.389	0.273	0.087	0.14	0.161
誤點	軌道	當兵	火車	0.699	0.426	0.496	0.347	0.197	0.177	0.196
回家	誤點	動力	火車	0.695	0.316	0.426	0.389	0.225	0.123	0.087
誤點	軌道	冒煙	火車	0.693	0.426	0.496	0.31	0.197	0.161	0.18
誤點	軌道	煙囟	火車	0.691	0.426	0.496	0.273	0.197	0.14	0.167
回家	誤點	軌道	火車	0.687	0.316	0.426	0.496	0.225	0.129	0.197
誤點	煤炭	煙囟	火車	0.684	0.426	0.319	0.273	0.068	0.14	0.127
回家	誤點	機車	火車	0.683	0.316	0.426	0.445	0.225	0.101	0.178
交通	機車	冒煙	火車	0.68	0.391	0.445	0.31	0.18	0.078	0.209
交通	誤點	機車	火車	0.675	0.391	0.426	0.445	0.229	0.18	0.178
機車	工具	當兵	火車	0.675	0.445	0.306	0.347	0.143	0.218	0.063
誤點	煤炭	冒煙	火車	0.673	0.426	0.319	0.31	0.068	0.161	0.153
山洞	誤點	機車	火車	0.672	0.276	0.426	0.445	0.084	0.213	0.178
山洞	誤點	軌道	火車	0.669	0.276	0.426	0.496	0.084	0.248	0.197
誤點	月台	冒煙	火車	0.668	0.426	0.346	0.31	0.147	0.161	0.106
誤點	便當	煤炭	火車	0.667	0.426	0.417	0.319	0.208	0.068	0.22
誤點	機車	煙囟	火車	0.666	0.426	0.445	0.273	0.178	0.14	0.16
交通	煙囟	出軌	火車	0.666	0.391	0.273	0.446	0.139	0.2	0.105
軌道	旅行	冒煙	火車	0.665	0.496	0.345	0.31	0.161	0.18	0.145
交通	誤點	冒煙	火車	0.659	0.391	0.426	0.31	0.229	0.078	0.161
誤點	動力	冒煙	火車	0.658	0.426	0.389	0.31	0.087	0.161	0.219
回家	軌道	煙	火車	0.656	0.316	0.496	0.337	0.129	0.136	0.228
誤點	旅行	機車	火車	0.651	0.426	0.345	0.445	0.181	0.178	0.206
交通	誤點	動力	火車	0.65	0.391	0.426	0.389	0.229	0.24	0.087
誤點	動力	當兵	火車	0.648	0.426	0.389	0.347	0.087	0.177	0.25
回家	交通	機車	火車	0.647	0.316	0.391	0.445	0.225	0.101	0.18
誤點	旅行	動力	火車	0.647	0.426	0.345	0.389	0.181	0.087	0.244
誤點	機車	當兵	火車	0.645	0.426	0.445	0.347	0.178	0.177	0.218
誤點	煤炭	當兵	火車	0.644	0.426	0.319	0.347	0.068	0.177	0.203
月台	運輸	冒煙	火車	0.642	0.346	0.488	0.31	0.177	0.106	0.22
回家	軌道	煙囟	火車	0.641	0.316	0.496	0.273	0.129	0.148	0.167
交通	煙	出軌	火車	0.64	0.391	0.337	0.446	0.134	0.2	0.2
山洞	誤點	便當	火車	0.639	0.276	0.426	0.417	0.084	0.188	0.208
月台	運輸	遲到	火車	0.638	0.346	0.488	0.371	0.177	0.158	0.232
誤點	軌道	煙	火車	0.633	0.426	0.496	0.337	0.197	0.201	0.228
誤點	機車	冒煙	火車	0.633	0.426	0.445	0.31	0.178	0.161	0.209
軌道	旅行	遲到	火車	0.632	0.496	0.345	0.371	0.161	0.223	0.196
交通	機車	當兵	火車	0.632	0.391	0.445	0.347	0.18	0.153	0.218
軌道	旅行	便當	火車	0.632	0.496	0.345	0.417	0.161	0.229	0.236
交通	機車	煙囟	火車	0.631	0.391	0.445	0.273	0.18	0.139	0.16
交通	冒煙	出軌	火車	0.629	0.391	0.31	0.446	0.078	0.2	0.24
機車	工具	遲到	火車	0.629	0.445	0.306	0.371	0.143	0.21	0.141
回家	機車	煙囟	火車	0.626	0.316	0.445	0.273	0.101	0.148	0.16
煙	機車	工具	火車	0.623	0.337	0.445	0.306	0.244	0.078	0.143
軌道	旅行	煙囟	火車	0.622	0.496	0.345	0.273	0.161	0.167	0.163
交通	月台	冒煙	火車	0.621	0.391	0.346	0.31	0.243	0.078	0.106
回家	動力	捷運	火車	0.62	0.316	0.389	0.447	0.123	0.161	0.247
回家	煙	機車	火車	0.617	0.316	0.337	0.445	0.136	0.101	0.244
誤點	旅行	煤炭	火車	0.617	0.426	0.345	0.319	0.181	0.068	0.224
回家	誤點	煤炭	火車	0.616	0.316	0.426	0.319	0.225	0.152	0.068
交通	機車	遲到	火車	0.616	0.391	0.445	0.371	0.18	0.203	0.21
誤點	月台	當兵	火車	0.615	0.426	0.346	0.347	0.147	0.177	0.18
交通	煙	機車	火車	0.615	0.391	0.337	0.445	0.134	0.18	0.244
誤點	機車	工具	火車	0.613	0.426	0.445	0.306	0.178	0.243	0.143
回家	機車	工具	火車	0.609	0.316	0.445	0.306	0.101	0.215	0.143
交通	誤點	當兵	火車	0.605	0.391	0.426	0.347	0.229	0.153	0.177
軌道	旅行	當兵	火車	0.605	0.496	0.345	0.347	0.161	0.196	0.227
煙	工具	出軌	火車	0.604	0.337	0.306	0.446	0.078	0.2	0.207
回家	運輸	煙囟	火車	0.602	0.316	0.488	0.273	0.175	0.148	0.151
軌道	便當	煙囟	火車	0.601	0.496	0.417	0.273	0.229	0.167	0.188
軌道	旅行	煙	火車	0.601	0.496	0.345	0.337	0.161	0.228	0.187
軌道	遲到	煙囟	火車	0.601	0.496	0.371	0.273	0.223	0.167	0.149
月台	動力	冒煙	火車	0.601	0.346	0.389	0.31	0.12	0.106	0.219
回家	月台	動力	火車	0.601	0.316	0.346	0.389	0.207	0.123	0.12
運輸	遲到	煙囟	火車	0.599	0.488	0.371	0.273	0.232	0.151	0.149
軌道	當兵	煙囟	火車	0.598	0.496	0.347	0.273	0.196	0.167	0.156
旅行	捷運	冒煙	火車	0.597	0.345	0.447	0.31	0.2	0.145	0.16
山洞	誤點	冒煙	火車	0.597	0.276	0.426	0.31	0.084	0.17	0.161
誤點	工具	當兵	火車	0.596	0.426	0.306	0.347	0.243	0.177	0.063
誤點	旅行	冒煙	火車	0.594	0.426	0.345	0.31	0.181	0.161	0.145
山洞	軌道	遲到	火車	0.592	0.276	0.496	0.371	0.248	0.081	0.223
回家	月台	運輸	火車	0.591	0.316	0.346	0.488	0.207	0.175	0.177
機車	工具	冒煙	火車	0.59	0.445	0.306	0.31	0.143	0.209	0.119
