				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
泛黃	美女	照像	照片	0.805	0.383	0.363	0.434	0.077	0.122	0.176
風景	照像	曝光	照片	0.764	0.361	0.434	0.479	0.172	0.124	0.215
泛黃	照像	人物	照片	0.735	0.383	0.434	0.326	0.122	0.139	0.147
泛黃	照像	曝光	照片	0.734	0.383	0.434	0.479	0.122	0.225	0.215
泛黃	美女	曝光	照片	0.717	0.383	0.363	0.479	0.077	0.225	0.207
泛黃	朋友	照像	照片	0.703	0.383	0.307	0.434	0.118	0.122	0.181
美女	照像	曝光	照片	0.679	0.363	0.434	0.479	0.176	0.207	0.215
紀念	美女	曝光	照片	0.677	0.288	0.363	0.479	0.074	0.172	0.207
記錄	相框	曝光	照片	0.677	0.281	0.462	0.479	0.123	0.221	0.201
相機	朋友	曝光	照片	0.677	0.451	0.307	0.479	0.174	0.21	0.176
泛黃	照像	寫真	照片	0.677	0.383	0.434	0.45	0.122	0.238	0.231
泛黃	照像	漂亮	照片	0.673	0.383	0.434	0.373	0.122	0.218	0.177
相機	美女	曝光	照片	0.671	0.451	0.363	0.479	0.205	0.21	0.207
攝影	曝光	漂亮	照片	0.671	0.47	0.479	0.373	0.22	0.207	0.224
相機	曝光	漂亮	照片	0.671	0.451	0.479	0.373	0.21	0.198	0.224
照像	曝光	漂亮	照片	0.669	0.434	0.479	0.373	0.215	0.177	0.224
攝影	朋友	曝光	照片	0.669	0.47	0.307	0.479	0.192	0.22	0.176
記錄	美女	照像	照片	0.664	0.281	0.363	0.434	0.082	0.157	0.176
記錄	照像	漂亮	照片	0.659	0.281	0.434	0.373	0.157	0.094	0.177
照像	漂亮	人物	照片	0.657	0.434	0.373	0.326	0.177	0.147	0.151
紀念	美女	照像	照片	0.653	0.288	0.363	0.434	0.074	0.182	0.176
泛黃	朋友	曝光	照片	0.65	0.383	0.307	0.479	0.118	0.225	0.176
朋友	照像	曝光	照片	0.648	0.307	0.434	0.479	0.181	0.176	0.215
照像	漂亮	往事	照片	0.648	0.434	0.373	0.282	0.177	0.124	0.14
紀念	相框	曝光	照片	0.641	0.288	0.462	0.479	0.214	0.172	0.201
泛黃	朋友	寫真	照片	0.633	0.383	0.307	0.45	0.118	0.238	0.152
相機	漂亮	人物	照片	0.633	0.451	0.373	0.326	0.198	0.168	0.151
回憶	美女	照像	照片	0.632	0.291	0.363	0.434	0.12	0.161	0.176
紀念	照像	曝光	照片	0.631	0.288	0.434	0.479	0.182	0.172	0.215
相機	漂亮	往事	照片	0.628	0.451	0.373	0.282	0.198	0.141	0.14
朋友	照像	寫真	照片	0.627	0.307	0.434	0.45	0.181	0.152	0.231
風景	朋友	曝光	照片	0.624	0.361	0.307	0.479	0.223	0.124	0.176
回憶	相框	曝光	照片	0.622	0.291	0.462	0.479	0.193	0.216	0.201
回憶	照像	漂亮	照片	0.619	0.291	0.434	0.373	0.161	0.14	0.177
記錄	美女	曝光	照片	0.614	0.281	0.363	0.479	0.082	0.221	0.207
攝影	漂亮	往事	照片	0.614	0.47	0.373	0.282	0.207	0.166	0.14
照像	寫真	往事	照片	0.613	0.434	0.45	0.282	0.231	0.124	0.198
回憶	照像	曝光	照片	0.612	0.291	0.434	0.479	0.161	0.216	0.215
沖洗	漂亮	人物	照片	0.611	0.319	0.373	0.326	0.18	0.075	0.151
記錄	照像	曝光	照片	0.601	0.281	0.434	0.479	0.157	0.221	0.215
記錄	曝光	漂亮	照片	0.594	0.281	0.479	0.373	0.221	0.094	0.224
紀念	曝光	漂亮	照片	0.591	0.288	0.479	0.373	0.172	0.152	0.224
回憶	美女	曝光	照片	0.591	0.291	0.363	0.479	0.12	0.216	0.207
紀念	照像	漂亮	照片	0.583	0.288	0.434	0.373	0.182	0.152	0.177
記錄	照像	人物	照片	0.579	0.281	0.434	0.326	0.157	0.158	0.147
記錄	漂亮	人物	照片	0.577	0.281	0.373	0.326	0.094	0.158	0.151
泛黃	漂亮	人物	照片	0.574	0.383	0.373	0.326	0.218	0.139	0.151
泛黃	曝光	漂亮	照片	0.568	0.383	0.479	0.373	0.225	0.218	0.224
回憶	曝光	漂亮	照片	0.562	0.291	0.479	0.373	0.216	0.14	0.224
記錄	朋友	照像	照片	0.561	0.281	0.307	0.434	0.123	0.157	0.181
風景	照像	往事	照片	0.552	0.361	0.434	0.282	0.172	0.229	0.124
美女	照像	往事	照片	0.549	0.363	0.434	0.282	0.176	0.23	0.124
記錄	朋友	曝光	照片	0.547	0.281	0.307	0.479	0.123	0.221	0.176
回憶	照像	人物	照片	0.543	0.291	0.434	0.326	0.161	0.2	0.147
沖洗	朋友	人物	照片	0.533	0.319	0.307	0.326	0.104	0.075	0.24
紀念	照像	人物	照片	0.532	0.288	0.434	0.326	0.182	0.186	0.147
紀念	朋友	曝光	照片	0.532	0.288	0.307	0.479	0.194	0.172	0.176
風景	朋友	照像	照片	0.527	0.361	0.307	0.434	0.223	0.172	0.181
相機	美女	往事	照片	0.52	0.451	0.363	0.282	0.205	0.141	0.23
泛黃	朋友	人物	照片	0.519	0.383	0.307	0.326	0.118	0.139	0.24
相機	朋友	人物	照片	0.502	0.451	0.307	0.326	0.174	0.168	0.24
朋友	照像	人物	照片	0.499	0.307	0.434	0.326	0.181	0.24	0.147
回憶	漂亮	人物	照片	0.498	0.291	0.373	0.326	0.14	0.2	0.151
紀念	漂亮	人物	照片	0.497	0.288	0.373	0.326	0.152	0.186	0.151
紀念	朋友	照像	照片	0.472	0.288	0.307	0.434	0.194	0.182	0.181
沖洗	漂亮	往事	照片	0.454	0.319	0.373	0.282	0.18	0.201	0.14
美女	沖洗	往事	照片	0.416	0.363	0.319	0.282	0.117	0.23	0.201
記錄	朋友	人物	照片	0.393	0.281	0.307	0.326	0.123	0.158	0.24
紀念	朋友	人物	照片	0.302	0.288	0.307	0.326	0.194	0.186	0.24
