				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
毀滅	瓦斯	意外	爆炸	0.738	0.356	0.385	0.422	0.051	0.188	0.187
核彈	火光	意外	爆炸	0.738	0.447	0.416	0.422	0.228	0.141	0.178
核彈	瓦斯	意外	爆炸	0.736	0.447	0.385	0.422	0.19	0.141	0.187
受傷	恐怖	瓦斯	爆炸	0.726	0.391	0.424	0.385	0.122	0.13	0.222
瓦斯	死傷	碎片	爆炸	0.725	0.385	0.421	0.416	0.15	0.143	0.205
死亡	核彈	瓦斯	爆炸	0.715	0.469	0.447	0.385	0.209	0.187	0.19
受傷	火花	恐怖	爆炸	0.71	0.391	0.389	0.424	0.164	0.122	0.208
受傷	瓦斯	火光	爆炸	0.686	0.391	0.385	0.416	0.13	0.134	0.243
受傷	核彈	瓦斯	爆炸	0.685	0.391	0.447	0.385	0.219	0.13	0.19
瓦斯	火光	破壞	爆炸	0.681	0.385	0.416	0.27	0.243	0.052	0.094
受傷	瓦斯	碎片	爆炸	0.679	0.391	0.385	0.416	0.13	0.241	0.143
死亡	核彈	火花	爆炸	0.676	0.469	0.447	0.389	0.209	0.216	0.204
受傷	核彈	火光	爆炸	0.673	0.391	0.447	0.416	0.219	0.134	0.228
傷害	瓦斯	碎片	爆炸	0.668	0.321	0.385	0.416	0.115	0.197	0.143
受傷	可怕	瓦斯	爆炸	0.666	0.391	0.376	0.385	0.209	0.13	0.149
死亡	核彈	火光	爆炸	0.66	0.469	0.447	0.416	0.209	0.234	0.228
毀滅	瓦斯	火光	爆炸	0.654	0.356	0.385	0.416	0.051	0.21	0.243
火藥	受傷	恐怖	爆炸	0.65	0.391	0.391	0.424	0.193	0.241	0.122
可怕	瓦斯	碎片	爆炸	0.644	0.376	0.385	0.416	0.149	0.241	0.143
核彈	火	意外	爆炸	0.644	0.447	0.337	0.422	0.218	0.141	0.203
死亡	瓦斯	破壞	爆炸	0.643	0.469	0.385	0.27	0.187	0.241	0.052
核彈	可怕	瓦斯	爆炸	0.641	0.447	0.376	0.385	0.228	0.19	0.149
受傷	核彈	火花	爆炸	0.64	0.391	0.447	0.389	0.219	0.164	0.204
傷亡	碎片	火	爆炸	0.634	0.474	0.416	0.337	0.211	0.157	0.225
毀滅	火光	意外	爆炸	0.619	0.356	0.416	0.422	0.21	0.188	0.178
瓦斯	火光	意外	爆炸	0.616	0.385	0.416	0.422	0.243	0.187	0.178
受傷	瓦斯	火	爆炸	0.615	0.391	0.385	0.337	0.13	0.132	0.237
毀滅	瓦斯	火	爆炸	0.613	0.356	0.385	0.337	0.051	0.177	0.237
受傷	碎片	火光	爆炸	0.612	0.391	0.416	0.416	0.241	0.134	0.237
傷害	恐怖	瓦斯	爆炸	0.611	0.321	0.424	0.385	0.182	0.115	0.222
瓦斯	死人	破壞	爆炸	0.611	0.385	0.328	0.27	0.207	0.052	0.113
死亡	火藥	破壞	爆炸	0.611	0.469	0.391	0.27	0.101	0.241	0.177
受傷	核彈	火	爆炸	0.606	0.391	0.447	0.337	0.219	0.132	0.218
死亡	瓦斯	火光	爆炸	0.605	0.469	0.385	0.416	0.187	0.234	0.243
毀滅	瓦斯	死人	爆炸	0.604	0.356	0.385	0.328	0.051	0.208	0.207
