				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
家	尊敬	零用錢	父母	0.587	0.361	0.286	0.369	0.182	0.107	0.139
兄弟	管教	健康	父母	0.579	0.366	0.499	0.32	0.208	0.16	0.237
家	健康	零用錢	父母	0.565	0.361	0.32	0.369	0.206	0.107	0.172
親人	辛苦	家	父母	0.554	0.479	0.286	0.361	0.163	0.244	0.165
兄弟	健康	零用錢	父母	0.546	0.366	0.32	0.369	0.16	0.177	0.172
管教	家	健康	父母	0.539	0.499	0.361	0.32	0.197	0.237	0.206
辛苦	家	零用錢	父母	0.507	0.286	0.361	0.369	0.165	0.237	0.107
辛苦	慈愛	家	父母	0.473	0.286	0.321	0.361	0.188	0.165	0.141
兄弟	尊敬	零用錢	父母	0.473	0.366	0.286	0.369	0.232	0.177	0.139
兄弟	慈愛	健康	父母	0.435	0.366	0.321	0.32	0.163	0.16	0.249
辛苦	家	關懷	父母	0.42	0.286	0.361	0.258	0.165	0.199	0.121
慈愛	家	健康	父母	0.406	0.321	0.361	0.32	0.141	0.249	0.206
兄弟	辛苦	慈愛	父母	0.391	0.366	0.286	0.321	0.23	0.163	0.188
兄弟	辛苦	零用錢	父母	0.378	0.366	0.286	0.369	0.23	0.177	0.237
兄弟	辛苦	關懷	父母	0.339	0.366	0.286	0.258	0.23	0.142	0.199
