				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
潔白	食物	矯正	牙齒	0.826	0.472	0.361	0.474	0.149	0.207	0.125
潔白	嘴巴	矯正	牙齒	0.806	0.472	0.424	0.474	0.179	0.207	0.178
牙膏	堅硬	矯正	牙齒	0.777	0.473	0.392	0.474	0.133	0.231	0.197
潔白	醫生	咀嚼	牙齒	0.771	0.472	0.453	0.407	0.224	0.15	0.187
刷牙	醫生	堅固	牙齒	0.768	0.494	0.453	0.365	0.23	0.133	0.181
刷牙	醫生	堅硬	牙齒	0.763	0.494	0.453	0.392	0.23	0.16	0.185
潔白	刷牙	神經	牙齒	0.763	0.472	0.494	0.369	0.206	0.197	0.169
刷牙	醫生	雪白	牙齒	0.76	0.494	0.453	0.26	0.23	0.143	0.073
潔白	刷牙	醫生	牙齒	0.758	0.472	0.494	0.453	0.206	0.224	0.23
醫生	嘴巴	堅固	牙齒	0.755	0.453	0.424	0.365	0.202	0.181	0.104
潔白	牙膏	矯正	牙齒	0.746	0.472	0.473	0.474	0.234	0.207	0.231
醫生	雪白	咀嚼	牙齒	0.744	0.453	0.26	0.407	0.073	0.187	0.115
潔白	醫生	嘴巴	牙齒	0.744	0.472	0.453	0.424	0.224	0.179	0.202
潔白	醫生	牙刷	牙齒	0.73	0.472	0.453	0.476	0.224	0.238	0.209
醫生	牙刷	堅固	牙齒	0.729	0.453	0.476	0.365	0.209	0.181	0.175
醫生	嘴巴	整齊	牙齒	0.728	0.453	0.424	0.396	0.202	0.199	0.144
雪白	食物	矯正	牙齒	0.727	0.26	0.361	0.474	0.189	0.054	0.125
醫生	牙刷	堅硬	牙齒	0.716	0.453	0.476	0.392	0.209	0.185	0.21
醫生	牙刷	整齊	牙齒	0.716	0.453	0.476	0.396	0.209	0.199	0.201
潔白	牙膏	神經	牙齒	0.711	0.472	0.473	0.369	0.234	0.197	0.172
刷牙	堅固	神經	牙齒	0.707	0.494	0.365	0.369	0.133	0.169	0.22
嘴巴	堅硬	矯正	牙齒	0.705	0.424	0.392	0.474	0.21	0.178	0.197
牙膏	堅固	神經	牙齒	0.701	0.473	0.365	0.369	0.115	0.172	0.22
潔白	咀嚼	神經	牙齒	0.698	0.472	0.407	0.369	0.15	0.197	0.204
醫生	咀嚼	堅固	牙齒	0.695	0.453	0.407	0.365	0.187	0.181	0.162
牙膏	堅固	吃飯	牙齒	0.695	0.473	0.365	0.367	0.115	0.218	0.177
嘴巴	雪白	矯正	牙齒	0.694	0.424	0.26	0.474	0.232	0.178	0.054
牙膏	雪白	矯正	牙齒	0.691	0.473	0.26	0.474	0.23	0.231	0.054
刷牙	醫生	整齊	牙齒	0.69	0.494	0.453	0.396	0.23	0.224	0.199
