				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
孩童	有趣	汽車	玩具	0.747	0.434	0.339	0.398	0.2	0.127	0.097
有趣	汽車	布偶	玩具	0.735	0.339	0.398	0.463	0.097	0.209	0.159
有趣	幼童	汽車	玩具	0.732	0.339	0.394	0.398	0.117	0.097	0.185
兒童	有趣	布偶	玩具	0.716	0.428	0.339	0.463	0.094	0.211	0.209
有趣	幼童	積木	玩具	0.701	0.339	0.394	0.498	0.117	0.206	0.208
有趣	布偶	車子	玩具	0.675	0.339	0.463	0.254	0.209	0.091	0.081
幼童	模型	車子	玩具	0.67	0.394	0.481	0.254	0.181	0.118	0.161
孩童	模型	車子	玩具	0.667	0.434	0.481	0.254	0.229	0.113	0.161
有趣	幼童	車子	玩具	0.662	0.339	0.394	0.254	0.117	0.091	0.118
孩童	有趣	車子	玩具	0.623	0.434	0.339	0.254	0.2	0.113	0.091
幼童	可愛	模型	玩具	0.614	0.394	0.326	0.481	0.2	0.181	0.206
