				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
刺	花車	芳香	玫瑰	0.669	0.31	0.323	0.453	0.086	0.161	0.171
刺	情人節	芳香	玫瑰	0.664	0.31	0.411	0.453	0.151	0.161	0.198
刺	情侶	芳香	玫瑰	0.634	0.31	0.282	0.453	0.098	0.161	0.153
情人	花車	芳香	玫瑰	0.616	0.422	0.323	0.453	0.202	0.208	0.171
刺	愛人	芳香	玫瑰	0.608	0.31	0.26	0.453	0.051	0.161	0.204
情人	紅色	花	玫瑰	0.6	0.422	0.328	0.375	0.168	0.21	0.148
情人	紅色	芳香	玫瑰	0.591	0.422	0.328	0.453	0.168	0.208	0.236
情人	紅色	植物	玫瑰	0.553	0.422	0.328	0.384	0.168	0.228	0.185
刺	愛人	花車	玫瑰	0.544	0.31	0.26	0.323	0.051	0.086	0.213
刺	紅色	芳香	玫瑰	0.534	0.31	0.328	0.453	0.16	0.161	0.236
刺	花園	女人	玫瑰	0.531	0.31	0.373	0.356	0.093	0.208	0.208
浪漫	刺	花車	玫瑰	0.522	0.416	0.31	0.323	0.204	0.237	0.086
刺	情人節	植物	玫瑰	0.516	0.31	0.411	0.384	0.151	0.234	0.203
刺	愛人	植物	玫瑰	0.514	0.31	0.26	0.384	0.051	0.234	0.155
刺	女人	花車	玫瑰	0.502	0.31	0.356	0.323	0.208	0.086	0.194
浪漫	帶刺	花	玫瑰	0.497	0.416	0.418	0.375	0.229	0.235	0.248
愛人	帶刺	花	玫瑰	0.494	0.26	0.418	0.375	0.214	0.098	0.248
情人	美麗	花	玫瑰	0.494	0.422	0.301	0.375	0.184	0.21	0.21
浪漫	紅色	花	玫瑰	0.494	0.416	0.328	0.375	0.243	0.235	0.148
愛人	帶刺	芳香	玫瑰	0.476	0.26	0.418	0.453	0.214	0.204	0.238
情人	花車	多刺	玫瑰	0.473	0.422	0.323	0.275	0.202	0.181	0.162
情人	植物	花車	玫瑰	0.47	0.422	0.384	0.323	0.228	0.202	0.228
情人	紅色	多刺	玫瑰	0.469	0.422	0.328	0.275	0.168	0.181	0.206
刺	植物	花車	玫瑰	0.469	0.31	0.384	0.323	0.234	0.086	0.228
刺	紅色	女人	玫瑰	0.467	0.31	0.328	0.356	0.16	0.208	0.16
情人	美麗	植物	玫瑰	0.466	0.422	0.301	0.384	0.184	0.228	0.229
浪漫	花車	多刺	玫瑰	0.453	0.416	0.323	0.275	0.237	0.16	0.162
愛人	花車	芳香	玫瑰	0.449	0.26	0.323	0.453	0.213	0.204	0.171
浪漫	刺	紅色	玫瑰	0.447	0.416	0.31	0.328	0.204	0.243	0.16
刺	美麗	植物	玫瑰	0.443	0.31	0.301	0.384	0.088	0.234	0.229
刺	紅色	植物	玫瑰	0.443	0.31	0.328	0.384	0.16	0.234	0.185
情人	花園	多刺	玫瑰	0.435	0.422	0.373	0.275	0.232	0.181	0.221
刺	情侶	植物	玫瑰	0.427	0.31	0.282	0.384	0.098	0.234	0.218
浪漫	紅色	多刺	玫瑰	0.409	0.416	0.328	0.275	0.243	0.16	0.206
愛人	植物	花車	玫瑰	0.371	0.26	0.384	0.323	0.155	0.213	0.228
女人	花車	多刺	玫瑰	0.357	0.356	0.323	0.275	0.194	0.24	0.162
紅色	女人	多刺	玫瑰	0.353	0.328	0.356	0.275	0.16	0.206	0.24
花園	女人	多刺	玫瑰	0.335	0.373	0.356	0.275	0.208	0.221	0.24
愛人	花車	多刺	玫瑰	0.313	0.26	0.323	0.275	0.213	0.17	0.162
