				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
杯子	割傷	窗	玻璃	0.705	0.444	0.304	0.464	0.208	0.222	0.076
破碎	窗	塑膠	玻璃	0.678	0.444	0.464	0.383	0.246	0.18	0.187
脆弱	塑膠	窗子	玻璃	0.664	0.288	0.383	0.491	0.089	0.209	0.2
脆弱	窗	塑膠	玻璃	0.656	0.288	0.464	0.383	0.203	0.089	0.187
透明	割傷	藝術	玻璃	0.635	0.497	0.304	0.319	0.185	0.135	0.165
杯子	窗	傷人	玻璃	0.632	0.444	0.464	0.25	0.222	0.183	0.12
窗	塑膠	碎片	玻璃	0.629	0.464	0.383	0.427	0.187	0.249	0.208
易碎	窗	藝術	玻璃	0.624	0.466	0.464	0.319	0.204	0.189	0.232
破碎	反射	塑膠	玻璃	0.614	0.444	0.376	0.383	0.245	0.18	0.163
割傷	窗	藝術	玻璃	0.614	0.304	0.464	0.319	0.076	0.165	0.232
破碎	窗	藝術	玻璃	0.601	0.444	0.464	0.319	0.246	0.148	0.232
破裂	窗	塑膠	玻璃	0.598	0.346	0.464	0.383	0.222	0.186	0.187
透明	藝術	傷人	玻璃	0.587	0.497	0.319	0.25	0.135	0.107	0.238
脆弱	杯子	窗	玻璃	0.58	0.288	0.444	0.464	0.19	0.203	0.222
破裂	窗	藝術	玻璃	0.576	0.346	0.464	0.319	0.222	0.098	0.232
割傷	窗	光亮	玻璃	0.571	0.304	0.464	0.312	0.076	0.192	0.24
杯子	窗	光亮	玻璃	0.562	0.444	0.464	0.312	0.222	0.195	0.24
窗	傷人	碎片	玻璃	0.559	0.464	0.25	0.427	0.12	0.249	0.212
破碎	窗	傷人	玻璃	0.549	0.444	0.464	0.25	0.246	0.243	0.12
窗	傷人	光亮	玻璃	0.549	0.464	0.25	0.312	0.12	0.24	0.117
杯子	窗	藝術	玻璃	0.545	0.444	0.464	0.319	0.222	0.227	0.232
破碎	反射	藝術	玻璃	0.543	0.444	0.376	0.319	0.245	0.148	0.203
窗	藝術	碎片	玻璃	0.53	0.464	0.319	0.427	0.232	0.249	0.198
易碎	反射	藝術	玻璃	0.523	0.466	0.376	0.319	0.246	0.189	0.203
杯子	傷人	光亮	玻璃	0.512	0.444	0.25	0.312	0.183	0.195	0.117
脆弱	窗	藝術	玻璃	0.5	0.288	0.464	0.319	0.203	0.135	0.232
脆弱	杯子	藝術	玻璃	0.499	0.288	0.444	0.319	0.19	0.135	0.227
窗	碎片	光亮	玻璃	0.492	0.464	0.427	0.312	0.249	0.24	0.221
反射	杯子	割傷	玻璃	0.488	0.376	0.444	0.304	0.242	0.186	0.208
杯子	透視	光亮	玻璃	0.475	0.444	0.271	0.312	0.184	0.195	0.173
杯子	藝術	光亮	玻璃	0.469	0.444	0.319	0.312	0.227	0.195	0.185
反射	杯子	藝術	玻璃	0.468	0.376	0.444	0.319	0.242	0.203	0.227
杯子	割傷	藝術	玻璃	0.467	0.444	0.304	0.319	0.208	0.227	0.165
杯子	割傷	光亮	玻璃	0.465	0.444	0.304	0.312	0.208	0.195	0.192
藝術	碎片	光亮	玻璃	0.455	0.319	0.427	0.312	0.198	0.185	0.221
脆弱	窗	傷人	玻璃	0.452	0.288	0.464	0.25	0.203	0.227	0.12
反射	杯子	傷人	玻璃	0.447	0.376	0.444	0.25	0.242	0.198	0.183
反射	割傷	藝術	玻璃	0.445	0.376	0.304	0.319	0.186	0.203	0.165
窗	藝術	傷人	玻璃	0.443	0.464	0.319	0.25	0.232	0.12	0.238
傷人	碎片	光亮	玻璃	0.44	0.25	0.427	0.312	0.212	0.117	0.221
窗	藝術	光亮	玻璃	0.438	0.464	0.319	0.312	0.232	0.24	0.185
脆弱	杯子	透視	玻璃	0.438	0.288	0.444	0.271	0.19	0.191	0.184
杯子	割傷	透視	玻璃	0.414	0.444	0.304	0.271	0.208	0.184	0.212
透視	碎片	光亮	玻璃	0.408	0.271	0.427	0.312	0.208	0.173	0.221
脆弱	窗子	傷人	玻璃	0.394	0.288	0.491	0.25	0.209	0.227	0.199
割傷	藝術	光亮	玻璃	0.393	0.304	0.319	0.312	0.165	0.192	0.185
破碎	藝術	傷人	玻璃	0.385	0.444	0.319	0.25	0.148	0.243	0.238
破碎	反射	傷人	玻璃	0.385	0.444	0.376	0.25	0.245	0.243	0.198
脆弱	杯子	傷人	玻璃	0.382	0.288	0.444	0.25	0.19	0.227	0.183
杯子	藝術	傷人	玻璃	0.366	0.444	0.319	0.25	0.227	0.183	0.238
杯子	透視	傷人	玻璃	0.357	0.444	0.271	0.25	0.184	0.183	0.241
藝術	傷人	碎片	玻璃	0.349	0.319	0.25	0.427	0.238	0.198	0.212
藝術	傷人	光亮	玻璃	0.343	0.319	0.25	0.312	0.238	0.185	0.117
割傷	透視	光亮	玻璃	0.31	0.304	0.271	0.312	0.212	0.192	0.173
反射	藝術	傷人	玻璃	0.307	0.376	0.319	0.25	0.203	0.198	0.238
透視	傷人	光亮	玻璃	0.303	0.271	0.25	0.312	0.241	0.173	0.117
透視	傷人	碎片	玻璃	0.287	0.271	0.25	0.427	0.241	0.208	0.212
破碎	透視	傷人	玻璃	0.28	0.444	0.271	0.25	0.202	0.243	0.241
脆弱	藝術	傷人	玻璃	0.258	0.288	0.319	0.25	0.135	0.227	0.238
脆弱	透視	傷人	玻璃	0.151	0.288	0.271	0.25	0.191	0.227	0.241
