				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
女人	銀樓	高價	珠寶	0.645	0.315	0.492	0.359	0.209	0.077	0.234
昂貴	女人	銀樓	珠寶	0.596	0.324	0.315	0.492	0.152	0.173	0.209
銀樓	價值	美女	珠寶	0.59	0.492	0.369	0.257	0.223	0.164	0.141
女人	銀樓	價值	珠寶	0.59	0.315	0.492	0.369	0.209	0.154	0.223
女人	銀樓	華麗	珠寶	0.584	0.315	0.492	0.397	0.209	0.17	0.241
昂貴	銀樓	美女	珠寶	0.577	0.324	0.492	0.257	0.173	0.159	0.164
銀樓	華麗	美女	珠寶	0.536	0.492	0.397	0.257	0.241	0.164	0.206
銀樓	高價	美女	珠寶	0.516	0.492	0.359	0.257	0.234	0.164	0.194
銀樓	虛榮	美女	珠寶	0.511	0.492	0.33	0.257	0.177	0.164	0.227
俗氣	銀樓	美女	珠寶	0.463	0.319	0.492	0.257	0.247	0.193	0.164
俗氣	珍珠	財富	珠寶	0.442	0.319	0.378	0.399	0.235	0.226	0.192
珍珠	錢	美女	珠寶	0.431	0.378	0.353	0.257	0.187	0.222	0.149
珍珠	價值	美女	珠寶	0.427	0.378	0.369	0.257	0.214	0.222	0.141
珍珠	值錢	美女	珠寶	0.422	0.378	0.386	0.257	0.231	0.222	0.147
俗氣	搶劫	珍珠	珠寶	0.415	0.319	0.378	0.378	0.24	0.235	0.184
珍珠	高價	美女	珠寶	0.412	0.378	0.359	0.257	0.166	0.222	0.194
珍珠	美女	富貴	珠寶	0.382	0.378	0.257	0.4	0.222	0.229	0.203
珍珠	財富	美女	珠寶	0.379	0.378	0.399	0.257	0.192	0.222	0.242
珍珠	虛榮	美女	珠寶	0.348	0.378	0.33	0.257	0.169	0.222	0.227
珍珠	賺錢	美女	珠寶	0.347	0.378	0.367	0.257	0.184	0.222	0.249
昂貴	珍珠	美女	珠寶	0.333	0.324	0.378	0.257	0.246	0.159	0.222
俗氣	財富	美女	珠寶	0.314	0.319	0.399	0.257	0.226	0.193	0.242
俗氣	珍珠	美女	珠寶	0.303	0.319	0.378	0.257	0.235	0.193	0.222
