				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
加油	職棒	觀眾	球迷	0.606	0.32	0.289	0.483	0.127	0.133	0.226
棒球	暴動	觀眾	球迷	0.596	0.424	0.279	0.483	0.165	0.205	0.221
加油	暴動	觀眾	球迷	0.551	0.32	0.279	0.483	0.178	0.133	0.221
暴動	加油棒	觀眾	球迷	0.531	0.279	0.346	0.483	0.141	0.221	0.215
明星	球場	加油棒	球迷	0.513	0.379	0.481	0.346	0.235	0.218	0.24
加油	暴動	球場	球迷	0.488	0.32	0.279	0.481	0.178	0.167	0.247
明星	暴動	球場	球迷	0.481	0.379	0.279	0.481	0.176	0.235	0.247
暴動	球場	加油棒	球迷	0.479	0.279	0.481	0.346	0.247	0.141	0.24
加油	狂熱	職棒	球迷	0.472	0.32	0.31	0.289	0.146	0.127	0.174
明星	暴動	加油棒	球迷	0.469	0.379	0.279	0.346	0.176	0.218	0.141
加油棒	職棒	觀眾	球迷	0.439	0.346	0.289	0.483	0.238	0.215	0.226
暴動	職棒	觀眾	球迷	0.433	0.279	0.289	0.483	0.171	0.221	0.226
籃球	暴動	加油棒	球迷	0.418	0.388	0.279	0.346	0.23	0.225	0.141
明星	狂熱	加油棒	球迷	0.413	0.379	0.31	0.346	0.236	0.218	0.168
加油	暴動	職棒	球迷	0.412	0.32	0.279	0.289	0.178	0.127	0.171
熱情	明星	加油棒	球迷	0.409	0.255	0.379	0.346	0.162	0.191	0.218
籃球	加油	暴動	球迷	0.39	0.388	0.32	0.279	0.19	0.23	0.178
狂熱	加油棒	職棒	球迷	0.365	0.31	0.346	0.289	0.168	0.174	0.238
暴動	加油棒	職棒	球迷	0.365	0.279	0.346	0.289	0.141	0.171	0.238
熱情	加油	職棒	球迷	0.361	0.255	0.32	0.289	0.241	0.134	0.127
熱情	加油棒	職棒	球迷	0.326	0.255	0.346	0.289	0.191	0.134	0.238
