				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
運動	玉山	迷路	登山	0.852	0.339	0.408	0.4	0.02	0.106	0.169
運動	玉山	迷失	登山	0.82	0.339	0.408	0.25	0.02	0.125	0.032
玉山	潛水	迷失	登山	0.786	0.408	0.423	0.25	0.092	0.032	0.171
運動	玉山	背包	登山	0.776	0.339	0.408	0.431	0.02	0.217	0.164
玉山	露營	走路	登山	0.776	0.408	0.476	0.386	0.117	0.168	0.209
玉山	露營	迷失	登山	0.775	0.408	0.476	0.25	0.117	0.032	0.21
玉山	辛苦	露營	登山	0.77	0.408	0.261	0.476	0.149	0.117	0.109
玉山	背包	潛水	登山	0.763	0.408	0.431	0.423	0.164	0.092	0.242
運動	玉山	辛苦	登山	0.761	0.339	0.408	0.261	0.02	0.077	0.149
玉山	露營	健康	登山	0.747	0.408	0.476	0.307	0.117	0.165	0.163
玉山	健身	迷路	登山	0.74	0.408	0.451	0.4	0.158	0.169	0.193
玉山	潛水	走路	登山	0.739	0.408	0.423	0.386	0.092	0.168	0.218
玉山	健身	迷失	登山	0.735	0.408	0.451	0.25	0.158	0.032	0.184
玉山	露營	累	登山	0.729	0.408	0.476	0.266	0.117	0.18	0.125
玉山	迷路	潛水	登山	0.726	0.408	0.4	0.423	0.169	0.092	0.245
玉山	背包	游泳	登山	0.724	0.408	0.431	0.419	0.164	0.175	0.195
運動	背包	高山	登山	0.72	0.339	0.431	0.472	0.217	0.114	0.191
玉山	毅力	潛水	登山	0.714	0.408	0.344	0.423	0.21	0.092	0.159
玉山	迷路	休閒	登山	0.71	0.408	0.4	0.292	0.169	0.07	0.152
玉山	健康	潛水	登山	0.709	0.408	0.307	0.423	0.165	0.092	0.172
玉山	露營	毅力	登山	0.702	0.408	0.476	0.344	0.117	0.21	0.199
玉山	露營	鞋子	登山	0.695	0.408	0.476	0.32	0.117	0.162	0.231
背包	高山	走路	登山	0.691	0.431	0.472	0.386	0.191	0.233	0.174
玉山	背包	迷失	登山	0.688	0.408	0.431	0.25	0.164	0.032	0.205
運動	玉山	毅力	登山	0.679	0.339	0.408	0.344	0.02	0.182	0.21
玉山	健身	冒險	登山	0.677	0.408	0.451	0.327	0.158	0.125	0.227
玉山	休閒	迷失	登山	0.674	0.408	0.292	0.25	0.07	0.032	0.174
背包	健康	高山	登山	0.67	0.431	0.307	0.472	0.17	0.191	0.179
玉山	休閒	走路	登山	0.668	0.408	0.292	0.386	0.07	0.168	0.18
運動	高山	迷失	登山	0.667	0.339	0.472	0.25	0.114	0.125	0.156
運動	玉山	累	登山	0.665	0.339	0.408	0.266	0.02	0.149	0.18
運動	辛苦	高山	登山	0.663	0.339	0.261	0.472	0.077	0.114	0.218
玉山	背包	毅力	登山	0.66	0.408	0.431	0.344	0.164	0.21	0.148
玉山	背包	走路	登山	0.66	0.408	0.431	0.386	0.164	0.168	0.233
運動	累	高山	登山	0.657	0.339	0.266	0.472	0.149	0.114	0.158
運動	玉山	鞋子	登山	0.65	0.339	0.408	0.32	0.02	0.236	0.162
背包	毅力	潛水	登山	0.648	0.431	0.344	0.423	0.148	0.242	0.159
玉山	背包	健康	登山	0.647	0.408	0.431	0.307	0.164	0.165	0.17
背包	高山	望遠	登山	0.645	0.431	0.472	0.304	0.191	0.167	0.204
背包	潛水	高山	登山	0.645	0.431	0.423	0.472	0.242	0.191	0.248
玉山	辛苦	潛水	登山	0.643	0.408	0.261	0.423	0.149	0.092	0.208
潛水	高山	走路	登山	0.641	0.423	0.472	0.386	0.248	0.218	0.174
玉山	游泳	迷失	登山	0.638	0.408	0.419	0.25	0.175	0.032	0.232
玉山	辛苦	休閒	登山	0.634	0.408	0.261	0.292	0.149	0.07	0.108
