				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
熱	藥品	小孩	發燒	0.55	0.431	0.336	0.275	0.223	0.085	0.183
生病	熱	冰袋	發燒	0.546	0.394	0.431	0.287	0.138	0.224	0.204
難受	小孩	冰袋	發燒	0.52	0.48	0.275	0.287	0.124	0.175	0.222
藥品	小孩	臉紅	發燒	0.508	0.336	0.275	0.436	0.183	0.219	0.136
生病	冰袋	臉紅	發燒	0.497	0.394	0.287	0.436	0.224	0.246	0.15
小孩	冰袋	臉紅	發燒	0.49	0.275	0.287	0.436	0.222	0.136	0.15
熱	小孩	冰袋	發燒	0.481	0.431	0.275	0.287	0.085	0.204	0.222
熱	藥品	喝水	發燒	0.472	0.431	0.336	0.288	0.223	0.169	0.191
溫度	著急	小孩	發燒	0.457	0.422	0.341	0.275	0.211	0.156	0.213
難過	藥品	小孩	發燒	0.418	0.36	0.336	0.275	0.215	0.154	0.183
難過	小孩	冰袋	發燒	0.413	0.36	0.275	0.287	0.154	0.133	0.222
溫度計	難過	小孩	發燒	0.384	0.348	0.36	0.275	0.247	0.198	0.154
著急	藥品	小孩	發燒	0.38	0.341	0.336	0.275	0.176	0.213	0.183
難過	藥品	喝水	發燒	0.378	0.36	0.336	0.288	0.215	0.199	0.191
溫度計	著急	小孩	發燒	0.376	0.348	0.341	0.275	0.178	0.198	0.213
著急	小孩	冰袋	發燒	0.35	0.341	0.275	0.287	0.213	0.118	0.222
溫度計	難過	喝水	發燒	0.302	0.348	0.36	0.288	0.247	0.248	0.199
