				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
明亮	五官	眼淚	眼睛	0.863	0.493	0.459	0.331	0.249	0.145	0.026
五官	眼淚	光明	眼睛	0.798	0.459	0.331	0.273	0.026	0.108	0.13
明亮	五官	淚水	眼睛	0.798	0.493	0.459	0.359	0.249	0.177	0.088
明亮	眼淚	器官	眼睛	0.784	0.493	0.331	0.347	0.145	0.152	0.09
明亮	淚水	器官	眼睛	0.772	0.493	0.359	0.347	0.177	0.152	0.099
五官	眼淚	黑色	眼睛	0.75	0.459	0.331	0.324	0.026	0.167	0.17
五官	淚水	光明	眼睛	0.747	0.459	0.359	0.273	0.088	0.108	0.149
眉毛	眼淚	感官	眼睛	0.741	0.497	0.331	0.405	0.194	0.208	0.09
五官	淚水	黑色	眼睛	0.737	0.459	0.359	0.324	0.088	0.167	0.149
明亮	近視	器官	眼睛	0.733	0.493	0.423	0.347	0.166	0.152	0.211
眼鏡	感官	哭	眼睛	0.73	0.43	0.405	0.309	0.158	0.118	0.139
眼鏡	明亮	器官	眼睛	0.721	0.43	0.493	0.347	0.21	0.187	0.152
眉毛	淚水	感官	眼睛	0.718	0.497	0.359	0.405	0.213	0.208	0.122
眉毛	感官	閃亮	眼睛	0.716	0.497	0.405	0.304	0.208	0.161	0.12
五官	世界	眼淚	眼睛	0.7	0.459	0.255	0.331	0.165	0.026	0.155
眉毛	器官	閃亮	眼睛	0.693	0.497	0.347	0.304	0.243	0.161	0.051
眼鏡	器官	哭	眼睛	0.691	0.43	0.347	0.309	0.187	0.118	0.091
眉毛	眼淚	光明	眼睛	0.69	0.497	0.331	0.273	0.194	0.087	0.13
眉毛	感官	光明	眼睛	0.685	0.497	0.405	0.273	0.208	0.087	0.194
眉毛	淚水	光明	眼睛	0.68	0.497	0.359	0.273	0.213	0.087	0.149
近視	感官	黑色	眼睛	0.675	0.423	0.405	0.324	0.194	0.123	0.159
眉毛	視覺	哭	眼睛	0.672	0.497	0.359	0.309	0.192	0.239	0.062
