				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
休息	作夢	被子	睡覺	0.824	0.462	0.469	0.42	0.23	0.172	0.125
作夢	放鬆	被子	睡覺	0.776	0.469	0.377	0.42	0.218	0.125	0.148
休息	作夢	棉被	睡覺	0.731	0.462	0.469	0.338	0.23	0.166	0.141
作夢	棉被	放鬆	睡覺	0.721	0.469	0.338	0.377	0.141	0.218	0.103
床	放鬆	黑夜	睡覺	0.655	0.364	0.377	0.301	0.15	0.132	0.105
作夢	床	放鬆	睡覺	0.653	0.469	0.364	0.377	0.189	0.218	0.15
休息	作夢	床	睡覺	0.646	0.462	0.469	0.364	0.23	0.231	0.189
打呼	放鬆	黑夜	睡覺	0.567	0.433	0.377	0.301	0.233	0.206	0.105
休息	床	黑夜	睡覺	0.525	0.462	0.364	0.301	0.231	0.24	0.132
床	黑夜	累了	睡覺	0.515	0.364	0.301	0.444	0.132	0.226	0.237
