				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
送人	高興	情人	禮物	0.809	0.467	0.425	0.335	0.161	0.225	0.032
包裝	喜悅	情人	禮物	0.794	0.463	0.409	0.335	0.172	0.117	0.124
送人	慶祝	神秘	禮物	0.788	0.467	0.448	0.285	0.122	0.157	0.133
送人	耶誕節	友誼	禮物	0.78	0.467	0.38	0.383	0.184	0.089	0.178
送人	情人	慶祝	禮物	0.779	0.467	0.335	0.448	0.225	0.122	0.124
送人	喜悅	情人	禮物	0.778	0.467	0.409	0.335	0.084	0.225	0.124
高興	情人	精美	禮物	0.763	0.425	0.335	0.342	0.032	0.188	0.118
送人	喜悅	神秘	禮物	0.747	0.467	0.409	0.285	0.084	0.157	0.173
送人	高興	耶誕節	禮物	0.742	0.467	0.425	0.38	0.161	0.184	0.186
包裝	耶誕節	朋友	禮物	0.741	0.463	0.38	0.282	0.122	0.096	0.167
送人	高興	神秘	禮物	0.736	0.467	0.425	0.285	0.161	0.157	0.123
包裝	耶誕節	神秘	禮物	0.731	0.463	0.38	0.285	0.122	0.129	0.147
送人	耶誕節	節目	禮物	0.729	0.467	0.38	0.434	0.184	0.13	0.238
送人	情人	快樂	禮物	0.729	0.467	0.335	0.491	0.225	0.138	0.201
送人	節目	神秘	禮物	0.726	0.467	0.434	0.285	0.13	0.157	0.173
包裝	心意	耶誕節	禮物	0.726	0.463	0.406	0.38	0.21	0.122	0.192
送人	愛	神秘	禮物	0.724	0.467	0.377	0.285	0.123	0.157	0.125
送人	快樂	神秘	禮物	0.721	0.467	0.491	0.285	0.138	0.157	0.227
送人	喜悅	禮貌	禮物	0.713	0.467	0.409	0.411	0.084	0.242	0.248
送人	耶誕節	愛	禮物	0.706	0.467	0.38	0.377	0.184	0.123	0.212
送人	情人	節目	禮物	0.702	0.467	0.335	0.434	0.225	0.13	0.178
情人	慶祝	精美	禮物	0.698	0.335	0.448	0.342	0.124	0.118	0.184
包裝	耶誕節	友誼	禮物	0.698	0.463	0.38	0.383	0.122	0.229	0.178
生日	包裝	友誼	禮物	0.698	0.425	0.463	0.383	0.126	0.218	0.229
送人	友誼	神秘	禮物	0.695	0.467	0.383	0.285	0.089	0.157	0.194
生日	精美	愛	禮物	0.687	0.425	0.342	0.377	0.193	0.161	0.103
包裝	喜悅	朋友	禮物	0.686	0.463	0.409	0.282	0.172	0.096	0.201
包裝	喜悅	神秘	禮物	0.684	0.463	0.409	0.285	0.172	0.129	0.173
心意	慶祝	神秘	禮物	0.677	0.406	0.448	0.285	0.158	0.17	0.133
心意	耶誕節	節目	禮物	0.668	0.406	0.38	0.434	0.192	0.121	0.238
生日	精美	節目	禮物	0.667	0.425	0.342	0.434	0.193	0.178	0.162
高興	情人	神秘	禮物	0.662	0.425	0.335	0.285	0.032	0.123	0.226
心意	節目	神秘	禮物	0.661	0.406	0.434	0.285	0.121	0.17	0.173
情人	精美	禮貌	禮物	0.653	0.335	0.342	0.411	0.118	0.15	0.167
情人	精美	快樂	禮物	0.653	0.335	0.342	0.491	0.118	0.201	0.195
情人	精美	節目	禮物	0.652	0.335	0.342	0.434	0.118	0.178	0.162
耶誕節	精美	愛	禮物	0.646	0.38	0.342	0.377	0.138	0.212	0.103
包裝	心意	神秘	禮物	0.645	0.463	0.406	0.285	0.21	0.129	0.17
高興	心意	耶誕節	禮物	0.645	0.425	0.406	0.38	0.188	0.186	0.192
送人	耶誕節	神秘	禮物	0.644	0.467	0.38	0.285	0.184	0.157	0.147
送人	情人	友誼	禮物	0.643	0.467	0.335	0.383	0.225	0.089	0.228
高興	耶誕節	精美	禮物	0.635	0.425	0.38	0.342	0.186	0.188	0.138
高興	心意	神秘	禮物	0.634	0.425	0.406	0.285	0.188	0.123	0.17
送人	耶誕節	禮貌	禮物	0.634	0.467	0.38	0.411	0.184	0.242	0.199
高興	耶誕節	神秘	禮物	0.633	0.425	0.38	0.285	0.186	0.123	0.147
喜悅	情人	禮貌	禮物	0.632	0.409	0.335	0.411	0.124	0.248	0.15
喜悅	情人	精美	禮物	0.63	0.409	0.335	0.342	0.124	0.214	0.118
耶誕節	精美	禮貌	禮物	0.629	0.38	0.342	0.411	0.138	0.199	0.167
生日	精美	禮貌	禮物	0.619	0.425	0.342	0.411	0.193	0.199	0.167
耶誕節	精美	節目	禮物	0.618	0.38	0.342	0.434	0.138	0.238	0.162
情人	精美	愛	禮物	0.614	0.335	0.342	0.377	0.118	0.219	0.103
送人	情人	愛	禮物	0.612	0.467	0.335	0.377	0.225	0.123	0.219
包裝	情人	神秘	禮物	0.61	0.463	0.335	0.285	0.117	0.129	0.226
包裝	情人	友誼	禮物	0.606	0.463	0.335	0.383	0.117	0.229	0.228
包裝	心意	友誼	禮物	0.598	0.463	0.406	0.383	0.21	0.229	0.216
送人	情人	禮貌	禮物	0.596	0.467	0.335	0.411	0.225	0.242	0.15
生日	高興	精美	禮物	0.592	0.425	0.425	0.342	0.218	0.193	0.188
情人	慶祝	神秘	禮物	0.584	0.335	0.448	0.285	0.124	0.226	0.133
心意	耶誕節	友誼	禮物	0.584	0.406	0.38	0.383	0.192	0.216	0.178
包裝	友誼	神秘	禮物	0.579	0.463	0.383	0.285	0.229	0.129	0.194
心意	快樂	神秘	禮物	0.576	0.406	0.491	0.285	0.208	0.17	0.227
耶誕節	友誼	精美	禮物	0.569	0.38	0.383	0.342	0.178	0.138	0.22
