				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
愉快	女孩	滿面	笑容	0.701	0.375	0.38	0.436	0.178	0.226	0.087
愉快	嘴巴	滿面	笑容	0.637	0.375	0.38	0.436	0.197	0.226	0.131
和善	哭泣	滿面	笑容	0.632	0.492	0.361	0.436	0.207	0.24	0.209
親近	女孩	滿面	笑容	0.618	0.271	0.38	0.436	0.172	0.211	0.087
和善	酒窩	哭泣	笑容	0.614	0.492	0.4	0.361	0.224	0.207	0.208
女孩	溫馨	滿面	笑容	0.611	0.38	0.265	0.436	0.163	0.087	0.221
親近	嘴巴	滿面	笑容	0.605	0.271	0.38	0.436	0.141	0.211	0.131
哭泣	嘴巴	滿面	笑容	0.602	0.361	0.38	0.436	0.234	0.209	0.131
嘴巴	溫馨	滿面	笑容	0.599	0.38	0.265	0.436	0.131	0.131	0.221
陽光	愉快	嘴巴	笑容	0.593	0.312	0.375	0.38	0.203	0.074	0.197
開朗	哭泣	嘴巴	笑容	0.59	0.365	0.361	0.38	0.17	0.112	0.234
和善	陽光	哭泣	笑容	0.588	0.492	0.312	0.361	0.213	0.207	0.157
陽光	哭泣	嘴巴	笑容	0.588	0.312	0.361	0.38	0.157	0.074	0.234
迷人	哭泣	滿面	笑容	0.587	0.432	0.361	0.436	0.244	0.189	0.209
哭泣	和藹	嘴巴	笑容	0.585	0.361	0.448	0.38	0.173	0.234	0.196
親切	哭泣	嘴巴	笑容	0.57	0.352	0.361	0.38	0.167	0.121	0.234
酒窩	愉快	嘴巴	笑容	0.556	0.4	0.375	0.38	0.154	0.248	0.197
迷人	哭泣	臉	笑容	0.534	0.432	0.361	0.391	0.244	0.178	0.228
哭泣	嘴巴	溫馨	笑容	0.488	0.361	0.38	0.265	0.234	0.153	0.131
哭泣	溫馨	滿面	笑容	0.479	0.361	0.265	0.436	0.153	0.209	0.221
陽光	迷人	哭泣	笑容	0.473	0.312	0.432	0.361	0.231	0.157	0.244
陽光	愉快	女孩	笑容	0.453	0.312	0.375	0.38	0.203	0.233	0.178
酒窩	哭泣	嘴巴	笑容	0.451	0.4	0.361	0.38	0.208	0.248	0.234
