				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
山水	天才	表達	繪畫	0.662	0.371	0.315	0.379	0.189	0.135	0.079
彩色	天才	表達	繪畫	0.66	0.353	0.315	0.379	0.192	0.116	0.079
天份	山水	表達	繪畫	0.652	0.398	0.371	0.379	0.178	0.183	0.135
天份	彩色	表達	繪畫	0.635	0.398	0.353	0.379	0.196	0.183	0.116
彩色	欣賞	天才	繪畫	0.599	0.353	0.443	0.315	0.168	0.192	0.151
彩色	寫詩	休閒	繪畫	0.582	0.353	0.45	0.311	0.095	0.195	0.242
色彩	寫詩	休閒	繪畫	0.578	0.378	0.45	0.311	0.147	0.172	0.242
色彩	欣賞	天才	繪畫	0.554	0.378	0.443	0.315	0.207	0.224	0.151
山水	欣賞	天才	繪畫	0.553	0.371	0.443	0.315	0.235	0.189	0.151
山水	才能	表達	繪畫	0.543	0.371	0.255	0.379	0.114	0.135	0.213
天份	表達	休閒	繪畫	0.537	0.398	0.379	0.311	0.183	0.136	0.232
天份	彩色	休閒	繪畫	0.535	0.398	0.353	0.311	0.196	0.136	0.195
天才	表達	休閒	繪畫	0.533	0.315	0.379	0.311	0.079	0.161	0.232
彩色	表達	休閒	繪畫	0.5	0.353	0.379	0.311	0.116	0.195	0.232
彩色	才能	表達	繪畫	0.455	0.353	0.255	0.379	0.202	0.116	0.213
色彩	天才	休閒	繪畫	0.447	0.378	0.315	0.311	0.224	0.172	0.161
彩色	天才	休閒	繪畫	0.431	0.353	0.315	0.311	0.192	0.195	0.161
彩色	才能	休閒	繪畫	0.424	0.353	0.255	0.311	0.202	0.195	0.098
才能	表達	休閒	繪畫	0.401	0.255	0.379	0.311	0.213	0.098	0.232
