				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
野獸	漂亮	寫真集	美女	0.662	0.484	0.432	0.294	0.136	0.247	0.165
野獸	寫真集	老婆	美女	0.601	0.484	0.294	0.427	0.247	0.19	0.167
野獸	窈窕	老婆	美女	0.6	0.484	0.35	0.427	0.234	0.19	0.237
窈窕	寫真集	老婆	美女	0.491	0.35	0.294	0.427	0.177	0.237	0.167
氣質	窈窕	老婆	美女	0.479	0.358	0.35	0.427	0.244	0.175	0.237
野獸	身材	寫真集	美女	0.474	0.484	0.437	0.294	0.244	0.247	0.249
欣賞	窈窕	老婆	美女	0.473	0.266	0.35	0.427	0.125	0.207	0.237
野獸	窈窕	寫真集	美女	0.471	0.484	0.35	0.294	0.234	0.247	0.177
長髮	窈窕	老婆	美女	0.466	0.367	0.35	0.427	0.248	0.193	0.237
窈窕	可愛	老婆	美女	0.383	0.35	0.337	0.427	0.245	0.237	0.249
