				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
圍觀	民意	個人	群眾	0.665	0.471	0.362	0.374	0.161	0.196	0.185
圍觀	民意	團結	群眾	0.657	0.471	0.362	0.429	0.161	0.219	0.225
圍觀	政府	團結	群眾	0.645	0.471	0.354	0.429	0.167	0.219	0.221
民意	人	熱情	群眾	0.612	0.362	0.316	0.368	0.192	0.13	0.112
圍觀	意見	政府	群眾	0.604	0.471	0.34	0.354	0.232	0.167	0.161
活動	民意	人	群眾	0.58	0.413	0.362	0.316	0.148	0.17	0.192
民意	團結	人	群眾	0.579	0.362	0.429	0.316	0.225	0.192	0.11
政府	圍毆	熱情	群眾	0.568	0.354	0.262	0.368	0.085	0.097	0.233
暴動	大家	個人	群眾	0.566	0.362	0.281	0.374	0.036	0.174	0.24
力量	圍觀	個人	群眾	0.566	0.268	0.471	0.374	0.156	0.194	0.196
民意	圍毆	個人	群眾	0.557	0.362	0.262	0.374	0.125	0.185	0.131
示威	人	個人	群眾	0.549	0.359	0.316	0.374	0.195	0.107	0.197
示威	人	熱情	群眾	0.546	0.359	0.316	0.368	0.195	0.19	0.112
團結	人	盲從	群眾	0.541	0.429	0.316	0.303	0.11	0.249	0.147
活動	政府	圍毆	群眾	0.541	0.413	0.354	0.262	0.164	0.238	0.085
掌聲	示威	個人	群眾	0.537	0.317	0.359	0.374	0.196	0.21	0.107
掌聲	民意	人	群眾	0.535	0.317	0.362	0.316	0.144	0.124	0.192
活動	大家	民意	群眾	0.535	0.413	0.281	0.362	0.172	0.148	0.201
熱鬧	民意	人	群眾	0.525	0.314	0.362	0.316	0.15	0.125	0.192
活動	民意	圍毆	群眾	0.525	0.413	0.362	0.262	0.148	0.238	0.125
無知	民意	人	群眾	0.523	0.347	0.362	0.316	0.171	0.138	0.192
大家	示威	個人	群眾	0.521	0.281	0.359	0.374	0.146	0.24	0.107
暴動	人	個人	群眾	0.519	0.362	0.316	0.374	0.16	0.174	0.197
掌聲	民意	個人	群眾	0.515	0.317	0.362	0.374	0.144	0.21	0.185
意見	示威	人	群眾	0.508	0.34	0.359	0.316	0.164	0.148	0.195
暴動	意見	人	群眾	0.506	0.362	0.34	0.316	0.203	0.16	0.148
無知	示威	人	群眾	0.506	0.347	0.359	0.316	0.182	0.138	0.195
民意	圍毆	熱情	群眾	0.504	0.362	0.262	0.368	0.125	0.13	0.233
暴動	政府	眾人	群眾	0.503	0.362	0.354	0.455	0.222	0.227	0.217
政府	團結	圍毆	群眾	0.501	0.354	0.429	0.262	0.221	0.085	0.237
抗議	人	個人	群眾	0.497	0.337	0.316	0.374	0.115	0.216	0.197
遊行	人	熱情	群眾	0.496	0.366	0.316	0.368	0.196	0.246	0.112
力量	圍觀	意見	群眾	0.491	0.268	0.471	0.34	0.156	0.2	0.232
人群	暴動	個人	群眾	0.489	0.381	0.362	0.374	0.247	0.207	0.174
大家	民意	圍毆	群眾	0.485	0.281	0.362	0.262	0.201	0.094	0.125
無知	大家	示威	群眾	0.481	0.347	0.281	0.359	0.177	0.182	0.146
暴動	掌聲	人	群眾	0.48	0.362	0.317	0.316	0.23	0.16	0.124
遊行	人	個人	群眾	0.48	0.366	0.316	0.374	0.196	0.181	0.197
掌聲	示威	人	群眾	0.477	0.317	0.359	0.316	0.196	0.124	0.195
民意	人	個人	群眾	0.477	0.362	0.316	0.374	0.192	0.185	0.197
掌聲	人	個人	群眾	0.476	0.317	0.316	0.374	0.124	0.21	0.197
遊行	意見	人	群眾	0.471	0.366	0.34	0.316	0.206	0.196	0.148
暴動	意見	政府	群眾	0.469	0.362	0.34	0.354	0.203	0.222	0.161
人群	圍毆	個人	群眾	0.468	0.381	0.262	0.374	0.211	0.207	0.131
熱鬧	民意	個人	群眾	0.467	0.314	0.362	0.374	0.15	0.249	0.185
民意	團結	圍毆	群眾	0.466	0.362	0.429	0.262	0.225	0.125	0.237
人群	暴動	意見	群眾	0.465	0.381	0.362	0.34	0.247	0.167	0.203
政府	團結	盲從	群眾	0.463	0.354	0.429	0.303	0.221	0.151	0.249
示威	人	盲從	群眾	0.461	0.359	0.316	0.303	0.195	0.174	0.147
抗議	人	盲從	群眾	0.461	0.337	0.316	0.303	0.115	0.232	0.147
人群	團結	圍毆	群眾	0.457	0.381	0.429	0.262	0.166	0.211	0.237
選舉	人	盲從	群眾	0.453	0.382	0.316	0.303	0.216	0.185	0.147
大家	民意	熱情	群眾	0.452	0.281	0.362	0.368	0.201	0.227	0.13
大家	圍毆	個人	群眾	0.452	0.281	0.262	0.374	0.094	0.24	0.131
活動	大家	圍毆	群眾	0.451	0.413	0.281	0.262	0.172	0.238	0.094
暴動	大家	掌聲	群眾	0.451	0.362	0.281	0.317	0.036	0.23	0.242
團結	圍毆	人	群眾	0.445	0.429	0.262	0.316	0.237	0.11	0.214
大家	示威	熱情	群眾	0.444	0.281	0.359	0.368	0.146	0.227	0.19
意見	喧嘩	政府	群眾	0.443	0.34	0.255	0.354	0.222	0.161	0.123
選舉	大家	圍毆	群眾	0.441	0.382	0.281	0.262	0.185	0.204	0.094
無知	大家	民意	群眾	0.441	0.347	0.281	0.362	0.177	0.171	0.201
暴動	掌聲	個人	群眾	0.439	0.362	0.317	0.374	0.23	0.174	0.21
喧嘩	民意	個人	群眾	0.438	0.255	0.362	0.374	0.163	0.205	0.185
力量	圍毆	個人	群眾	0.435	0.268	0.262	0.374	0.143	0.194	0.131
遊行	大家	個人	群眾	0.435	0.366	0.281	0.374	0.164	0.181	0.24
熱鬧	人	個人	群眾	0.433	0.314	0.316	0.374	0.125	0.249	0.197
人群	掌聲	個人	群眾	0.431	0.381	0.317	0.374	0.225	0.207	0.21
抗議	大家	個人	群眾	0.427	0.337	0.281	0.374	0.109	0.216	0.24
抗議	人群	個人	群眾	0.423	0.337	0.381	0.374	0.246	0.216	0.207
力量	熱鬧	人	群眾	0.418	0.268	0.314	0.316	0.141	0.214	0.125
大家	示威	盲從	群眾	0.415	0.281	0.359	0.303	0.146	0.207	0.174
喧嘩	民意	人	群眾	0.414	0.255	0.362	0.316	0.163	0.163	0.192
人群	選舉	圍毆	群眾	0.412	0.381	0.382	0.262	0.198	0.211	0.204
民意	圍毆	人	群眾	0.409	0.362	0.262	0.316	0.125	0.192	0.214
圍毆	人	個人	群眾	0.409	0.262	0.316	0.374	0.214	0.131	0.197
暴動	掌聲	政府	群眾	0.407	0.362	0.317	0.354	0.23	0.222	0.173
遊行	人	盲從	群眾	0.403	0.366	0.316	0.303	0.196	0.239	0.147
力量	人群	意見	群眾	0.4	0.268	0.381	0.34	0.223	0.2	0.167
力量	人群	個人	群眾	0.4	0.268	0.381	0.374	0.223	0.194	0.207
民意	人	盲從	群眾	0.4	0.362	0.316	0.303	0.192	0.242	0.147
大家	民意	個人	群眾	0.391	0.281	0.362	0.374	0.201	0.24	0.185
選舉	大家	盲從	群眾	0.389	0.382	0.281	0.303	0.185	0.185	0.207
圍毆	人	熱情	群眾	0.387	0.262	0.316	0.368	0.214	0.233	0.112
人群	圍毆	熱情	群眾	0.383	0.381	0.262	0.368	0.211	0.184	0.233
力量	活動	人	群眾	0.383	0.268	0.413	0.316	0.23	0.214	0.17
力量	掌聲	人	群眾	0.381	0.268	0.317	0.316	0.182	0.214	0.124
喧嘩	人	個人	群眾	0.379	0.255	0.316	0.374	0.163	0.205	0.197
意見	喧嘩	人	群眾	0.378	0.34	0.255	0.316	0.222	0.148	0.163
抗議	力量	人	群眾	0.378	0.337	0.268	0.316	0.214	0.115	0.214
民意	團結	盲從	群眾	0.377	0.362	0.429	0.303	0.225	0.242	0.249
遊行	大家	熱情	群眾	0.377	0.366	0.281	0.368	0.164	0.246	0.227
力量	無知	人	群眾	0.374	0.268	0.347	0.316	0.204	0.214	0.138
大家	掌聲	民意	群眾	0.373	0.281	0.317	0.362	0.242	0.201	0.144
大家	掌聲	示威	群眾	0.373	0.281	0.317	0.359	0.242	0.146	0.196
力量	掌聲	個人	群眾	0.373	0.268	0.317	0.374	0.182	0.194	0.21
熱鬧	大家	民意	群眾	0.373	0.314	0.281	0.362	0.234	0.15	0.201
抗議	大家	盲從	群眾	0.372	0.337	0.281	0.303	0.109	0.232	0.207
力量	熱鬧	個人	群眾	0.372	0.268	0.314	0.374	0.141	0.194	0.249
力量	喧嘩	個人	群眾	0.37	0.268	0.255	0.374	0.127	0.194	0.205
力量	大家	圍毆	群眾	0.369	0.268	0.281	0.262	0.204	0.143	0.094
活動	圍毆	人	群眾	0.368	0.413	0.262	0.316	0.238	0.17	0.214
大家	喧嘩	民意	群眾	0.367	0.281	0.255	0.362	0.167	0.201	0.163
力量	意見	人	群眾	0.362	0.268	0.34	0.316	0.2	0.214	0.148
抗議	力量	大家	群眾	0.358	0.337	0.268	0.281	0.214	0.109	0.204
人群	暴動	掌聲	群眾	0.358	0.381	0.362	0.317	0.247	0.225	0.23
大家	圍毆	熱情	群眾	0.356	0.281	0.262	0.368	0.094	0.227	0.233
力量	活動	大家	群眾	0.356	0.268	0.413	0.281	0.23	0.204	0.172
抗議	力量	個人	群眾	0.354	0.337	0.268	0.374	0.214	0.216	0.194
力量	人	個人	群眾	0.352	0.268	0.316	0.374	0.214	0.194	0.197
