				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
福利	柺杖	大海	老人	0.745	0.373	0.497	0.255	0.171	0.098	0.111
獨居	柺杖	大海	老人	0.725	0.421	0.497	0.255	0.217	0.12	0.111
福利	獨居	柺杖	老人	0.722	0.373	0.421	0.497	0.18	0.171	0.217
福利	獨居	慈祥	老人	0.719	0.373	0.421	0.471	0.18	0.159	0.206
獨居	年金	柺杖	老人	0.693	0.421	0.376	0.497	0.161	0.217	0.222
獨居	年金	慈祥	老人	0.664	0.421	0.376	0.471	0.161	0.206	0.236
照顧	柺杖	大海	老人	0.663	0.32	0.497	0.255	0.194	0.105	0.111
照顧	年金	柺杖	老人	0.653	0.32	0.376	0.497	0.124	0.194	0.222
福利	獨居	大海	老人	0.651	0.373	0.421	0.255	0.18	0.098	0.12
獨居	年金	年少	老人	0.644	0.421	0.376	0.262	0.161	0.15	0.104
智慧	獨居	鬍子	老人	0.639	0.292	0.421	0.343	0.109	0.153	0.155
福利	死亡	慈祥	老人	0.636	0.373	0.291	0.471	0.192	0.159	0.147
智慧	獨居	柺杖	老人	0.636	0.292	0.421	0.497	0.109	0.248	0.217
福利	死亡	柺杖	老人	0.632	0.373	0.291	0.497	0.192	0.171	0.166
年金	柺杖	大海	老人	0.627	0.376	0.497	0.255	0.222	0.168	0.111
福利	皺紋	柺杖	老人	0.623	0.373	0.286	0.497	0.156	0.171	0.206
福利	獨居	鬍子	老人	0.62	0.373	0.421	0.343	0.18	0.182	0.155
獨居	死亡	慈祥	老人	0.619	0.421	0.291	0.471	0.211	0.206	0.147
獨居	死亡	柺杖	老人	0.614	0.421	0.291	0.497	0.211	0.217	0.166
智慧	獨居	年金	老人	0.614	0.292	0.421	0.376	0.109	0.205	0.161
福利	柺杖	年少	老人	0.611	0.373	0.497	0.262	0.171	0.13	0.221
獨居	年金	大海	老人	0.603	0.421	0.376	0.255	0.161	0.12	0.168
福利	獨居	年少	老人	0.596	0.373	0.421	0.262	0.18	0.13	0.15
獨居	年金	月亮	老人	0.595	0.421	0.376	0.278	0.161	0.126	0.192
獨居	年金	鬍子	老人	0.593	0.421	0.376	0.343	0.161	0.155	0.231
獨居	柺杖	年少	老人	0.592	0.421	0.497	0.262	0.217	0.15	0.221
福利	智慧	獨居	老人	0.591	0.373	0.292	0.421	0.205	0.18	0.109
年金	柺杖	年少	老人	0.587	0.376	0.497	0.262	0.222	0.104	0.221
照顧	死亡	柺杖	老人	0.583	0.32	0.291	0.497	0.165	0.194	0.166
虛弱	柺杖	大海	老人	0.58	0.294	0.497	0.255	0.244	0.111	0.111
照顧	年金	年少	老人	0.579	0.32	0.376	0.262	0.124	0.15	0.104
獨居	皺紋	柺杖	老人	0.578	0.421	0.286	0.497	0.202	0.217	0.206
智慧	照顧	柺杖	老人	0.572	0.292	0.32	0.497	0.096	0.248	0.194
福利	虛弱	柺杖	老人	0.564	0.373	0.294	0.497	0.185	0.171	0.244
皺紋	柺杖	大海	老人	0.563	0.286	0.497	0.255	0.206	0.157	0.111
智慧	照顧	年金	老人	0.562	0.292	0.32	0.376	0.096	0.205	0.124
獨居	死亡	鬍子	老人	0.558	0.421	0.291	0.343	0.211	0.155	0.131
福利	獨居	月亮	老人	0.557	0.373	0.421	0.278	0.18	0.208	0.126
照顧	年金	大海	老人	0.554	0.32	0.376	0.255	0.124	0.105	0.168
孤獨	福利	柺杖	老人	0.554	0.31	0.373	0.497	0.222	0.234	0.171
孤獨	年金	柺杖	老人	0.549	0.31	0.376	0.497	0.178	0.234	0.222
照顧	年金	月亮	老人	0.548	0.32	0.376	0.278	0.124	0.109	0.192
獨居	鬍子	大海	老人	0.543	0.421	0.343	0.255	0.155	0.12	0.201
福利	獨居	皺紋	老人	0.541	0.373	0.421	0.286	0.18	0.156	0.202
福利	智慧	柺杖	老人	0.538	0.373	0.292	0.497	0.205	0.171	0.248
死亡	年金	柺杖	老人	0.535	0.291	0.376	0.497	0.24	0.166	0.222
智慧	照顧	鬍子	老人	0.534	0.292	0.32	0.343	0.096	0.153	0.173
智慧	獨居	年少	老人	0.529	0.292	0.421	0.262	0.109	0.188	0.15
福利	虛弱	大海	老人	0.528	0.373	0.294	0.255	0.185	0.098	0.111
皺紋	死亡	柺杖	老人	0.524	0.286	0.291	0.497	0.178	0.206	0.166
年金	虛弱	柺杖	老人	0.518	0.376	0.294	0.497	0.182	0.222	0.244
獨居	年少	月亮	老人	0.515	0.421	0.262	0.278	0.15	0.126	0.17
照顧	柺杖	年少	老人	0.515	0.32	0.497	0.262	0.194	0.15	0.221
死亡	年金	慈祥	老人	0.514	0.291	0.376	0.471	0.24	0.147	0.236
照顧	年金	鬍子	老人	0.511	0.32	0.376	0.343	0.124	0.173	0.231
獨居	年少	鬍子	老人	0.51	0.421	0.262	0.343	0.15	0.155	0.211
智慧	獨居	大海	老人	0.507	0.292	0.421	0.255	0.109	0.232	0.12
獨居	死亡	月亮	老人	0.506	0.421	0.291	0.278	0.211	0.126	0.147
福利	皺紋	大海	老人	0.502	0.373	0.286	0.255	0.156	0.098	0.157
福利	獨居	死亡	老人	0.501	0.373	0.421	0.291	0.18	0.192	0.211
福利	死亡	鬍子	老人	0.501	0.373	0.291	0.343	0.192	0.182	0.131
智慧	獨居	皺紋	老人	0.495	0.292	0.421	0.286	0.109	0.193	0.202
死亡	柺杖	年少	老人	0.493	0.291	0.497	0.262	0.166	0.17	0.221
福利	鬍子	大海	老人	0.49	0.373	0.343	0.255	0.182	0.098	0.201
智慧	年金	柺杖	老人	0.489	0.292	0.376	0.497	0.205	0.248	0.222
皺紋	年金	柺杖	老人	0.487	0.286	0.376	0.497	0.243	0.206	0.222
照顧	死亡	鬍子	老人	0.485	0.32	0.291	0.343	0.165	0.173	0.131
獨居	皺紋	大海	老人	0.482	0.421	0.286	0.255	0.202	0.12	0.157
皺紋	照顧	柺杖	老人	0.482	0.286	0.32	0.497	0.222	0.206	0.194
獨居	皺紋	月亮	老人	0.478	0.421	0.286	0.278	0.202	0.126	0.178
獨居	皺紋	年金	老人	0.476	0.421	0.286	0.376	0.202	0.161	0.243
獨居	死亡	年金	老人	0.476	0.421	0.291	0.376	0.211	0.161	0.24
智慧	獨居	死亡	老人	0.472	0.292	0.421	0.291	0.109	0.213	0.211
照顧	死亡	月亮	老人	0.468	0.32	0.291	0.278	0.165	0.109	0.147
福利	智慧	鬍子	老人	0.468	0.373	0.292	0.343	0.205	0.182	0.153
年金	虛弱	大海	老人	0.464	0.376	0.294	0.255	0.182	0.168	0.111
柺杖	年少	大海	老人	0.462	0.497	0.262	0.255	0.221	0.111	0.22
年金	生病	鬍子	老人	0.459	0.376	0.402	0.343	0.231	0.231	0.2
福利	虛弱	鬍子	老人	0.459	0.373	0.294	0.343	0.185	0.182	0.184
