				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
教授	威嚴	粉筆	老師	0.631	0.456	0.334	0.458	0.163	0.209	0.246
尊敬	教授	分數	老師	0.631	0.262	0.456	0.408	0.242	0.081	0.173
尊敬	教授	粉筆	老師	0.609	0.262	0.456	0.458	0.242	0.117	0.209
教授	權威	粉筆	老師	0.593	0.456	0.294	0.458	0.229	0.209	0.178
尊敬	黑板	分數	老師	0.567	0.262	0.4	0.408	0.181	0.081	0.241
尊敬	考試	黑板	老師	0.553	0.262	0.421	0.4	0.147	0.181	0.202
尊敬	孔子	分數	老師	0.522	0.262	0.261	0.408	0.187	0.081	0.142
尊敬	黑板	知識	老師	0.512	0.262	0.4	0.36	0.181	0.154	0.175
尊敬	考試	教授	老師	0.502	0.262	0.421	0.456	0.147	0.242	0.249
尊敬	教育	粉筆	老師	0.498	0.262	0.32	0.458	0.204	0.117	0.222
教育	威嚴	粉筆	老師	0.494	0.32	0.334	0.458	0.151	0.222	0.246
尊敬	知識	教授	老師	0.48	0.262	0.36	0.456	0.154	0.242	0.202
黑板	孔子	權威	老師	0.474	0.4	0.261	0.294	0.232	0.12	0.129
孔子	權威	粉筆	老師	0.474	0.261	0.294	0.458	0.129	0.233	0.178
黑板	孔子	威嚴	老師	0.456	0.4	0.261	0.334	0.232	0.152	0.155
黑板	孔子	分數	老師	0.454	0.4	0.261	0.408	0.232	0.241	0.142
尊敬	孔子	粉筆	老師	0.445	0.262	0.261	0.458	0.187	0.117	0.233
考試	黑板	孔子	老師	0.439	0.421	0.4	0.261	0.202	0.209	0.232
黑板	知識	孔子	老師	0.436	0.4	0.36	0.261	0.175	0.232	0.178
孔子	威嚴	粉筆	老師	0.421	0.261	0.334	0.458	0.155	0.233	0.246
黑板	孔子	嚴肅	老師	0.414	0.4	0.261	0.349	0.232	0.207	0.156
尊敬	考試	孔子	老師	0.402	0.262	0.421	0.261	0.147	0.187	0.209
尊敬	知識	孔子	老師	0.365	0.262	0.36	0.261	0.154	0.187	0.178
尊敬	黑板	孔子	老師	0.323	0.262	0.4	0.261	0.181	0.187	0.232
