				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
動物	捕鼠器	跑	老鼠	0.697	0.389	0.46	0.254	0.227	0.066	0.113
害蟲	跑	布袋	老鼠	0.684	0.457	0.254	0.295	0.046	0.138	0.138
害怕	害蟲	布袋	老鼠	0.645	0.274	0.457	0.295	0.162	0.08	0.138
乳酪	害蟲	跑	老鼠	0.636	0.317	0.457	0.254	0.243	0.104	0.046
捕鼠器	可恨	大象	老鼠	0.627	0.46	0.258	0.416	0.139	0.197	0.171
可怕	小貓	布袋	老鼠	0.626	0.289	0.461	0.295	0.116	0.097	0.205
實驗	捕鼠器	大象	老鼠	0.622	0.302	0.46	0.416	0.233	0.126	0.197
捕鼠器	跑	大象	老鼠	0.619	0.46	0.254	0.416	0.113	0.197	0.201
害怕	捕鼠器	大象	老鼠	0.615	0.274	0.46	0.416	0.14	0.198	0.197
貓咪	害怕	布袋	老鼠	0.612	0.443	0.274	0.295	0.139	0.18	0.08
動物	害怕	捕鼠器	老鼠	0.61	0.389	0.274	0.46	0.146	0.227	0.14
乳酪	籠子	跑	老鼠	0.609	0.317	0.446	0.254	0.146	0.104	0.16
黑暗	捕鼠器	大象	老鼠	0.605	0.283	0.46	0.416	0.206	0.151	0.197
害蟲	黑暗	跑	老鼠	0.599	0.457	0.283	0.254	0.196	0.046	0.153
可怕	害蟲	布袋	老鼠	0.598	0.289	0.457	0.295	0.206	0.097	0.138
動物	捕鼠器	可恨	老鼠	0.595	0.389	0.46	0.258	0.227	0.147	0.139
乳酪	小貓	跑	老鼠	0.594	0.317	0.461	0.254	0.198	0.104	0.137
貓咪	可怕	布袋	老鼠	0.591	0.443	0.289	0.295	0.158	0.18	0.097
實驗	黑暗	大象	老鼠	0.579	0.302	0.283	0.416	0.146	0.126	0.151
可怕	捕鼠器	大象	老鼠	0.575	0.289	0.46	0.416	0.167	0.225	0.197
乳酪	可怕	小貓	老鼠	0.575	0.317	0.289	0.461	0.178	0.198	0.116
動物	可怕	捕鼠器	老鼠	0.575	0.389	0.289	0.46	0.169	0.227	0.167
動物	跑	布袋	老鼠	0.573	0.389	0.254	0.295	0.066	0.161	0.138
動物	害怕	布袋	老鼠	0.571	0.389	0.274	0.295	0.146	0.161	0.08
乳酪	籠子	可恨	老鼠	0.565	0.317	0.446	0.258	0.146	0.182	0.129
乳酪	害怕	籠子	老鼠	0.557	0.317	0.274	0.446	0.155	0.146	0.18
害怕	小貓	布袋	老鼠	0.557	0.274	0.461	0.295	0.187	0.08	0.205
小貓	黑暗	跑	老鼠	0.556	0.461	0.283	0.254	0.152	0.137	0.153
貓咪	乳酪	跑	老鼠	0.547	0.443	0.317	0.254	0.229	0.135	0.104
實驗	捕鼠器	跑	老鼠	0.545	0.302	0.46	0.254	0.233	0.124	0.113
動物	可怕	布袋	老鼠	0.545	0.389	0.289	0.295	0.169	0.161	0.097
害蟲	黑暗	布袋	老鼠	0.545	0.457	0.283	0.295	0.196	0.138	0.156
乳酪	可怕	籠子	老鼠	0.545	0.317	0.289	0.446	0.178	0.146	0.184
乳酪	籠子	布袋	老鼠	0.542	0.317	0.446	0.295	0.146	0.151	0.219
實驗	可恨	大象	老鼠	0.54	0.302	0.258	0.416	0.14	0.126	0.171
貓咪	跑	布袋	老鼠	0.539	0.443	0.254	0.295	0.135	0.18	0.138
乳酪	害蟲	布袋	老鼠	0.537	0.317	0.457	0.295	0.243	0.151	0.138
害怕	籠子	布袋	老鼠	0.536	0.274	0.446	0.295	0.18	0.08	0.219
小貓	跑	布袋	老鼠	0.53	0.461	0.254	0.295	0.137	0.205	0.138
可怕	籠子	布袋	老鼠	0.529	0.289	0.446	0.295	0.184	0.097	0.219
捕鼠器	跑	可愛	老鼠	0.528	0.46	0.254	0.257	0.113	0.168	0.161
乳酪	小貓	可恨	老鼠	0.528	0.317	0.461	0.258	0.198	0.182	0.129
小貓	黑暗	布袋	老鼠	0.525	0.461	0.283	0.295	0.152	0.205	0.156
黑暗	捕鼠器	跑	老鼠	0.524	0.283	0.46	0.254	0.206	0.153	0.113
實驗	跑	大象	老鼠	0.522	0.302	0.254	0.416	0.124	0.126	0.201
乳酪	小貓	布袋	老鼠	0.518	0.317	0.461	0.295	0.198	0.151	0.205
實驗	害怕	大象	老鼠	0.515	0.302	0.274	0.416	0.153	0.126	0.198
可怕	小貓	跑	老鼠	0.512	0.289	0.461	0.254	0.116	0.239	0.137
乳酪	害怕	小貓	老鼠	0.511	0.317	0.274	0.461	0.155	0.198	0.187
貓咪	乳酪	害怕	老鼠	0.511	0.443	0.317	0.274	0.229	0.139	0.155
實驗	害怕	捕鼠器	老鼠	0.509	0.302	0.274	0.46	0.153	0.233	0.14
可怕	害蟲	跑	老鼠	0.509	0.289	0.457	0.254	0.206	0.239	0.046
動物	黑暗	跑	老鼠	0.508	0.389	0.283	0.254	0.199	0.066	0.153
