				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
作弊	順利	課本	考試	0.81	0.488	0.397	0.397	0.163	0.16	0.149
及格	失眠	時間	考試	0.769	0.426	0.308	0.442	0.227	0.047	0.132
及格	熬夜	時間	考試	0.707	0.426	0.269	0.442	0.202	0.047	0.182
順利	失眠	課本	考試	0.706	0.397	0.308	0.397	0.09	0.149	0.156
及格	失眠	通過	考試	0.703	0.426	0.308	0.326	0.227	0.126	0.003
及格	準備	失眠	考試	0.685	0.426	0.401	0.308	0.12	0.227	0.102
及格	順利	課本	考試	0.681	0.426	0.397	0.397	0.218	0.17	0.149
作弊	課本	通過	考試	0.679	0.488	0.397	0.326	0.16	0.123	0.248
作弊	壓力	課本	考試	0.676	0.488	0.364	0.397	0.184	0.16	0.228
及格	熬夜	通過	考試	0.67	0.426	0.269	0.326	0.202	0.126	0.023
熬夜	順利	課本	考試	0.67	0.269	0.397	0.397	0.092	0.151	0.149
作弊	緊張	課本	考試	0.647	0.488	0.37	0.397	0.22	0.16	0.226
壓力	及格	課本	考試	0.646	0.364	0.426	0.397	0.141	0.228	0.17
緊張	及格	課本	考試	0.64	0.37	0.426	0.397	0.155	0.226	0.17
失眠	課本	通過	考試	0.624	0.308	0.397	0.326	0.156	0.003	0.248
及格	學生	失眠	考試	0.623	0.426	0.461	0.308	0.182	0.227	0.162
及格	學生	熬夜	考試	0.607	0.426	0.461	0.269	0.182	0.202	0.165
及格	課本	通過	考試	0.603	0.426	0.397	0.326	0.17	0.126	0.248
及格	順利	失眠	考試	0.595	0.426	0.397	0.308	0.218	0.227	0.09
作弊	課本	無奈	考試	0.581	0.488	0.397	0.278	0.16	0.21	0.211
及格	熬夜	順利	考試	0.58	0.426	0.269	0.397	0.202	0.218	0.092
及格	熬夜	準備	考試	0.579	0.426	0.269	0.401	0.202	0.12	0.196
及格	失眠	課本	考試	0.577	0.426	0.308	0.397	0.227	0.17	0.156
熬夜	課本	通過	考試	0.569	0.269	0.397	0.326	0.151	0.023	0.248
及格	熬夜	課本	考試	0.568	0.426	0.269	0.397	0.202	0.17	0.151
及格	課本	無奈	考試	0.508	0.426	0.397	0.278	0.17	0.21	0.211
及格	老師	失眠	考試	0.508	0.426	0.421	0.308	0.236	0.227	0.183
及格	老師	熬夜	考試	0.504	0.426	0.421	0.269	0.236	0.202	0.175
及格	失眠	唸書	考試	0.46	0.426	0.308	0.431	0.227	0.249	0.228
失眠	課本	無奈	考試	0.416	0.308	0.397	0.278	0.156	0.2	0.211
熬夜	課本	無奈	考試	0.405	0.269	0.397	0.278	0.151	0.176	0.211
及格	熬夜	無奈	考試	0.385	0.426	0.269	0.278	0.202	0.21	0.176
及格	討厭	熬夜	考試	0.381	0.426	0.332	0.269	0.204	0.202	0.241
及格	失眠	無奈	考試	0.374	0.426	0.308	0.278	0.227	0.21	0.2
