				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
舞會	老人	白色	耶誕	0.489	0.374	0.293	0.257	0.153	0.084	0.197
老人	白色	佳節	耶誕	0.468	0.293	0.257	0.467	0.197	0.23	0.121
卡片	白色	佳節	耶誕	0.466	0.293	0.257	0.467	0.233	0.197	0.121
卡片	熱鬧	耶穌	耶誕	0.461	0.293	0.372	0.34	0.102	0.197	0.243
卡片	白色	熱鬧	耶誕	0.46	0.293	0.257	0.372	0.233	0.102	0.126
老人	白色	熱鬧	耶誕	0.445	0.293	0.257	0.372	0.197	0.153	0.126
老人	白色	火雞	耶誕	0.438	0.293	0.257	0.328	0.197	0.123	0.118
白色	熱鬧	耶穌	耶誕	0.427	0.257	0.372	0.34	0.126	0.171	0.243
白色	大餐	耶穌	耶誕	0.421	0.257	0.328	0.34	0.169	0.171	0.162
卡片	舞會	白色	耶誕	0.402	0.293	0.374	0.257	0.205	0.233	0.084
快樂	老人	白色	耶誕	0.401	0.37	0.293	0.257	0.174	0.146	0.197
卡片	舞會	溫暖	耶誕	0.395	0.293	0.374	0.26	0.205	0.118	0.209
禮物	老人	白色	耶誕	0.392	0.42	0.293	0.257	0.243	0.136	0.197
卡片	歡樂	白色	耶誕	0.377	0.293	0.362	0.257	0.16	0.233	0.141
卡片	快樂	白色	耶誕	0.375	0.293	0.37	0.257	0.165	0.233	0.146
溫馨	舞會	白色	耶誕	0.373	0.284	0.374	0.257	0.246	0.212	0.084
歡樂	老人	白色	耶誕	0.37	0.362	0.293	0.257	0.202	0.141	0.197
舞會	老人	溫暖	耶誕	0.362	0.374	0.293	0.26	0.153	0.209	0.203
溫馨	舞會	老人	耶誕	0.35	0.284	0.374	0.293	0.246	0.202	0.153
卡片	白色	火雞	耶誕	0.332	0.293	0.257	0.328	0.233	0.194	0.118
溫馨	老人	火雞	耶誕	0.332	0.284	0.293	0.328	0.202	0.248	0.123
溫馨	白色	火雞	耶誕	0.291	0.284	0.257	0.328	0.212	0.248	0.118
卡片	白色	耶穌	耶誕	0.287	0.293	0.257	0.34	0.233	0.197	0.171
卡片	溫馨	舞會	耶誕	0.267	0.293	0.284	0.374	0.233	0.205	0.246
卡片	溫馨	火雞	耶誕	0.23	0.293	0.284	0.328	0.233	0.194	0.248
溫馨	老人	白色	耶誕	0.223	0.284	0.293	0.257	0.202	0.212	0.197
卡片	溫馨	白色	耶誕	0.156	0.293	0.284	0.257	0.233	0.233	0.212
