				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
血液	健身房	鬆弛	肌肉	0.728	0.397	0.462	0.435	0.21	0.164	0.192
收縮	血液	健身房	肌肉	0.724	0.33	0.397	0.462	0.115	0.141	0.21
結實	血液	抽筋	肌肉	0.719	0.316	0.397	0.417	0.055	0.147	0.21
結實	血液	健身房	肌肉	0.704	0.316	0.397	0.462	0.055	0.207	0.21
力量	抽筋	壯碩	肌肉	0.696	0.388	0.417	0.435	0.162	0.221	0.161
發達	拉傷	血液	肌肉	0.688	0.334	0.447	0.397	0.215	0.193	0.082
健身	結實	血液	肌肉	0.687	0.44	0.316	0.397	0.207	0.205	0.055
血液	抽筋	壯碩	肌肉	0.687	0.397	0.417	0.435	0.21	0.191	0.161
健身	血液	鬆弛	肌肉	0.682	0.44	0.397	0.435	0.205	0.222	0.164
骨頭	健身房	鬆弛	肌肉	0.678	0.368	0.462	0.435	0.205	0.19	0.192
健身	收縮	血液	肌肉	0.674	0.44	0.33	0.397	0.175	0.205	0.115
發達	拉傷	男人	肌肉	0.668	0.334	0.447	0.372	0.215	0.149	0.121
線條	血液	抽筋	肌肉	0.638	0.403	0.397	0.417	0.193	0.176	0.21
健身	骨頭	鬆弛	肌肉	0.635	0.44	0.368	0.435	0.196	0.222	0.19
力量	線條	抽筋	肌肉	0.635	0.388	0.403	0.417	0.235	0.162	0.176
健壯	力量	抽筋	肌肉	0.625	0.376	0.388	0.417	0.221	0.174	0.162
線條	血液	健身房	肌肉	0.622	0.403	0.397	0.462	0.193	0.238	0.21
力量	結實	抽筋	肌肉	0.618	0.388	0.316	0.417	0.194	0.162	0.147
血液	舉重	鬆弛	肌肉	0.616	0.397	0.356	0.435	0.226	0.164	0.182
發達	血液	健身房	肌肉	0.614	0.334	0.397	0.462	0.193	0.177	0.21
發達	男人	抽筋	肌肉	0.61	0.334	0.372	0.417	0.149	0.137	0.226
發達	血液	抽筋	肌肉	0.609	0.334	0.397	0.417	0.193	0.137	0.21
健身	線條	血液	肌肉	0.608	0.44	0.403	0.397	0.235	0.205	0.193
健壯	血液	抽筋	肌肉	0.603	0.376	0.397	0.417	0.203	0.174	0.21
健康	線條	抽筋	肌肉	0.6	0.292	0.403	0.417	0.166	0.169	0.176
力量	骨頭	鬆弛	肌肉	0.598	0.388	0.368	0.435	0.183	0.219	0.19
健康	抽筋	壯碩	肌肉	0.593	0.292	0.417	0.435	0.169	0.221	0.161
收縮	血液	抽筋	肌肉	0.593	0.33	0.397	0.417	0.115	0.228	0.21
力量	骨頭	抽筋	肌肉	0.591	0.388	0.368	0.417	0.183	0.162	0.237
收縮	骨頭	健身房	肌肉	0.583	0.33	0.368	0.462	0.232	0.141	0.205
健壯	血液	健身房	肌肉	0.583	0.376	0.397	0.462	0.203	0.239	0.21
男人	抽筋	組織	肌肉	0.581	0.372	0.417	0.27	0.226	0.137	0.114
訓練	血液	抽筋	肌肉	0.58	0.393	0.397	0.417	0.172	0.246	0.21
強壯	血液	抽筋	肌肉	0.576	0.401	0.397	0.417	0.228	0.201	0.21
強健	血液	抽筋	肌肉	0.574	0.38	0.397	0.417	0.246	0.166	0.21
結實	血液	舉重	肌肉	0.573	0.316	0.397	0.356	0.055	0.217	0.226
收縮	健康	抽筋	肌肉	0.564	0.33	0.292	0.417	0.079	0.228	0.169
收縮	男人	抽筋	肌肉	0.564	0.33	0.372	0.417	0.102	0.228	0.226
血液	健身房	受傷	肌肉	0.563	0.397	0.462	0.254	0.21	0.131	0.21
發達	訓練	男人	肌肉	0.559	0.334	0.393	0.372	0.227	0.149	0.163
運動	男人	鬆弛	肌肉	0.558	0.348	0.372	0.435	0.195	0.238	0.163
健壯	健身	血液	肌肉	0.556	0.376	0.44	0.397	0.249	0.203	0.205
健身	血液	受傷	肌肉	0.554	0.44	0.397	0.254	0.205	0.202	0.131
發達	骨頭	健身房	肌肉	0.551	0.334	0.368	0.462	0.232	0.177	0.205
收縮	血液	舉重	肌肉	0.549	0.33	0.397	0.356	0.115	0.194	0.226
運動	血液	鬆弛	肌肉	0.547	0.348	0.397	0.435	0.23	0.238	0.164
訓練	男人	抽筋	肌肉	0.547	0.393	0.372	0.417	0.163	0.246	0.226
運動	發達	抽筋	肌肉	0.544	0.348	0.334	0.417	0.218	0.201	0.137
血液	鬆弛	受傷	肌肉	0.542	0.397	0.435	0.254	0.164	0.131	0.249
男人	線條	抽筋	肌肉	0.54	0.372	0.403	0.417	0.249	0.226	0.176
健身	收縮	骨頭	肌肉	0.536	0.44	0.33	0.368	0.175	0.196	0.232
發達	訓練	抽筋	肌肉	0.534	0.334	0.393	0.417	0.227	0.137	0.246
