				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
塑身	醜陋	高血壓	肥胖	0.828	0.445	0.389	0.473	0.128	0.195	0.156
瘦身	笨重	高血壓	肥胖	0.812	0.488	0.339	0.473	0.195	0.223	0.069
瘦身	醜陋	高血壓	肥胖	0.81	0.488	0.389	0.473	0.161	0.223	0.156
塑身	笨重	高血壓	肥胖	0.784	0.445	0.339	0.473	0.207	0.195	0.069
瘦身	自卑	高血壓	肥胖	0.761	0.488	0.444	0.473	0.219	0.223	0.202
笨重	高血壓	女人	肥胖	0.75	0.339	0.473	0.396	0.069	0.141	0.247
塑身	自卑	高血壓	肥胖	0.749	0.445	0.444	0.473	0.216	0.195	0.202
瘦身	笨重	疾病	肥胖	0.741	0.488	0.339	0.49	0.195	0.232	0.149
臃腫	油脂	病症	肥胖	0.736	0.461	0.359	0.465	0.139	0.181	0.229
瘦身	醜陋	疾病	肥胖	0.725	0.488	0.389	0.49	0.161	0.232	0.249
瘦身	醜	高血壓	肥胖	0.719	0.488	0.312	0.473	0.186	0.223	0.144
瘦身	可愛	疾病	肥胖	0.718	0.488	0.264	0.49	0.161	0.232	0.131
瘦身	醜	疾病	肥胖	0.713	0.488	0.312	0.49	0.186	0.232	0.159
醜	塑身	高血壓	肥胖	0.713	0.312	0.445	0.473	0.177	0.144	0.195
食物	笨重	高血壓	肥胖	0.711	0.417	0.339	0.473	0.199	0.249	0.069
油脂	笨重	高血壓	肥胖	0.708	0.359	0.339	0.473	0.163	0.229	0.069
塑身	醜陋	過量	肥胖	0.696	0.445	0.389	0.292	0.128	0.11	0.192
臃腫	油脂	女人	肥胖	0.689	0.461	0.359	0.396	0.139	0.15	0.237
塑身	自卑	過量	肥胖	0.679	0.445	0.444	0.292	0.216	0.11	0.176
食物	自卑	高血壓	肥胖	0.677	0.417	0.444	0.473	0.206	0.249	0.202
瘦身	討厭	疾病	肥胖	0.677	0.488	0.266	0.49	0.166	0.232	0.169
瘦身	愛吃	疾病	肥胖	0.672	0.488	0.346	0.49	0.22	0.232	0.2
臃腫	油脂	健康	肥胖	0.671	0.461	0.359	0.426	0.139	0.202	0.234
食物	醜陋	高血壓	肥胖	0.669	0.417	0.389	0.473	0.205	0.249	0.156
瘦身	油脂	懶惰	肥胖	0.664	0.488	0.359	0.367	0.248	0.176	0.126
醜	笨重	高血壓	肥胖	0.661	0.312	0.339	0.473	0.248	0.144	0.069
瘦身	笨重	豬	肥胖	0.661	0.488	0.339	0.261	0.195	0.139	0.092
