				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
升值	台灣	馬克	臺幣	0.55	0.268	0.39	0.328	0.103	0.131	0.202
貶值	台灣	馬克	臺幣	0.548	0.343	0.39	0.328	0.098	0.213	0.202
台灣	馬克	價值	臺幣	0.491	0.39	0.328	0.35	0.202	0.154	0.221
錢	升值	台灣	臺幣	0.47	0.361	0.268	0.39	0.198	0.248	0.103
台灣	馬克	匯率	臺幣	0.467	0.39	0.328	0.382	0.202	0.187	0.244
升值	馬克	國父	臺幣	0.451	0.268	0.328	0.321	0.131	0.133	0.202
台灣	價值	偽鈔	臺幣	0.438	0.39	0.35	0.321	0.154	0.223	0.246
升值	台灣	偽鈔	臺幣	0.428	0.268	0.39	0.321	0.103	0.225	0.223
貶值	馬克	國父	臺幣	0.418	0.343	0.328	0.321	0.213	0.159	0.202
金錢	升值	台灣	臺幣	0.41	0.298	0.268	0.39	0.217	0.225	0.103
錢	升值	國父	臺幣	0.393	0.361	0.268	0.321	0.198	0.226	0.133
馬克	價值	國父	臺幣	0.393	0.328	0.35	0.321	0.221	0.202	0.183
價值	偽鈔	國父	臺幣	0.331	0.35	0.321	0.321	0.246	0.183	0.232
升值	偽鈔	國父	臺幣	0.32	0.268	0.321	0.321	0.225	0.133	0.232
金錢	升值	國父	臺幣	0.301	0.298	0.268	0.321	0.217	0.235	0.133
