				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
練習	民族	曼妙	舞蹈	0.768	0.352	0.488	0.405	0.114	0.179	0.185
民族	動作	曼妙	舞蹈	0.728	0.488	0.399	0.405	0.151	0.185	0.229
民族	比賽	曼妙	舞蹈	0.725	0.488	0.369	0.405	0.207	0.185	0.145
社團	鞋子	曼妙	舞蹈	0.646	0.364	0.316	0.405	0.163	0.078	0.198
美妙	練習	民族	舞蹈	0.64	0.308	0.352	0.488	0.165	0.23	0.114
唱歌	爵士	動作	舞蹈	0.636	0.496	0.322	0.399	0.248	0.223	0.11
練習	民族	鞋子	舞蹈	0.63	0.352	0.488	0.316	0.114	0.184	0.229
民族	動作	天鵝湖	舞蹈	0.627	0.488	0.399	0.269	0.151	0.156	0.222
練習	民族	天鵝湖	舞蹈	0.619	0.352	0.488	0.269	0.114	0.221	0.156
美妙	民族	動作	舞蹈	0.612	0.308	0.488	0.399	0.23	0.202	0.151
動感	民族	鞋子	舞蹈	0.612	0.321	0.488	0.316	0.188	0.096	0.229
民族	動作	鞋子	舞蹈	0.61	0.488	0.399	0.316	0.151	0.229	0.214
唱歌	動感	鞋子	舞蹈	0.603	0.496	0.321	0.316	0.184	0.249	0.096
民族	鞋子	曼妙	舞蹈	0.598	0.488	0.316	0.405	0.229	0.185	0.198
民族	跳躍	鞋子	舞蹈	0.593	0.488	0.364	0.316	0.157	0.229	0.19
民族	天鵝湖	跳躍	舞蹈	0.572	0.488	0.269	0.364	0.156	0.157	0.237
民族	天鵝湖	鞋子	舞蹈	0.558	0.488	0.269	0.316	0.156	0.229	0.13
唱歌	動作	天鵝湖	舞蹈	0.554	0.496	0.399	0.269	0.223	0.164	0.222
爵士	動作	美女	舞蹈	0.547	0.322	0.399	0.363	0.11	0.221	0.206
練習	天鵝湖	少女	舞蹈	0.544	0.352	0.269	0.332	0.221	0.092	0.097
優美	民族	鞋子	舞蹈	0.542	0.314	0.488	0.316	0.21	0.137	0.229
爵士	美女	跳躍	舞蹈	0.541	0.322	0.363	0.364	0.221	0.147	0.14
唱歌	天鵝湖	鞋子	舞蹈	0.537	0.496	0.269	0.316	0.164	0.249	0.13
練習	爵士	少女	舞蹈	0.533	0.352	0.322	0.332	0.143	0.092	0.239
唱歌	動作	鞋子	舞蹈	0.525	0.496	0.399	0.316	0.223	0.249	0.214
練習	爵士	美女	舞蹈	0.521	0.352	0.322	0.363	0.143	0.151	0.221
唱歌	天鵝湖	運動	舞蹈	0.52	0.496	0.269	0.315	0.164	0.246	0.149
民族	天鵝湖	姿勢	舞蹈	0.519	0.488	0.269	0.285	0.156	0.154	0.214
民族	欣賞	鞋子	舞蹈	0.517	0.488	0.275	0.316	0.195	0.229	0.138
比賽	鞋子	曼妙	舞蹈	0.517	0.369	0.316	0.405	0.23	0.145	0.198
練習	鞋子	曼妙	舞蹈	0.513	0.352	0.316	0.405	0.184	0.179	0.198
民族	比賽	鞋子	舞蹈	0.507	0.488	0.369	0.316	0.207	0.229	0.23
練習	少女	鞋子	舞蹈	0.507	0.352	0.332	0.316	0.092	0.184	0.218
美妙	民族	比賽	舞蹈	0.505	0.308	0.488	0.369	0.23	0.222	0.207
女人	練習	爵士	舞蹈	0.5	0.321	0.352	0.322	0.14	0.213	0.143
美妙	社團	鞋子	舞蹈	0.497	0.308	0.364	0.316	0.157	0.171	0.163
爵士	動作	少女	舞蹈	0.496	0.322	0.399	0.332	0.11	0.239	0.208
女人	爵士	跳躍	舞蹈	0.494	0.321	0.322	0.364	0.213	0.154	0.147
唱歌	爵士	運動	舞蹈	0.493	0.496	0.322	0.315	0.248	0.246	0.146
天鵝湖	社團	鞋子	舞蹈	0.493	0.269	0.364	0.316	0.163	0.13	0.163
女人	爵士	動作	舞蹈	0.488	0.321	0.322	0.399	0.213	0.232	0.11
動感	少女	鞋子	舞蹈	0.486	0.321	0.332	0.316	0.169	0.096	0.218
優美	女人	社團	舞蹈	0.484	0.314	0.321	0.364	0.112	0.235	0.168
美妙	民族	鞋子	舞蹈	0.482	0.308	0.488	0.316	0.23	0.171	0.229
爵士	動作	鞋子	舞蹈	0.48	0.322	0.399	0.316	0.11	0.233	0.214
唱歌	動感	爵士	舞蹈	0.478	0.496	0.321	0.322	0.184	0.248	0.229
動作	鞋子	曼妙	舞蹈	0.478	0.399	0.316	0.405	0.214	0.229	0.198
天鵝湖	少女	運動	舞蹈	0.478	0.269	0.332	0.315	0.097	0.149	0.192
唱歌	爵士	天鵝湖	舞蹈	0.477	0.496	0.322	0.269	0.248	0.164	0.198
少女	欣賞	鞋子	舞蹈	0.474	0.332	0.275	0.316	0.093	0.218	0.138
動作	天鵝湖	少女	舞蹈	0.473	0.399	0.269	0.332	0.222	0.208	0.097
天鵝湖	少女	鞋子	舞蹈	0.472	0.269	0.332	0.316	0.097	0.13	0.218
優美	女人	爵士	舞蹈	0.467	0.314	0.321	0.322	0.112	0.166	0.213
爵士	美女	運動	舞蹈	0.466	0.322	0.363	0.315	0.221	0.146	0.166
民族	姿勢	鞋子	舞蹈	0.463	0.488	0.285	0.316	0.154	0.229	0.244
美妙	民族	天鵝湖	舞蹈	0.461	0.308	0.488	0.269	0.23	0.217	0.156
天鵝湖	少女	社團	舞蹈	0.46	0.269	0.332	0.364	0.097	0.163	0.245
爵士	動作	天鵝湖	舞蹈	0.46	0.322	0.399	0.269	0.11	0.198	0.222
優美	社團	鞋子	舞蹈	0.459	0.314	0.364	0.316	0.235	0.137	0.163
美妙	練習	鞋子	舞蹈	0.457	0.308	0.352	0.316	0.165	0.171	0.184
美妙	民族	姿勢	舞蹈	0.453	0.308	0.488	0.285	0.23	0.244	0.154
美女	天鵝湖	社團	舞蹈	0.447	0.363	0.269	0.364	0.186	0.2	0.163
美女	天鵝湖	運動	舞蹈	0.445	0.363	0.269	0.315	0.186	0.166	0.149
優美	少女	鞋子	舞蹈	0.444	0.314	0.332	0.316	0.162	0.137	0.218
女人	天鵝湖	社團	舞蹈	0.441	0.321	0.269	0.364	0.182	0.168	0.163
運動	鞋子	曼妙	舞蹈	0.439	0.315	0.316	0.405	0.236	0.163	0.198
爵士	少女	欣賞	舞蹈	0.437	0.322	0.332	0.275	0.239	0.16	0.093
美妙	動作	鞋子	舞蹈	0.436	0.308	0.399	0.316	0.202	0.171	0.214
美女	天鵝湖	跳躍	舞蹈	0.433	0.363	0.269	0.364	0.186	0.14	0.237
爵士	跳躍	鞋子	舞蹈	0.433	0.322	0.364	0.316	0.147	0.233	0.19
練習	爵士	鞋子	舞蹈	0.431	0.352	0.322	0.316	0.143	0.184	0.233
練習	美女	天鵝湖	舞蹈	0.426	0.352	0.363	0.269	0.151	0.221	0.186
爵士	少女	跳躍	舞蹈	0.422	0.322	0.332	0.364	0.239	0.147	0.21
天鵝湖	少女	跳躍	舞蹈	0.422	0.269	0.332	0.364	0.097	0.237	0.21
動作	天鵝湖	鞋子	舞蹈	0.417	0.399	0.269	0.316	0.222	0.214	0.13
優美	爵士	鞋子	舞蹈	0.417	0.314	0.322	0.316	0.166	0.137	0.233
動作	美女	天鵝湖	舞蹈	0.416	0.399	0.363	0.269	0.206	0.222	0.186
爵士	天鵝湖	運動	舞蹈	0.413	0.322	0.269	0.315	0.198	0.146	0.149
動作	少女	鞋子	舞蹈	0.407	0.399	0.332	0.316	0.208	0.214	0.218
唱歌	爵士	鞋子	舞蹈	0.405	0.496	0.322	0.316	0.248	0.249	0.233
爵士	美女	社團	舞蹈	0.404	0.322	0.363	0.364	0.221	0.224	0.2
美妙	天鵝湖	社團	舞蹈	0.403	0.308	0.269	0.364	0.217	0.157	0.163
女人	爵士	社團	舞蹈	0.403	0.321	0.322	0.364	0.213	0.168	0.224
練習	天鵝湖	鞋子	舞蹈	0.402	0.352	0.269	0.316	0.221	0.184	0.13
動感	爵士	鞋子	舞蹈	0.401	0.321	0.322	0.316	0.229	0.096	0.233
比賽	少女	鞋子	舞蹈	0.401	0.369	0.332	0.316	0.168	0.23	0.218
優美	爵士	少女	舞蹈	0.401	0.314	0.322	0.332	0.166	0.162	0.239
女人	練習	天鵝湖	舞蹈	0.4	0.321	0.352	0.269	0.14	0.182	0.221
唱歌	運動	鞋子	舞蹈	0.396	0.496	0.315	0.316	0.246	0.249	0.236
女人	爵士	運動	舞蹈	0.396	0.321	0.322	0.315	0.213	0.204	0.146
少女	跳躍	鞋子	舞蹈	0.394	0.332	0.364	0.316	0.21	0.218	0.19
爵士	少女	運動	舞蹈	0.392	0.322	0.332	0.315	0.239	0.146	0.192
天鵝湖	跳躍	鞋子	舞蹈	0.392	0.269	0.364	0.316	0.237	0.13	0.19
爵士	天鵝湖	少女	舞蹈	0.389	0.322	0.269	0.332	0.198	0.239	0.097
優美	爵士	美女	舞蹈	0.388	0.314	0.322	0.363	0.166	0.224	0.221
少女	社團	鞋子	舞蹈	0.385	0.332	0.364	0.316	0.245	0.218	0.163
天鵝湖	運動	鞋子	舞蹈	0.385	0.269	0.315	0.316	0.149	0.13	0.236
爵士	社團	鞋子	舞蹈	0.383	0.322	0.364	0.316	0.224	0.233	0.163
爵士	欣賞	鞋子	舞蹈	0.383	0.322	0.275	0.316	0.16	0.233	0.138
優美	美女	社團	舞蹈	0.382	0.314	0.363	0.364	0.224	0.235	0.2
女人	天鵝湖	跳躍	舞蹈	0.381	0.321	0.269	0.364	0.182	0.154	0.237
練習	爵士	天鵝湖	舞蹈	0.381	0.352	0.322	0.269	0.143	0.221	0.198
爵士	比賽	少女	舞蹈	0.379	0.322	0.369	0.332	0.238	0.239	0.168
女人	爵士	比賽	舞蹈	0.376	0.321	0.322	0.369	0.213	0.186	0.238
優美	爵士	社團	舞蹈	0.376	0.314	0.322	0.364	0.166	0.235	0.224
美妙	天鵝湖	鞋子	舞蹈	0.374	0.308	0.269	0.316	0.217	0.171	0.13
女人	動感	爵士	舞蹈	0.374	0.321	0.321	0.322	0.149	0.213	0.229
爵士	美女	姿勢	舞蹈	0.374	0.322	0.363	0.285	0.221	0.147	0.229
爵士	天鵝湖	跳躍	舞蹈	0.373	0.322	0.269	0.364	0.198	0.147	0.237
爵士	天鵝湖	社團	舞蹈	0.37	0.322	0.269	0.364	0.198	0.224	0.163
美妙	比賽	鞋子	舞蹈	0.37	0.308	0.369	0.316	0.222	0.171	0.23
女人	天鵝湖	運動	舞蹈	0.369	0.321	0.269	0.315	0.182	0.204	0.149
天鵝湖	少女	姿勢	舞蹈	0.369	0.269	0.332	0.285	0.097	0.214	0.206
優美	少女	社團	舞蹈	0.368	0.314	0.332	0.364	0.162	0.235	0.245
女人	動作	天鵝湖	舞蹈	0.353	0.321	0.399	0.269	0.232	0.182	0.222
爵士	美女	天鵝湖	舞蹈	0.348	0.322	0.363	0.269	0.221	0.198	0.186
爵士	少女	姿勢	舞蹈	0.348	0.322	0.332	0.285	0.239	0.147	0.206
爵士	天鵝湖	鞋子	舞蹈	0.346	0.322	0.269	0.316	0.198	0.233	0.13
動感	爵士	美女	舞蹈	0.342	0.321	0.322	0.363	0.229	0.214	0.221
爵士	運動	鞋子	舞蹈	0.339	0.322	0.315	0.316	0.146	0.233	0.236
動感	爵士	少女	舞蹈	0.339	0.321	0.322	0.332	0.229	0.169	0.239
美妙	動作	天鵝湖	舞蹈	0.334	0.308	0.399	0.269	0.202	0.217	0.222
美妙	運動	鞋子	舞蹈	0.329	0.308	0.315	0.316	0.203	0.171	0.236
美妙	練習	天鵝湖	舞蹈	0.326	0.308	0.352	0.269	0.165	0.217	0.221
女人	爵士	欣賞	舞蹈	0.323	0.321	0.322	0.275	0.213	0.223	0.16
美妙	天鵝湖	運動	舞蹈	0.322	0.308	0.269	0.315	0.217	0.203	0.149
女人	爵士	天鵝湖	舞蹈	0.319	0.321	0.322	0.269	0.213	0.182	0.198
爵士	天鵝湖	姿勢	舞蹈	0.318	0.322	0.269	0.285	0.198	0.147	0.214
少女	運動	鞋子	舞蹈	0.317	0.332	0.315	0.316	0.192	0.218	0.236
爵士	少女	社團	舞蹈	0.31	0.322	0.332	0.364	0.239	0.224	0.245
爵士	比賽	鞋子	舞蹈	0.307	0.322	0.369	0.316	0.238	0.233	0.23
爵士	姿勢	鞋子	舞蹈	0.3	0.322	0.285	0.316	0.147	0.233	0.244
美女	天鵝湖	姿勢	舞蹈	0.288	0.363	0.269	0.285	0.186	0.229	0.214
天鵝湖	姿勢	鞋子	舞蹈	0.282	0.269	0.285	0.316	0.214	0.13	0.244
爵士	少女	鞋子	舞蹈	0.28	0.322	0.332	0.316	0.239	0.233	0.218
少女	姿勢	鞋子	舞蹈	0.265	0.332	0.285	0.316	0.206	0.218	0.244
美妙	姿勢	鞋子	舞蹈	0.25	0.308	0.285	0.316	0.244	0.171	0.244
美妙	天鵝湖	姿勢	舞蹈	0.186	0.308	0.269	0.285	0.217	0.244	0.214
