				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
園丁	秘密	休閒	花園	0.74	0.477	0.323	0.419	0.123	0.246	0.11
秘密	繽紛	草坪	花園	0.678	0.323	0.48	0.417	0.175	0.143	0.225
秘密	繽紛	假山	花園	0.656	0.323	0.48	0.407	0.175	0.178	0.201
秘密	繽紛	水池	花園	0.636	0.323	0.48	0.343	0.175	0.164	0.17
玫瑰	秘密	休閒	花園	0.629	0.373	0.323	0.419	0.248	0.128	0.11
玫瑰	約會	假山	花園	0.627	0.373	0.4	0.407	0.233	0.177	0.143
秘密	繽紛	草地	花園	0.621	0.323	0.48	0.317	0.175	0.104	0.221
花	園丁	休閒	花園	0.619	0.252	0.477	0.419	0.196	0.087	0.246
秘密	香氣	草坪	花園	0.617	0.323	0.395	0.417	0.198	0.143	0.177
秘密	香氣	草地	花園	0.582	0.323	0.395	0.317	0.198	0.104	0.152
約會	芬芳	假山	花園	0.58	0.4	0.326	0.407	0.188	0.143	0.222
花	園丁	約會	花園	0.579	0.252	0.477	0.4	0.196	0.174	0.181
花	約會	假山	花園	0.573	0.252	0.4	0.407	0.174	0.17	0.143
花	秘密	休閒	花園	0.557	0.252	0.323	0.419	0.239	0.087	0.11
秘密	香氣	假山	花園	0.555	0.323	0.395	0.407	0.198	0.178	0.195
蝴蝶	秘密	休閒	花園	0.551	0.299	0.323	0.419	0.186	0.194	0.11
秘密	休閒	小花	花園	0.539	0.323	0.419	0.264	0.11	0.234	0.123
花草	秘密	休閒	花園	0.537	0.367	0.323	0.419	0.228	0.234	0.11
花	繽紛	假山	花園	0.532	0.252	0.48	0.407	0.235	0.17	0.201
秘密	水池	鮮花	花園	0.513	0.323	0.343	0.423	0.164	0.171	0.241
秘密	休閒	植物	花園	0.512	0.323	0.419	0.337	0.11	0.232	0.225
花	香氣	假山	花園	0.503	0.252	0.395	0.407	0.186	0.17	0.195
蜜蜂	水池	約會	花園	0.501	0.275	0.343	0.4	0.219	0.137	0.161
玫瑰	秘密	假山	花園	0.5	0.373	0.323	0.407	0.248	0.177	0.178
秘密	香氣	水池	花園	0.497	0.323	0.395	0.343	0.198	0.164	0.202
花	園丁	秘密	花園	0.495	0.252	0.477	0.323	0.196	0.239	0.123
繽紛	散步	小花	花園	0.491	0.48	0.326	0.264	0.115	0.226	0.239
花	繽紛	散步	花園	0.481	0.252	0.48	0.326	0.235	0.227	0.115
玫瑰	水池	約會	花園	0.481	0.373	0.343	0.4	0.242	0.233	0.161
花	園丁	散步	花園	0.467	0.252	0.477	0.326	0.196	0.227	0.165
花	繽紛	水池	花園	0.455	0.252	0.48	0.343	0.235	0.214	0.17
花	水池	約會	花園	0.447	0.252	0.343	0.4	0.214	0.174	0.161
秘密	繽紛	小花	花園	0.433	0.323	0.48	0.264	0.175	0.234	0.226
蝴蝶	秘密	香氣	花園	0.424	0.299	0.323	0.395	0.186	0.209	0.198
花	香氣	草地	花園	0.424	0.252	0.395	0.317	0.186	0.202	0.152
花	草地	約會	花園	0.41	0.252	0.317	0.4	0.202	0.174	0.184
花	秘密	繽紛	花園	0.406	0.252	0.323	0.48	0.239	0.235	0.175
花	秘密	假山	花園	0.396	0.252	0.323	0.407	0.239	0.17	0.178
香氣	蜜蜂	水池	花園	0.395	0.395	0.275	0.343	0.196	0.202	0.219
花	繽紛	草地	花園	0.391	0.252	0.48	0.317	0.235	0.202	0.221
花	香氣	水池	花園	0.388	0.252	0.395	0.343	0.186	0.214	0.202
玫瑰	秘密	水池	花園	0.385	0.373	0.323	0.343	0.248	0.242	0.164
香氣	蜜蜂	散步	花園	0.35	0.395	0.275	0.326	0.196	0.237	0.212
花	秘密	草地	花園	0.348	0.252	0.323	0.317	0.239	0.202	0.104
花	秘密	香氣	花園	0.347	0.252	0.323	0.395	0.239	0.186	0.198
蝴蝶	香氣	散步	花園	0.343	0.299	0.395	0.326	0.209	0.231	0.237
花	香氣	散步	花園	0.323	0.252	0.395	0.326	0.186	0.227	0.237
花	秘密	水池	花園	0.301	0.252	0.323	0.343	0.239	0.214	0.164
