				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
蝴蝶	泥土	綻放	花朵	0.794	0.479	0.455	0.443	0.229	0.194	0.159
蜜蜂	綻放	草	花朵	0.766	0.492	0.443	0.314	0.152	0.234	0.098
蝴蝶	泥土	欣賞	花朵	0.766	0.479	0.455	0.275	0.229	0.129	0.084
蜜蜂	香味	綻放	花朵	0.736	0.492	0.415	0.443	0.241	0.152	0.222
蜜蜂	漂亮	綻放	花朵	0.697	0.492	0.366	0.443	0.231	0.152	0.221
漂亮	泥土	綻放	花朵	0.69	0.366	0.455	0.443	0.193	0.221	0.159
蜜蜂	艷麗	草	花朵	0.687	0.492	0.446	0.314	0.194	0.234	0.138
香味	綻放	草地	花朵	0.677	0.415	0.443	0.375	0.222	0.214	0.12
蜜蜂	香味	欣賞	花朵	0.675	0.492	0.415	0.275	0.241	0.122	0.144
小草	綻放	蜂蜜	花朵	0.673	0.429	0.443	0.345	0.211	0.238	0.096
蜜蜂	漂亮	香氣	花朵	0.667	0.492	0.366	0.381	0.231	0.196	0.144
蜜蜂	樹木	漂亮	花朵	0.658	0.492	0.427	0.366	0.234	0.231	0.161
蜜蜂	香味	綠葉	花朵	0.656	0.492	0.415	0.441	0.241	0.248	0.203
小草	香味	綻放	花朵	0.656	0.429	0.415	0.443	0.199	0.211	0.222
蝴蝶	牛糞	綻放	花朵	0.646	0.479	0.322	0.443	0.156	0.194	0.248
蜜蜂	綠葉	漂亮	花朵	0.627	0.492	0.441	0.366	0.248	0.231	0.193
美麗	小草	香味	花朵	0.616	0.395	0.429	0.415	0.23	0.194	0.199
蜜蜂	欣賞	草	花朵	0.61	0.492	0.275	0.314	0.122	0.234	0.116
漂亮	綻放	蜂蜜	花朵	0.61	0.366	0.443	0.345	0.221	0.228	0.096
小草	香味	欣賞	花朵	0.607	0.429	0.415	0.275	0.199	0.17	0.144
香味	春天	大樹	花朵	0.592	0.415	0.446	0.34	0.233	0.172	0.204
蜜蜂	草	香氣	花朵	0.59	0.492	0.314	0.381	0.234	0.196	0.167
小草	艷麗	蜂蜜	花朵	0.586	0.429	0.446	0.345	0.218	0.238	0.179
香味	春天	欣賞	花朵	0.578	0.415	0.446	0.275	0.233	0.144	0.181
美麗	香味	草地	花朵	0.577	0.395	0.415	0.375	0.194	0.199	0.214
漂亮	綻放	草	花朵	0.576	0.366	0.443	0.314	0.221	0.229	0.098
蝴蝶	牛糞	欣賞	花朵	0.567	0.479	0.322	0.275	0.156	0.129	0.223
蜜蜂	草	顏色	花朵	0.56	0.492	0.314	0.362	0.234	0.186	0.189
小草	香味	花園	花朵	0.545	0.429	0.415	0.343	0.199	0.21	0.233
香味	草地	欣賞	花朵	0.538	0.415	0.375	0.275	0.214	0.144	0.168
小草	蜂蜜	欣賞	花朵	0.521	0.429	0.345	0.275	0.238	0.17	0.121
漂亮	草	香氣	花朵	0.521	0.366	0.314	0.381	0.229	0.144	0.167
樹木	漂亮	蜂蜜	花朵	0.511	0.427	0.366	0.345	0.161	0.237	0.228
花園	漂亮	泥土	花朵	0.51	0.343	0.366	0.455	0.232	0.229	0.193
綠葉	漂亮	蜂蜜	花朵	0.51	0.441	0.366	0.345	0.193	0.222	0.228
春天	牛糞	欣賞	花朵	0.48	0.446	0.322	0.275	0.158	0.181	0.223
蜜蜂	漂亮	草	花朵	0.479	0.492	0.366	0.314	0.231	0.234	0.229
牛糞	漂亮	綻放	花朵	0.476	0.322	0.366	0.443	0.187	0.248	0.221
美麗	小草	蜂蜜	花朵	0.472	0.395	0.429	0.345	0.23	0.229	0.238
漂亮	蜂蜜	大樹	花朵	0.44	0.366	0.345	0.34	0.228	0.181	0.202
小草	花園	蜂蜜	花朵	0.432	0.429	0.343	0.345	0.21	0.238	0.239
花園	漂亮	草	花朵	0.377	0.343	0.366	0.314	0.232	0.186	0.229
花園	漂亮	蜂蜜	花朵	0.356	0.343	0.366	0.345	0.232	0.239	0.228
