				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
廣闊	牛群	青色	草原	0.774	0.343	0.497	0.333	0.146	0.189	0.063
牛群	風	青色	草原	0.77	0.497	0.26	0.333	0.09	0.063	0.166
牛群	自由	青色	草原	0.738	0.497	0.294	0.333	0.175	0.063	0.148
牛群	綠地	青色	草原	0.727	0.497	0.334	0.333	0.237	0.063	0.137
平坦	牛群	風	草原	0.715	0.291	0.497	0.26	0.183	0.059	0.09
牛群	風箏	青色	草原	0.693	0.497	0.287	0.333	0.186	0.063	0.174
廣闊	羊群	青色	草原	0.686	0.343	0.497	0.333	0.122	0.189	0.176
遼闊	羊群	青色	草原	0.682	0.496	0.497	0.333	0.232	0.235	0.176
寬廣	牛群	青色	草原	0.681	0.319	0.497	0.333	0.18	0.225	0.063
平坦	牛群	風箏	草原	0.67	0.291	0.497	0.287	0.183	0.035	0.186
高山	野馬	自由	草原	0.666	0.46	0.408	0.294	0.166	0.129	0.201
平坦	牛群	青色	草原	0.663	0.291	0.497	0.333	0.183	0.212	0.063
綠色	平坦	牛群	草原	0.66	0.294	0.291	0.497	0.165	0.074	0.183
羊群	平坦	風	草原	0.657	0.497	0.291	0.26	0.19	0.142	0.059
羊群	平坦	風箏	草原	0.656	0.497	0.291	0.287	0.19	0.193	0.035
廣闊	高山	牛	草原	0.652	0.343	0.46	0.37	0.187	0.089	0.244
奔馳	高山	自由	草原	0.65	0.337	0.46	0.294	0.222	0.091	0.129
遼闊	奔跑	牛	草原	0.646	0.496	0.353	0.37	0.234	0.126	0.213
牛	平坦	風箏	草原	0.639	0.37	0.291	0.287	0.131	0.143	0.035
高山	自由	綠地	草原	0.633	0.46	0.294	0.334	0.129	0.19	0.137
高山	獅子	自由	草原	0.63	0.46	0.285	0.294	0.177	0.129	0.103
馬匹	高山	自由	草原	0.626	0.361	0.46	0.294	0.197	0.164	0.129
曠野	牛	平坦	草原	0.625	0.473	0.37	0.291	0.132	0.247	0.131
牛群	風	自由	草原	0.623	0.497	0.26	0.294	0.09	0.175	0.163
平坦	風	馬群	草原	0.62	0.291	0.26	0.421	0.059	0.113	0.18
廣闊	牛群	風	草原	0.619	0.343	0.497	0.26	0.146	0.244	0.09
奔馳	牛群	自由	草原	0.617	0.337	0.497	0.294	0.245	0.091	0.175
平坦	大海	野馬	草原	0.612	0.291	0.414	0.408	0.21	0.079	0.212
羊群	風	青色	草原	0.606	0.497	0.26	0.333	0.142	0.176	0.166
寬廣	高山	牛	草原	0.605	0.319	0.46	0.37	0.216	0.083	0.244
高山	綿羊	自由	草原	0.604	0.46	0.376	0.294	0.244	0.129	0.153
遼闊	牛	青色	草原	0.604	0.496	0.37	0.333	0.126	0.235	0.233
曠野	牛	自由	草原	0.603	0.473	0.37	0.294	0.132	0.18	0.223
寬廣	羊群	青色	草原	0.6	0.319	0.497	0.333	0.147	0.225	0.176
高山	自由	風箏	草原	0.599	0.46	0.294	0.287	0.129	0.15	0.164
綠色	羊群	平坦	草原	0.596	0.294	0.497	0.291	0.131	0.165	0.19
綠色	牛群	自由	草原	0.595	0.294	0.497	0.294	0.074	0.241	0.175
廣闊	羊群	風箏	草原	0.595	0.343	0.497	0.287	0.122	0.217	0.193
廣闊	羊群	風	草原	0.592	0.343	0.497	0.26	0.122	0.244	0.142
曠野	牛	青色	草原	0.591	0.473	0.37	0.333	0.132	0.22	0.233
寬廣	高山	野馬	草原	0.591	0.319	0.46	0.408	0.216	0.212	0.166
馬匹	平坦	大海	草原	0.585	0.361	0.291	0.414	0.136	0.135	0.21
寬廣	牛群	風	草原	0.585	0.319	0.497	0.26	0.18	0.221	0.09
遼闊	馬群	青色	草原	0.585	0.496	0.421	0.333	0.249	0.235	0.181
奔跑	綿羊	青色	草原	0.583	0.353	0.376	0.333	0.167	0.142	0.171
高山	牛	綠地	草原	0.582	0.46	0.37	0.334	0.244	0.19	0.147
高山	奔跑	綿羊	草原	0.582	0.46	0.353	0.376	0.196	0.244	0.167
羊群	空曠	青色	草原	0.582	0.497	0.375	0.333	0.228	0.176	0.219
牛	大海	綠地	草原	0.581	0.37	0.414	0.334	0.183	0.147	0.207
高山	牛	風箏	草原	0.58	0.46	0.37	0.287	0.244	0.15	0.143
奔馳	羊群	自由	草原	0.579	0.337	0.497	0.294	0.235	0.091	0.223
馬群	自由	青色	草原	0.578	0.421	0.294	0.333	0.141	0.181	0.148
廣闊	牛群	風箏	草原	0.577	0.343	0.497	0.287	0.146	0.217	0.186
羊群	自由	青色	草原	0.577	0.497	0.294	0.333	0.223	0.176	0.148
牛群	自由	綠地	草原	0.576	0.497	0.294	0.334	0.175	0.237	0.137
廣闊	高山	獅子	草原	0.576	0.343	0.46	0.285	0.187	0.148	0.177
廣闊	馬匹	高山	草原	0.576	0.343	0.361	0.46	0.204	0.187	0.197
羊群	風箏	青色	草原	0.574	0.497	0.287	0.333	0.193	0.176	0.174
奔跑	綿羊	大海	草原	0.572	0.353	0.376	0.414	0.167	0.223	0.182
綿羊	平坦	大海	草原	0.571	0.376	0.291	0.414	0.118	0.182	0.21
遼闊	奔跑	青色	草原	0.571	0.496	0.353	0.333	0.234	0.235	0.142
動物	平坦	青色	草原	0.57	0.364	0.291	0.333	0.103	0.103	0.212
平坦	馬群	大海	草原	0.568	0.291	0.421	0.414	0.113	0.21	0.235
寬廣	羊群	風箏	草原	0.568	0.319	0.497	0.287	0.147	0.194	0.193
奔跑	動物	青色	草原	0.566	0.353	0.364	0.333	0.238	0.142	0.103
寬廣	羊群	風	草原	0.566	0.319	0.497	0.26	0.147	0.221	0.142
馬匹	大海	自由	草原	0.563	0.361	0.414	0.294	0.135	0.164	0.208
廣闊	高山	奔跑	草原	0.555	0.343	0.46	0.353	0.187	0.217	0.196
寬廣	牛	風箏	草原	0.555	0.319	0.37	0.287	0.083	0.194	0.143
高山	奔跑	綠地	草原	0.555	0.46	0.353	0.334	0.196	0.19	0.206
曠野	自由	青色	草原	0.553	0.473	0.294	0.333	0.18	0.22	0.148
牛群	自由	風箏	草原	0.553	0.497	0.294	0.287	0.175	0.186	0.164
牛	平坦	大海	草原	0.551	0.37	0.291	0.414	0.131	0.183	0.21
廣闊	牛	風箏	草原	0.551	0.343	0.37	0.287	0.089	0.217	0.143
牛	平坦	風	草原	0.549	0.37	0.291	0.26	0.131	0.182	0.059
高山	奔跑	風	草原	0.548	0.46	0.353	0.26	0.196	0.194	0.134
廣闊	奔跑	牛	草原	0.547	0.343	0.353	0.37	0.217	0.089	0.213
高山	綠色	牛	草原	0.546	0.46	0.294	0.37	0.202	0.244	0.132
馬群	大海	自由	草原	0.545	0.421	0.414	0.294	0.235	0.141	0.208
廣闊	高山	綿羊	草原	0.545	0.343	0.46	0.376	0.187	0.203	0.244
動物	自由	青色	草原	0.544	0.364	0.294	0.333	0.196	0.103	0.148
牛	動物	平坦	草原	0.543	0.37	0.364	0.291	0.248	0.131	0.103
羊群	平坦	青色	草原	0.543	0.497	0.291	0.333	0.19	0.176	0.212
寬廣	牛群	風箏	草原	0.542	0.319	0.497	0.287	0.18	0.194	0.186
綿羊	大海	自由	草原	0.541	0.376	0.414	0.294	0.182	0.153	0.208
高山	奔跑	自由	草原	0.54	0.46	0.353	0.294	0.196	0.129	0.242
寬廣	奔跑	牛	草原	0.54	0.319	0.353	0.37	0.206	0.083	0.213
自由	綠地	青色	草原	0.54	0.294	0.334	0.333	0.137	0.148	0.137
平坦	野馬	青色	草原	0.539	0.291	0.408	0.333	0.079	0.212	0.202
平坦	馬群	青色	草原	0.539	0.291	0.421	0.333	0.113	0.212	0.181
高山	獅子	奔跑	草原	0.536	0.46	0.285	0.353	0.177	0.196	0.189
廣闊	高山	風箏	草原	0.536	0.343	0.46	0.287	0.187	0.217	0.15
奔跑	綠地	青色	草原	0.536	0.353	0.334	0.333	0.206	0.142	0.137
廣闊	牛	青色	草原	0.535	0.343	0.37	0.333	0.089	0.189	0.233
奔馳	羊群	平坦	草原	0.531	0.337	0.497	0.291	0.235	0.169	0.19
綿羊	自由	青色	草原	0.531	0.376	0.294	0.333	0.153	0.171	0.148
動物	平坦	大海	草原	0.531	0.364	0.291	0.414	0.103	0.225	0.21
高山	奔跑	牛	草原	0.529	0.46	0.353	0.37	0.196	0.244	0.213
高山	風	自由	草原	0.529	0.46	0.26	0.294	0.194	0.129	0.163
綠色	牛	大海	草原	0.528	0.294	0.37	0.414	0.132	0.234	0.183
高山	牛	自由	草原	0.528	0.46	0.37	0.294	0.244	0.129	0.223
奔馳	平坦	牛群	草原	0.528	0.337	0.291	0.497	0.169	0.245	0.183
綠色	牛	平坦	草原	0.528	0.294	0.37	0.291	0.132	0.165	0.131
奔馳	寬廣	羊群	草原	0.526	0.337	0.319	0.497	0.245	0.235	0.147
馬匹	寬廣	高山	草原	0.525	0.361	0.319	0.46	0.201	0.197	0.216
牛	平坦	綠地	草原	0.525	0.37	0.291	0.334	0.131	0.147	0.193
羊群	風	自由	草原	0.523	0.497	0.26	0.294	0.142	0.223	0.163
空曠	牛	青色	草原	0.521	0.375	0.37	0.333	0.105	0.219	0.233
羊群	空曠	自由	草原	0.52	0.497	0.375	0.294	0.228	0.223	0.195
牛	綠地	青色	草原	0.52	0.37	0.334	0.333	0.147	0.233	0.137
奔跑	牛	大海	草原	0.518	0.353	0.37	0.414	0.213	0.223	0.183
空曠	牛	自由	草原	0.517	0.375	0.37	0.294	0.105	0.195	0.223
寬廣	高山	奔跑	草原	0.514	0.319	0.46	0.353	0.216	0.206	0.196
馬匹	自由	青色	草原	0.514	0.361	0.294	0.333	0.164	0.163	0.148
廣闊	馬群	青色	草原	0.51	0.343	0.421	0.333	0.217	0.189	0.181
平坦	牛群	綠地	草原	0.509	0.291	0.497	0.334	0.183	0.193	0.237
寬廣	高山	風箏	草原	0.506	0.319	0.46	0.287	0.216	0.194	0.15
奔跑	風	青色	草原	0.503	0.353	0.26	0.333	0.134	0.142	0.166
高山	綠色	奔跑	草原	0.501	0.46	0.294	0.353	0.202	0.196	0.209
寬廣	牛	動物	草原	0.5	0.319	0.37	0.364	0.083	0.221	0.248
綿羊	平坦	青色	草原	0.499	0.376	0.291	0.333	0.118	0.171	0.212
寬廣	高山	獅子	草原	0.499	0.319	0.46	0.285	0.216	0.172	0.177
羊群	自由	風箏	草原	0.498	0.497	0.294	0.287	0.223	0.193	0.164
大海	野馬	自由	草原	0.495	0.414	0.408	0.294	0.212	0.208	0.201
寬廣	高山	綿羊	草原	0.493	0.319	0.46	0.376	0.216	0.202	0.244
牛	自由	綠地	草原	0.492	0.37	0.294	0.334	0.223	0.147	0.137
大海	自由	綠地	草原	0.492	0.414	0.294	0.334	0.208	0.207	0.137
奔跑	牛	綠地	草原	0.492	0.353	0.37	0.334	0.213	0.206	0.147
風	馬群	自由	草原	0.491	0.26	0.421	0.294	0.18	0.163	0.141
牛	動物	大海	草原	0.491	0.37	0.364	0.414	0.248	0.183	0.225
奔跑	綿羊	平坦	草原	0.491	0.353	0.376	0.291	0.167	0.245	0.118
平坦	風箏	青色	草原	0.49	0.291	0.287	0.333	0.035	0.212	0.174
綠色	羊群	自由	草原	0.49	0.294	0.497	0.294	0.131	0.241	0.223
廣闊	綿羊	青色	草原	0.489	0.343	0.376	0.333	0.203	0.189	0.171
風	馬群	青色	草原	0.486	0.26	0.421	0.333	0.18	0.166	0.181
廣闊	奔跑	綿羊	草原	0.485	0.343	0.353	0.376	0.217	0.203	0.167
野馬	自由	青色	草原	0.484	0.408	0.294	0.333	0.201	0.202	0.148
奔馳	寬廣	牛群	草原	0.483	0.337	0.319	0.497	0.245	0.245	0.18
牛	動物	青色	草原	0.482	0.37	0.364	0.333	0.248	0.233	0.103
廣闊	馬匹	青色	草原	0.481	0.343	0.361	0.333	0.204	0.189	0.163
廣闊	奔跑	青色	草原	0.481	0.343	0.353	0.333	0.217	0.189	0.142
寬廣	牛	青色	草原	0.48	0.319	0.37	0.333	0.083	0.225	0.233
高山	綠色	自由	草原	0.477	0.46	0.294	0.294	0.202	0.129	0.241
馬匹	平坦	青色	草原	0.474	0.361	0.291	0.333	0.136	0.163	0.212
寬廣	奔跑	綿羊	草原	0.474	0.319	0.353	0.376	0.206	0.202	0.167
寬廣	馬群	青色	草原	0.473	0.319	0.421	0.333	0.194	0.225	0.181
平坦	風	大海	草原	0.471	0.291	0.26	0.414	0.059	0.21	0.225
高山	牛	風	草原	0.47	0.46	0.37	0.26	0.244	0.194	0.182
奔跑	牛	青色	草原	0.468	0.353	0.37	0.333	0.213	0.142	0.233
奔跑	大海	綠地	草原	0.466	0.353	0.414	0.334	0.223	0.206	0.207
寬廣	動物	青色	草原	0.466	0.319	0.364	0.333	0.221	0.225	0.103
奔跑	平坦	風	草原	0.466	0.353	0.291	0.26	0.245	0.134	0.059
牛	大海	自由	草原	0.464	0.37	0.414	0.294	0.183	0.223	0.208
綠色	奔跑	牛	草原	0.464	0.294	0.353	0.37	0.209	0.132	0.213
寬廣	牛	風	草原	0.463	0.319	0.37	0.26	0.083	0.221	0.182
奔跑	綿羊	自由	草原	0.461	0.353	0.376	0.294	0.167	0.242	0.153
廣闊	牛	風	草原	0.458	0.343	0.37	0.26	0.089	0.244	0.182
風	馬群	大海	草原	0.455	0.26	0.421	0.414	0.18	0.225	0.235
牛	風	大海	草原	0.454	0.37	0.26	0.414	0.182	0.183	0.225
奔跑	牛	風	草原	0.454	0.353	0.37	0.26	0.213	0.134	0.182
奔跑	自由	青色	草原	0.448	0.353	0.294	0.333	0.242	0.142	0.148
