				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
植物	數目	飄	葉子	0.733	0.447	0.298	0.345	0.168	0.02	0.168
花朵	飄	葉綠素	葉子	0.73	0.449	0.345	0.477	0.176	0.201	0.164
花	飄落	葉綠素	葉子	0.694	0.293	0.437	0.477	0.216	0.08	0.217
秋天	飄	葉綠素	葉子	0.681	0.337	0.345	0.477	0.153	0.162	0.164
數目	秋天	葉綠素	葉子	0.667	0.298	0.337	0.477	0.079	0.204	0.162
植物	數目	飄零	葉子	0.667	0.447	0.298	0.445	0.168	0.163	0.192
花	秋天	葉綠素	葉子	0.651	0.293	0.337	0.477	0.214	0.08	0.162
飄	葉綠素	森林	葉子	0.647	0.345	0.477	0.259	0.164	0.123	0.147
飄零	葉綠素	森林	葉子	0.645	0.445	0.477	0.259	0.213	0.176	0.147
花朵	數目	葉綠素	葉子	0.645	0.449	0.298	0.477	0.174	0.201	0.204
飄落	葉綠素	森林	葉子	0.627	0.437	0.477	0.259	0.217	0.181	0.147
數目	葉綠素	森林	葉子	0.621	0.298	0.477	0.259	0.204	0.062	0.147
花	葉綠素	森林	葉子	0.62	0.293	0.477	0.259	0.08	0.182	0.147
綠色	花	飄落	葉子	0.617	0.438	0.293	0.437	0.095	0.24	0.216
數目	飄零	葉綠素	葉子	0.612	0.298	0.445	0.477	0.192	0.204	0.213
花	數目	葉綠素	葉子	0.585	0.293	0.298	0.477	0.199	0.08	0.204
數目	飄	葉綠素	葉子	0.584	0.298	0.345	0.477	0.168	0.204	0.164
數目	毛毛蟲	飄零	葉子	0.583	0.298	0.486	0.445	0.218	0.192	0.236
數目	秋天	飄	葉子	0.581	0.298	0.337	0.345	0.079	0.168	0.153
花朵	數目	飄	葉子	0.574	0.449	0.298	0.345	0.174	0.176	0.168
數目	飄零	森林	葉子	0.573	0.298	0.445	0.259	0.192	0.062	0.176
綠色	數目	飄零	葉子	0.559	0.438	0.298	0.445	0.22	0.211	0.192
數目	飄	森林	葉子	0.549	0.298	0.345	0.259	0.168	0.062	0.123
綠色	數目	秋天	葉子	0.534	0.438	0.298	0.337	0.22	0.241	0.079
毛毛蟲	飄零	森林	葉子	0.533	0.486	0.445	0.259	0.236	0.245	0.176
數目	毛毛蟲	飄	葉子	0.523	0.298	0.486	0.345	0.218	0.168	0.22
綠色	花	秋天	葉子	0.518	0.438	0.293	0.337	0.095	0.241	0.214
數目	毛毛蟲	森林	葉子	0.518	0.298	0.486	0.259	0.218	0.062	0.245
綠色	花	數目	葉子	0.515	0.438	0.293	0.298	0.095	0.22	0.199
毛毛蟲	飄	森林	葉子	0.502	0.486	0.345	0.259	0.22	0.245	0.123
花	數目	毛毛蟲	葉子	0.45	0.293	0.298	0.486	0.199	0.21	0.218
花	數目	秋天	葉子	0.436	0.293	0.298	0.337	0.199	0.214	0.079
花	飄落	森林	葉子	0.41	0.293	0.437	0.259	0.216	0.182	0.181
花	數目	森林	葉子	0.406	0.293	0.298	0.259	0.199	0.182	0.062
花	毛毛蟲	森林	葉子	0.4	0.293	0.486	0.259	0.21	0.182	0.245
