				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
美酒	蘋果	成熟	葡萄	0.792	0.49	0.414	0.39	0.157	0.202	0.143
美酒	成熟	樹	葡萄	0.744	0.49	0.39	0.288	0.202	0.111	0.111
美酒	酸	樹	葡萄	0.741	0.49	0.484	0.288	0.229	0.111	0.182
酸	狐狸	酒類	葡萄	0.724	0.484	0.366	0.363	0.162	0.178	0.15
酸	狐狸	紅酒	葡萄	0.712	0.484	0.366	0.463	0.162	0.245	0.196
美酒	酸	狐狸	葡萄	0.706	0.49	0.484	0.366	0.229	0.245	0.162
美酒	酸	成熟	葡萄	0.705	0.49	0.484	0.39	0.229	0.202	0.228
酸	成熟	紅酒	葡萄	0.699	0.484	0.39	0.463	0.228	0.245	0.166
美酒	蘋果	狐狸	葡萄	0.682	0.49	0.414	0.366	0.157	0.245	0.187
成熟	果汁	樹	葡萄	0.68	0.39	0.446	0.288	0.188	0.111	0.144
酸	成熟	酒類	葡萄	0.675	0.484	0.39	0.363	0.228	0.178	0.155
美酒	酸	蝸牛	葡萄	0.675	0.49	0.484	0.282	0.229	0.183	0.169
美酒	蝸牛	成熟	葡萄	0.674	0.49	0.282	0.39	0.183	0.202	0.102
蝸牛	成熟	果汁	葡萄	0.661	0.282	0.39	0.446	0.102	0.166	0.188
酸	蝸牛	成熟	葡萄	0.657	0.484	0.282	0.39	0.169	0.228	0.102
成熟	狐狸	紅酒	葡萄	0.655	0.39	0.366	0.463	0.203	0.166	0.196
酸	成熟	狐狸	葡萄	0.647	0.484	0.39	0.366	0.228	0.162	0.203
酸	成熟	樹	葡萄	0.641	0.484	0.39	0.288	0.228	0.182	0.111
蘋果	成熟	狐狸	葡萄	0.637	0.414	0.39	0.366	0.143	0.187	0.203
成熟	樹	酸味	葡萄	0.625	0.39	0.288	0.354	0.111	0.204	0.092
紫色	酸	酒類	葡萄	0.618	0.353	0.484	0.363	0.244	0.16	0.178
成熟	狐狸	酒類	葡萄	0.611	0.39	0.366	0.363	0.203	0.155	0.15
狐狸	酸甜	酒類	葡萄	0.611	0.366	0.363	0.363	0.157	0.15	0.174
樹	酸味	西瓜	葡萄	0.605	0.288	0.354	0.465	0.092	0.19	0.22
成熟	酒類	西瓜	葡萄	0.604	0.39	0.363	0.465	0.155	0.247	0.211
美酒	成熟	狐狸	葡萄	0.596	0.49	0.39	0.366	0.202	0.245	0.203
成熟	樹	西瓜	葡萄	0.594	0.39	0.288	0.465	0.111	0.247	0.19
成熟	狐狸	果汁	葡萄	0.587	0.39	0.366	0.446	0.203	0.188	0.223
成熟	狐狸	酸味	葡萄	0.578	0.39	0.366	0.354	0.203	0.204	0.125
蝸牛	成熟	酸味	葡萄	0.572	0.282	0.39	0.354	0.102	0.147	0.204
