				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
纖維	吃	水耕	蔬菜	0.793	0.339	0.404	0.484	0.141	0.152	0.141
維他命	肉	水耕	蔬菜	0.77	0.311	0.462	0.484	0.212	0.103	0.172
市場	吃	水耕	蔬菜	0.754	0.325	0.404	0.484	0.127	0.191	0.141
維他命	豆腐	水耕	蔬菜	0.749	0.311	0.461	0.484	0.202	0.103	0.203
維他命	吃	水耕	蔬菜	0.739	0.311	0.404	0.484	0.217	0.103	0.141
綠色	肉	水耕	蔬菜	0.738	0.355	0.462	0.484	0.151	0.239	0.172
纖維	好吃	水耕	蔬菜	0.738	0.339	0.397	0.484	0.157	0.152	0.172
健康	菜市場	水耕	蔬菜	0.729	0.375	0.499	0.484	0.188	0.198	0.243
市場	肉	水耕	蔬菜	0.727	0.325	0.462	0.484	0.181	0.191	0.172
纖維	肉	水耕	蔬菜	0.717	0.339	0.462	0.484	0.244	0.152	0.172
綠色	豆腐	水耕	蔬菜	0.716	0.355	0.461	0.484	0.141	0.239	0.203
維他命	好吃	水耕	蔬菜	0.712	0.311	0.397	0.484	0.205	0.103	0.172
綠色	吃	水耕	蔬菜	0.711	0.355	0.404	0.484	0.152	0.239	0.141
健康	肉	水耕	蔬菜	0.709	0.375	0.462	0.484	0.242	0.198	0.172
健康	纖維	水耕	蔬菜	0.702	0.375	0.339	0.484	0.146	0.198	0.152
營養	肉	水耕	蔬菜	0.7	0.391	0.462	0.484	0.223	0.242	0.172
綠色	好吃	水耕	蔬菜	0.692	0.355	0.397	0.484	0.132	0.239	0.172
市場	豆腐	水耕	蔬菜	0.676	0.325	0.461	0.484	0.2	0.191	0.203
健康	果園	肉	蔬菜	0.673	0.375	0.429	0.462	0.175	0.242	0.176
市場	好吃	水耕	蔬菜	0.645	0.325	0.397	0.484	0.198	0.191	0.172
農夫	豆腐	水耕	蔬菜	0.645	0.3	0.461	0.484	0.174	0.224	0.203
吃	農夫	水耕	蔬菜	0.644	0.404	0.3	0.484	0.18	0.141	0.224
農夫	肉	水耕	蔬菜	0.633	0.3	0.462	0.484	0.217	0.224	0.172
好吃	農夫	水耕	蔬菜	0.629	0.397	0.3	0.484	0.156	0.172	0.224
健康	維他命	水耕	蔬菜	0.625	0.375	0.311	0.484	0.244	0.198	0.103
健康	農夫	水耕	蔬菜	0.6	0.375	0.3	0.484	0.137	0.198	0.224
健康	纖維	肉	蔬菜	0.544	0.375	0.339	0.462	0.146	0.242	0.244
健康	農夫	肉	蔬菜	0.541	0.375	0.3	0.462	0.137	0.242	0.217
纖維	農夫	水耕	蔬菜	0.521	0.339	0.3	0.484	0.226	0.152	0.224
健康	纖維	農夫	蔬菜	0.504	0.375	0.339	0.3	0.146	0.137	0.226
纖維	好吃	農夫	蔬菜	0.495	0.339	0.397	0.3	0.157	0.226	0.156
纖維	吃	農夫	蔬菜	0.495	0.339	0.404	0.3	0.141	0.226	0.18
健康	維他命	肉	蔬菜	0.45	0.375	0.311	0.462	0.244	0.242	0.212
纖維	農夫	肉	蔬菜	0.413	0.339	0.3	0.462	0.226	0.244	0.217
