				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
控制	威而剛	藥局	藥物	0.68	0.265	0.397	0.342	0.051	0.086	0.186
濫用	病人	藥局	藥物	0.667	0.453	0.467	0.342	0.213	0.186	0.197
濫用	疾病	藥局	藥物	0.65	0.453	0.462	0.342	0.224	0.186	0.197
濫用	睡眠	藥局	藥物	0.635	0.453	0.269	0.342	0.157	0.186	0.087
疾病	威而剛	藥局	藥物	0.631	0.462	0.397	0.342	0.187	0.197	0.186
病人	威而剛	藥局	藥物	0.613	0.467	0.397	0.342	0.21	0.197	0.186
威而剛	睡眠	藥局	藥物	0.599	0.397	0.269	0.342	0.136	0.186	0.087
打針	睡眠	藥局	藥物	0.585	0.466	0.269	0.342	0.197	0.208	0.087
病人	上癮	藥局	藥物	0.577	0.467	0.392	0.342	0.201	0.197	0.226
毒品	睡眠	藥局	藥物	0.566	0.413	0.269	0.342	0.209	0.163	0.087
疾病	上癮	藥局	藥物	0.557	0.462	0.392	0.342	0.216	0.197	0.226
控制	打針	藥局	藥物	0.552	0.265	0.466	0.342	0.227	0.086	0.208
中毒	打針	藥局	藥物	0.519	0.295	0.466	0.342	0.216	0.16	0.208
吸毒	威而剛	藥局	藥物	0.516	0.334	0.397	0.342	0.234	0.137	0.186
控制	威而剛	睡眠	藥物	0.511	0.265	0.397	0.269	0.051	0.233	0.136
中毒	威而剛	藥局	藥物	0.5	0.295	0.397	0.342	0.188	0.16	0.186
控制	吸毒	藥局	藥物	0.479	0.265	0.334	0.342	0.239	0.086	0.137
控制	威而剛	感冒	藥物	0.477	0.265	0.397	0.303	0.051	0.22	0.217
控制	吸毒	威而剛	藥物	0.472	0.265	0.334	0.397	0.239	0.051	0.234
上癮	睡眠	藥局	藥物	0.47	0.392	0.269	0.342	0.219	0.226	0.087
控制	睡眠	藥局	藥物	0.47	0.265	0.269	0.342	0.233	0.086	0.087
威而剛	藥局	感冒	藥物	0.434	0.397	0.342	0.303	0.186	0.217	0.206
控制	藥局	感冒	藥物	0.398	0.265	0.342	0.303	0.086	0.22	0.206
控制	打針	睡眠	藥物	0.343	0.265	0.466	0.269	0.227	0.233	0.197
