				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
鮮豔	梨子	紐約	蘋果	0.677	0.328	0.423	0.364	0.148	0.186	0.105
水果	臉	華盛頓	蘋果	0.669	0.433	0.344	0.331	0.141	0.183	0.115
臉	梨子	華盛頓	蘋果	0.669	0.344	0.423	0.331	0.169	0.115	0.145
蟲	梨子	紐約	蘋果	0.66	0.309	0.423	0.364	0.205	0.126	0.105
水果	臉	紐約	蘋果	0.66	0.433	0.344	0.364	0.141	0.121	0.22
樂園	梨子	紐約	蘋果	0.651	0.387	0.423	0.364	0.221	0.198	0.105
蟲	芭樂	紐約	蘋果	0.65	0.309	0.41	0.364	0.151	0.126	0.155
梨子	紅	華盛頓	蘋果	0.64	0.423	0.412	0.331	0.162	0.145	0.219
臉	梨子	紐約	蘋果	0.637	0.344	0.423	0.364	0.169	0.22	0.105
營養	梨子	紐約	蘋果	0.632	0.343	0.423	0.364	0.148	0.245	0.105
臉頰	梨子	紐約	蘋果	0.618	0.336	0.423	0.364	0.156	0.244	0.105
夏娃	臉	華盛頓	蘋果	0.611	0.269	0.344	0.331	0.11	0.108	0.115
水果	牛頓	臉	蘋果	0.607	0.433	0.403	0.344	0.216	0.141	0.216
樂園	梨子	華盛頓	蘋果	0.605	0.387	0.423	0.331	0.221	0.17	0.145
水果	牛頓	紅	蘋果	0.603	0.433	0.403	0.412	0.216	0.184	0.246
果汁	蟲	紐約	蘋果	0.602	0.325	0.309	0.364	0.167	0.101	0.126
夏娃	紅	華盛頓	蘋果	0.597	0.269	0.412	0.331	0.088	0.108	0.219
臉頰	梨子	華盛頓	蘋果	0.596	0.336	0.423	0.331	0.156	0.193	0.145
鮮豔	梨子	華盛頓	蘋果	0.595	0.328	0.423	0.331	0.148	0.195	0.145
水果	紅	華盛頓	蘋果	0.59	0.433	0.412	0.331	0.184	0.183	0.219
果汁	臉	華盛頓	蘋果	0.586	0.325	0.344	0.331	0.161	0.138	0.115
蟲	梨子	華盛頓	蘋果	0.581	0.309	0.423	0.331	0.205	0.132	0.145
蟲	芭樂	華盛頓	蘋果	0.581	0.309	0.41	0.331	0.151	0.132	0.186
牛頓	蟲	芭樂	蘋果	0.58	0.403	0.309	0.41	0.194	0.197	0.151
果汁	紅	華盛頓	蘋果	0.575	0.325	0.412	0.331	0.136	0.138	0.219
果汁	紐約	樹	蘋果	0.572	0.325	0.364	0.333	0.101	0.144	0.205
西瓜	樂園	紐約	蘋果	0.572	0.321	0.387	0.364	0.174	0.127	0.198
水果	紐約	樹	蘋果	0.571	0.433	0.364	0.333	0.121	0.234	0.205
芭樂	樂園	紐約	蘋果	0.571	0.41	0.387	0.364	0.237	0.155	0.198
紅色	梨子	華盛頓	蘋果	0.568	0.303	0.423	0.331	0.109	0.235	0.145
夏娃	芭樂	紐約	蘋果	0.562	0.269	0.41	0.364	0.179	0.147	0.155
水果	臉頰	紐約	蘋果	0.559	0.433	0.336	0.364	0.209	0.121	0.244
臉	牛奶	華盛頓	蘋果	0.558	0.344	0.314	0.331	0.182	0.115	0.134
牛頓	芭樂	樂園	蘋果	0.553	0.403	0.41	0.387	0.197	0.213	0.237
果汁	臉	紐約	蘋果	0.55	0.325	0.344	0.364	0.161	0.101	0.22
纖維	梨子	紐約	蘋果	0.55	0.314	0.423	0.364	0.198	0.249	0.105
香蕉	臉	紐約	蘋果	0.547	0.396	0.344	0.364	0.161	0.176	0.22
牛頓	果汁	紅	蘋果	0.547	0.403	0.325	0.412	0.212	0.246	0.136
牛頓	芭樂	鮮豔	蘋果	0.544	0.403	0.41	0.328	0.197	0.173	0.227
香蕉	樂園	紐約	蘋果	0.543	0.396	0.387	0.364	0.23	0.176	0.198
夏娃	芭樂	華盛頓	蘋果	0.537	0.269	0.41	0.331	0.179	0.108	0.186
夏娃	鮮豔	紐約	蘋果	0.537	0.269	0.328	0.364	0.091	0.147	0.186
蟲	臉頰	梨子	蘋果	0.536	0.309	0.336	0.423	0.17	0.205	0.156
芭樂	牛奶	紐約	蘋果	0.535	0.41	0.314	0.364	0.242	0.155	0.156
