				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
毛蟲	採蜜	梁祝	蝴蝶	0.749	0.406	0.353	0.307	0.21	0.046	0.062
昆蟲	花	梁祝	蝴蝶	0.709	0.454	0.384	0.307	0.156	0.116	0.164
毛毛蟲	梁祝	山谷	蝴蝶	0.69	0.462	0.307	0.367	0.11	0.198	0.138
毛蟲	梁祝	山谷	蝴蝶	0.688	0.406	0.307	0.367	0.046	0.208	0.138
毛蟲	梁祝	花蜜	蝴蝶	0.678	0.406	0.307	0.369	0.046	0.211	0.147
毛毛蟲	梁祝	自由	蝴蝶	0.673	0.462	0.307	0.254	0.11	0.104	0.136
毛毛蟲	花	梁祝	蝴蝶	0.669	0.462	0.384	0.307	0.21	0.11	0.164
毛蟲	梁祝	自由	蝴蝶	0.667	0.406	0.307	0.254	0.046	0.118	0.136
毛蟲	花	梁祝	蝴蝶	0.666	0.406	0.384	0.307	0.221	0.046	0.164
毛毛蟲	梁祝	花蜜	蝴蝶	0.664	0.462	0.307	0.369	0.11	0.216	0.147
毛毛蟲	自由	花蜜	蝴蝶	0.661	0.462	0.254	0.369	0.104	0.216	0.103
毛毛蟲	山谷	自由	蝴蝶	0.638	0.462	0.367	0.254	0.198	0.104	0.144
毛毛蟲	花	自由	蝴蝶	0.631	0.462	0.384	0.254	0.21	0.104	0.156
毛蟲	春天	梁祝	蝴蝶	0.625	0.406	0.361	0.307	0.168	0.046	0.235
昆蟲	花	自由	蝴蝶	0.617	0.454	0.384	0.254	0.156	0.164	0.156
飛舞	蛹	梁祝	蝴蝶	0.617	0.416	0.399	0.307	0.197	0.165	0.143
花	蛹	梁祝	蝴蝶	0.617	0.384	0.399	0.307	0.166	0.164	0.143
花園	蛹	梁祝	蝴蝶	0.612	0.299	0.399	0.307	0.095	0.155	0.143
小蟲	花	梁祝	蝴蝶	0.604	0.288	0.384	0.307	0.099	0.112	0.164
飛舞	梁祝	山谷	蝴蝶	0.601	0.416	0.307	0.367	0.165	0.186	0.138
毛毛蟲	花	山谷	蝴蝶	0.599	0.462	0.384	0.367	0.21	0.198	0.207
昆蟲	梁祝	自由	蝴蝶	0.599	0.454	0.307	0.254	0.116	0.164	0.136
毛蟲	自由	花蜜	蝴蝶	0.596	0.406	0.254	0.369	0.118	0.211	0.103
