				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
海	好吃	鉗子	螃蟹	0.746	0.297	0.381	0.441	0.132	0.065	0.176
美味	海	鉗子	螃蟹	0.742	0.375	0.297	0.441	0.151	0.155	0.065
海	美食	鉗子	螃蟹	0.704	0.297	0.362	0.441	0.157	0.065	0.174
美味	鉗子	秋天	螃蟹	0.646	0.375	0.441	0.298	0.155	0.218	0.095
美食	鉗子	秋天	螃蟹	0.644	0.362	0.441	0.298	0.174	0.188	0.095
好吃	鉗子	海洋	螃蟹	0.643	0.381	0.441	0.356	0.176	0.183	0.177
海	鉗子	秋天	螃蟹	0.635	0.297	0.441	0.298	0.065	0.241	0.095
好吃	鉗子	秋天	螃蟹	0.624	0.381	0.441	0.298	0.176	0.225	0.095
蝦子	美食	秋天	螃蟹	0.615	0.465	0.362	0.298	0.205	0.117	0.188
蝦子	海洋	秋天	螃蟹	0.597	0.465	0.356	0.298	0.16	0.117	0.245
蝦子	海	美食	螃蟹	0.594	0.465	0.297	0.362	0.168	0.205	0.157
蝦子	食物	海	螃蟹	0.591	0.465	0.37	0.297	0.243	0.168	0.13
海	啤酒	鉗子	螃蟹	0.591	0.297	0.36	0.441	0.227	0.065	0.216
鉗子	海洋	秋天	螃蟹	0.578	0.441	0.356	0.298	0.177	0.095	0.245
美味	鉗子	沙子	螃蟹	0.576	0.375	0.441	0.334	0.155	0.225	0.194
蝦子	美食	沙子	螃蟹	0.574	0.465	0.362	0.334	0.205	0.161	0.222
蝦子	啤酒	沙子	螃蟹	0.548	0.465	0.36	0.334	0.219	0.161	0.231
美食	鉗子	沙子	螃蟹	0.548	0.362	0.441	0.334	0.174	0.222	0.194
好吃	鉗子	沙子	螃蟹	0.546	0.381	0.441	0.334	0.176	0.24	0.194
啤酒	鉗子	秋天	螃蟹	0.542	0.36	0.441	0.298	0.216	0.247	0.095
蝦子	啤酒	秋天	螃蟹	0.54	0.465	0.36	0.298	0.219	0.117	0.247
蝦子	海	秋天	螃蟹	0.534	0.465	0.297	0.298	0.168	0.117	0.241
蝦子	食物	秋天	螃蟹	0.53	0.465	0.37	0.298	0.243	0.117	0.243
動物	海	好吃	螃蟹	0.529	0.29	0.297	0.381	0.116	0.19	0.132
蝦子	海	啤酒	螃蟹	0.508	0.465	0.297	0.36	0.168	0.219	0.227
啤酒	鉗子	沙子	螃蟹	0.495	0.36	0.441	0.334	0.216	0.231	0.194
美味	動物	海	螃蟹	0.465	0.375	0.29	0.297	0.23	0.151	0.116
動物	好吃	秋天	螃蟹	0.404	0.29	0.381	0.298	0.19	0.15	0.225
動物	好吃	沙子	螃蟹	0.402	0.29	0.381	0.334	0.19	0.173	0.24
沙灘	好吃	秋天	螃蟹	0.386	0.332	0.381	0.298	0.193	0.207	0.225
海灘	好吃	秋天	螃蟹	0.385	0.312	0.381	0.298	0.204	0.177	0.225
好吃	海洋	秋天	螃蟹	0.382	0.381	0.356	0.298	0.183	0.225	0.245
動物	海	秋天	螃蟹	0.378	0.29	0.297	0.298	0.116	0.15	0.241
海	好吃	秋天	螃蟹	0.378	0.297	0.381	0.298	0.132	0.241	0.225
動物	海	啤酒	螃蟹	0.378	0.29	0.297	0.36	0.116	0.227	0.227
美味	沙灘	秋天	螃蟹	0.372	0.375	0.332	0.298	0.208	0.218	0.207
海	美食	秋天	螃蟹	0.372	0.297	0.362	0.298	0.157	0.241	0.188
美味	動物	沙子	螃蟹	0.371	0.375	0.29	0.334	0.23	0.225	0.173
美味	動物	秋天	螃蟹	0.365	0.375	0.29	0.298	0.23	0.218	0.15
美味	海	秋天	螃蟹	0.36	0.375	0.297	0.298	0.151	0.218	0.241
沙灘	美食	秋天	螃蟹	0.355	0.332	0.362	0.298	0.243	0.207	0.188
動物	啤酒	沙子	螃蟹	0.354	0.29	0.36	0.334	0.227	0.173	0.231
食物	海	秋天	螃蟹	0.352	0.37	0.297	0.298	0.13	0.243	0.241
沙灘	食物	秋天	螃蟹	0.327	0.332	0.37	0.298	0.223	0.207	0.243
動物	啤酒	秋天	螃蟹	0.324	0.29	0.36	0.298	0.227	0.15	0.247
海	啤酒	秋天	螃蟹	0.241	0.297	0.36	0.298	0.227	0.241	0.247
