				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
勤勞	蟑螂	電影	螞蟻	0.66	0.39	0.441	0.373	0.144	0.219	0.182
勤勞	雄兵	小蟲	螞蟻	0.65	0.39	0.278	0.432	0.092	0.182	0.177
微小	蟑螂	電影	螞蟻	0.61	0.275	0.441	0.373	0.186	0.111	0.182
渺小	電影	蜂蜜	螞蟻	0.609	0.342	0.373	0.323	0.12	0.134	0.176
勤勞	微小	蟑螂	螞蟻	0.596	0.39	0.275	0.441	0.18	0.144	0.186
勤勞	雄兵	老鼠	螞蟻	0.592	0.39	0.278	0.424	0.092	0.238	0.171
勤勞	微小	雄兵	螞蟻	0.59	0.39	0.275	0.278	0.18	0.092	0.082
勤勞	電影	小蟲	螞蟻	0.59	0.39	0.373	0.432	0.219	0.182	0.204
微小	雄兵	電影	螞蟻	0.582	0.275	0.278	0.373	0.082	0.111	0.151
微小	電影	搬家	螞蟻	0.581	0.275	0.373	0.362	0.111	0.132	0.187
微小	電影	小蟲	螞蟻	0.58	0.275	0.373	0.432	0.111	0.184	0.204
勤勞	雄兵	電影	螞蟻	0.579	0.39	0.278	0.373	0.092	0.219	0.151
勤勞	蟑螂	小	螞蟻	0.571	0.39	0.441	0.26	0.144	0.194	0.182
團結	小蟲	蜂蜜	螞蟻	0.561	0.308	0.432	0.323	0.161	0.153	0.188
電影	小蟲	蜂蜜	螞蟻	0.56	0.373	0.432	0.323	0.204	0.176	0.188
雄兵	小蟲	噁心	螞蟻	0.556	0.278	0.432	0.258	0.177	0.053	0.182
團結	小蟲	小	螞蟻	0.553	0.308	0.432	0.26	0.161	0.128	0.159
勤勞	微小	小蟲	螞蟻	0.551	0.39	0.275	0.432	0.18	0.182	0.184
雄兵	電影	小蟲	螞蟻	0.551	0.278	0.373	0.432	0.151	0.177	0.204
勤勞	雄兵	噁心	螞蟻	0.55	0.39	0.278	0.258	0.092	0.232	0.053
勤勞	小蟲	小	螞蟻	0.547	0.39	0.432	0.26	0.182	0.194	0.159
勤勞	渺小	電影	螞蟻	0.545	0.39	0.342	0.373	0.222	0.219	0.12
團結	蟑螂	小	螞蟻	0.544	0.308	0.441	0.26	0.155	0.128	0.182
雄兵	小蟲	勤奮	螞蟻	0.544	0.278	0.432	0.287	0.177	0.081	0.196
微小	雄兵	小蟲	螞蟻	0.543	0.275	0.278	0.432	0.082	0.184	0.177
渺小	電影	搬家	螞蟻	0.542	0.342	0.373	0.362	0.12	0.228	0.187
雄兵	勤奮	老鼠	螞蟻	0.541	0.278	0.287	0.424	0.081	0.171	0.197
勤勞	小蟲	卡通	螞蟻	0.537	0.39	0.432	0.254	0.182	0.146	0.211
團結	雄兵	老鼠	螞蟻	0.533	0.308	0.278	0.424	0.164	0.143	0.171
勤勞	微小	電影	螞蟻	0.528	0.39	0.275	0.373	0.18	0.219	0.111
勤勞	雄兵	搬家	螞蟻	0.525	0.39	0.278	0.362	0.092	0.201	0.212
雄兵	噁心	搬家	螞蟻	0.521	0.278	0.258	0.362	0.053	0.212	0.112
勤勞	電影	搬家	螞蟻	0.518	0.39	0.373	0.362	0.219	0.201	0.187
渺小	雄兵	電影	螞蟻	0.517	0.342	0.278	0.373	0.205	0.12	0.151
團結	雄兵	小蟲	螞蟻	0.516	0.308	0.278	0.432	0.164	0.161	0.177
雄兵	噁心	老鼠	螞蟻	0.516	0.278	0.258	0.424	0.053	0.171	0.22
勤勞	雄兵	小	螞蟻	0.516	0.39	0.278	0.26	0.092	0.194	0.127
勤勞	微小	搬家	螞蟻	0.515	0.39	0.275	0.362	0.18	0.201	0.132
蟑螂	電影	小	螞蟻	0.509	0.441	0.373	0.26	0.182	0.182	0.201
雄兵	小蟲	小	螞蟻	0.508	0.278	0.432	0.26	0.177	0.127	0.159
微小	雄兵	噁心	螞蟻	0.507	0.275	0.278	0.258	0.082	0.169	0.053
微小	電影	蜂蜜	螞蟻	0.506	0.275	0.373	0.323	0.111	0.179	0.176
雄兵	電影	老鼠	螞蟻	0.504	0.278	0.373	0.424	0.151	0.171	0.249
團結	微小	蟑螂	螞蟻	0.504	0.308	0.275	0.441	0.18	0.155	0.186
電影	小蟲	小	螞蟻	0.501	0.373	0.432	0.26	0.204	0.201	0.159
雄兵	小蟲	蜂蜜	螞蟻	0.495	0.278	0.432	0.323	0.177	0.173	0.188
勤勞	渺小	雄兵	螞蟻	0.492	0.39	0.342	0.278	0.222	0.092	0.205
微小	雄兵	老鼠	螞蟻	0.491	0.275	0.278	0.424	0.082	0.234	0.171
團結	微小	小蟲	螞蟻	0.491	0.308	0.275	0.432	0.18	0.161	0.184
微小	雄兵	搬家	螞蟻	0.49	0.275	0.278	0.362	0.082	0.132	0.212
勤勞	小蟲	噁心	螞蟻	0.484	0.39	0.432	0.258	0.182	0.232	0.182
微小	噁心	搬家	螞蟻	0.482	0.275	0.258	0.362	0.169	0.132	0.112
微小	雄兵	勤奮	螞蟻	0.481	0.275	0.278	0.287	0.082	0.197	0.081
勤勞	電影	老鼠	螞蟻	0.481	0.39	0.373	0.424	0.219	0.238	0.249
蟑螂	勤奮	小	螞蟻	0.481	0.441	0.287	0.26	0.169	0.182	0.157
微小	小蟲	蜂蜜	螞蟻	0.48	0.275	0.432	0.323	0.184	0.179	0.188
雄兵	可愛	搬家	螞蟻	0.479	0.278	0.314	0.362	0.119	0.212	0.144
微小	電影	老鼠	螞蟻	0.478	0.275	0.373	0.424	0.111	0.234	0.249
雄兵	電影	蜂蜜	螞蟻	0.474	0.278	0.373	0.323	0.151	0.173	0.176
小蟲	勤奮	小	螞蟻	0.468	0.432	0.287	0.26	0.196	0.159	0.157
小蟲	小	蜂蜜	螞蟻	0.468	0.432	0.26	0.323	0.159	0.188	0.201
