				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
包袱	機場	小弟	行李	0.809	0.419	0.387	0.265	0.067	0.086	0.108
拖運	包袱	小弟	行李	0.781	0.473	0.419	0.265	0.191	0.098	0.086
打包	沈重	機場	行李	0.775	0.487	0.295	0.387	0.205	0.188	0.001
包袱	外出	機場	行李	0.759	0.419	0.286	0.387	0.135	0.067	0.13
旅行	沈重	機場	行李	0.725	0.45	0.295	0.387	0.169	0.237	0.001
旅行	包袱	機場	行李	0.72	0.45	0.419	0.387	0.23	0.237	0.067
沈重	衣服	機場	行李	0.712	0.295	0.432	0.387	0.174	0.001	0.228
沈重	外出	機場	行李	0.682	0.295	0.286	0.387	0.155	0.001	0.13
沈重	包裹	機場	行李	0.672	0.295	0.427	0.387	0.234	0.001	0.203
打包	沈重	車站	行李	0.663	0.487	0.295	0.309	0.205	0.136	0.086
包袱	外出	車站	行李	0.663	0.419	0.286	0.309	0.135	0.106	0.109
包袱	機場	搬家	行李	0.659	0.419	0.387	0.391	0.067	0.228	0.243
旅行	包袱	小弟	行李	0.656	0.45	0.419	0.265	0.23	0.16	0.086
出國	沈重	包裹	行李	0.651	0.327	0.295	0.427	0.063	0.101	0.234
拖運	旅遊	小弟	行李	0.649	0.473	0.324	0.265	0.221	0.098	0.094
旅行	笨重	機場	行李	0.648	0.45	0.344	0.387	0.24	0.237	0.055
包袱	車站	小弟	行李	0.646	0.419	0.309	0.265	0.106	0.086	0.154
沈重	機場	小弟	行李	0.644	0.295	0.387	0.265	0.001	0.194	0.108
出國	包袱	車站	行李	0.642	0.327	0.419	0.309	0.086	0.22	0.106
包袱	火車	小弟	行李	0.641	0.419	0.293	0.265	0.136	0.086	0.113
出國	包袱	小弟	行李	0.639	0.327	0.419	0.265	0.086	0.199	0.086
包袱	旅遊	小弟	行李	0.634	0.419	0.324	0.265	0.194	0.086	0.094
重量	回家	機場	行李	0.632	0.421	0.326	0.387	0.149	0.17	0.183
笨重	機場	小弟	行李	0.626	0.344	0.387	0.265	0.055	0.206	0.108
打包	機場	小弟	行李	0.624	0.487	0.387	0.265	0.188	0.218	0.108
出國	沈重	衣服	行李	0.622	0.327	0.295	0.432	0.063	0.196	0.174
笨重	回家	機場	行李	0.615	0.344	0.326	0.387	0.204	0.055	0.183
旅行	包袱	車站	行李	0.614	0.45	0.419	0.309	0.23	0.226	0.106
沈重	回家	機場	行李	0.611	0.295	0.326	0.387	0.214	0.001	0.183
拖運	包袱	旅遊	行李	0.61	0.473	0.419	0.324	0.191	0.221	0.194
包裹	旅遊	小弟	行李	0.608	0.427	0.324	0.265	0.113	0.201	0.094
沈重	包裹	旅遊	行李	0.606	0.295	0.427	0.324	0.234	0.093	0.113
旅行	包裹	機場	行李	0.603	0.45	0.427	0.387	0.22	0.237	0.203
沈重	衣服	車站	行李	0.603	0.295	0.432	0.309	0.174	0.086	0.173
出國	重量	車站	行李	0.602	0.327	0.421	0.309	0.065	0.22	0.17
拖運	衣服	小弟	行李	0.597	0.473	0.432	0.265	0.246	0.098	0.229
旅行	機場	小弟	行李	0.596	0.45	0.387	0.265	0.237	0.16	0.108
沈重	拖運	衣服	行李	0.595	0.295	0.473	0.432	0.186	0.174	0.246
打包	沈重	火車	行李	0.594	0.487	0.295	0.293	0.205	0.172	0.104
外出	重量	機場	行李	0.593	0.286	0.421	0.387	0.2	0.13	0.17
沈重	拖運	旅遊	行李	0.593	0.295	0.473	0.324	0.186	0.093	0.221
笨重	出遊	車站	行李	0.582	0.344	0.349	0.309	0.155	0.067	0.198
重量	機場	小弟	行李	0.582	0.421	0.387	0.265	0.17	0.213	0.108
沈重	機場	搬家	行李	0.581	0.295	0.387	0.391	0.001	0.249	0.243
重量	搬家	火車	行李	0.58	0.421	0.391	0.293	0.243	0.111	0.171
重量	出遊	車站	行李	0.573	0.421	0.349	0.309	0.138	0.17	0.198
旅行	沈重	車站	行李	0.572	0.45	0.295	0.309	0.169	0.226	0.086
旅行	笨重	車站	行李	0.57	0.45	0.344	0.309	0.24	0.226	0.067
包袱	出遊	小弟	行李	0.569	0.419	0.349	0.265	0.217	0.086	0.159
包袱	搬家	火車	行李	0.568	0.419	0.391	0.293	0.228	0.136	0.171
包裹	機場	小弟	行李	0.567	0.427	0.387	0.265	0.203	0.201	0.108
包袱	外出	火車	行李	0.565	0.419	0.286	0.293	0.135	0.136	0.162
沈重	包裹	火車	行李	0.562	0.295	0.427	0.293	0.234	0.104	0.115
出國	沈重	車站	行李	0.562	0.327	0.295	0.309	0.063	0.22	0.086
旅行	包裹	小弟	行李	0.56	0.45	0.427	0.265	0.22	0.16	0.201
沈重	包裹	出遊	行李	0.559	0.295	0.427	0.349	0.234	0.119	0.159
包袱	搬家	車站	行李	0.556	0.419	0.391	0.309	0.228	0.106	0.229
包袱	出遊	車站	行李	0.555	0.419	0.349	0.309	0.217	0.106	0.198
包裹	火車	小弟	行李	0.555	0.427	0.293	0.265	0.115	0.201	0.113
沈重	拖運	小弟	行李	0.555	0.295	0.473	0.265	0.186	0.194	0.098
出國	包裹	車站	行李	0.555	0.327	0.427	0.309	0.101	0.22	0.188
遠行	包袱	小弟	行李	0.553	0.278	0.419	0.265	0.187	0.135	0.086
打包	車站	小弟	行李	0.553	0.487	0.309	0.265	0.136	0.218	0.154
旅行	包裹	車站	行李	0.552	0.45	0.427	0.309	0.22	0.226	0.188
包裹	外出	機場	行李	0.551	0.427	0.286	0.387	0.216	0.203	0.13
沈重	出遊	車站	行李	0.55	0.295	0.349	0.309	0.119	0.086	0.198
旅行	沈重	包裹	行李	0.549	0.45	0.295	0.427	0.169	0.22	0.234
旅遊	重量	小弟	行李	0.548	0.324	0.421	0.265	0.155	0.094	0.213
沈重	衣服	火車	行李	0.548	0.295	0.432	0.293	0.174	0.104	0.195
沈重	包裹	出門	行李	0.547	0.295	0.427	0.317	0.234	0.083	0.175
旅遊	重量	回家	行李	0.544	0.324	0.421	0.326	0.155	0.223	0.149
重量	機場	搬家	行李	0.543	0.421	0.387	0.391	0.17	0.243	0.243
笨重	旅遊	小弟	行李	0.543	0.344	0.324	0.265	0.089	0.206	0.094
出國	笨重	車站	行李	0.542	0.327	0.344	0.309	0.151	0.22	0.067
重量	火車	小弟	行李	0.541	0.421	0.293	0.265	0.111	0.213	0.113
打包	火車	小弟	行李	0.541	0.487	0.293	0.265	0.172	0.218	0.113
包裹	出遊	車站	行李	0.541	0.427	0.349	0.309	0.159	0.188	0.198
沈重	外出	車站	行李	0.539	0.295	0.286	0.309	0.155	0.086	0.109
外出	重量	車站	行李	0.536	0.286	0.421	0.309	0.2	0.109	0.17
出國	重量	小弟	行李	0.536	0.327	0.421	0.265	0.065	0.199	0.213
重量	回家	車站	行李	0.528	0.421	0.326	0.309	0.149	0.17	0.209
外出	重量	火車	行李	0.527	0.286	0.421	0.293	0.2	0.162	0.111
重量	出遊	小弟	行李	0.524	0.421	0.349	0.265	0.138	0.213	0.159
沈重	包裹	車站	行李	0.523	0.295	0.427	0.309	0.234	0.086	0.188
包裹	出遊	小弟	行李	0.521	0.427	0.349	0.265	0.159	0.201	0.159
衣服	機場	小弟	行李	0.519	0.432	0.387	0.265	0.228	0.229	0.108
出國	包裹	小弟	行李	0.519	0.327	0.427	0.265	0.101	0.199	0.201
包袱	外出	小弟	行李	0.517	0.419	0.286	0.265	0.135	0.086	0.231
包裹	外出	火車	行李	0.513	0.427	0.286	0.293	0.216	0.115	0.162
包袱	出門	小弟	行李	0.511	0.419	0.317	0.265	0.16	0.086	0.243
包裹	外出	車站	行李	0.509	0.427	0.286	0.309	0.216	0.188	0.109
沈重	旅遊	小弟	行李	0.503	0.295	0.324	0.265	0.093	0.194	0.094
笨重	回家	車站	行李	0.5	0.344	0.326	0.309	0.204	0.067	0.209
笨重	車站	小弟	行李	0.491	0.344	0.309	0.265	0.067	0.206	0.154
旅行	沈重	小弟	行李	0.487	0.45	0.295	0.265	0.169	0.16	0.194
旅行	車站	小弟	行李	0.483	0.45	0.309	0.265	0.226	0.16	0.154
重量	搬家	車站	行李	0.48	0.421	0.391	0.309	0.243	0.17	0.229
出國	衣服	車站	行李	0.48	0.327	0.432	0.309	0.196	0.22	0.173
笨重	旅遊	回家	行李	0.478	0.344	0.324	0.326	0.089	0.204	0.223
遠行	包裹	小弟	行李	0.47	0.278	0.427	0.265	0.164	0.135	0.201
外出	機場	小弟	行李	0.468	0.286	0.387	0.265	0.13	0.231	0.108
包裹	車站	小弟	行李	0.459	0.427	0.309	0.265	0.188	0.201	0.154
重量	車站	小弟	行李	0.458	0.421	0.309	0.265	0.17	0.213	0.154
沈重	搬家	火車	行李	0.455	0.295	0.391	0.293	0.249	0.104	0.171
衣服	火車	小弟	行李	0.453	0.432	0.293	0.265	0.195	0.229	0.113
沈重	外出	火車	行李	0.452	0.295	0.286	0.293	0.155	0.104	0.162
旅行	笨重	小弟	行李	0.452	0.45	0.344	0.265	0.24	0.16	0.206
衣服	車站	小弟	行李	0.451	0.432	0.309	0.265	0.173	0.229	0.154
遠行	重量	小弟	行李	0.445	0.278	0.421	0.265	0.17	0.135	0.213
遠行	沈重	衣服	行李	0.445	0.278	0.295	0.432	0.175	0.211	0.174
沈重	火車	小弟	行李	0.442	0.295	0.293	0.265	0.104	0.194	0.113
笨重	出遊	小弟	行李	0.437	0.344	0.349	0.265	0.155	0.206	0.159
沈重	出遊	小弟	行李	0.437	0.295	0.349	0.265	0.119	0.194	0.159
沈重	車站	小弟	行李	0.435	0.295	0.309	0.265	0.086	0.194	0.154
出國	沈重	小弟	行李	0.431	0.327	0.295	0.265	0.063	0.199	0.194
沈重	搬家	車站	行李	0.431	0.295	0.391	0.309	0.249	0.086	0.229
重量	出門	小弟	行李	0.431	0.421	0.317	0.265	0.116	0.213	0.243
打包	沈重	小弟	行李	0.43	0.487	0.295	0.265	0.205	0.218	0.194
遠行	沈重	包裹	行李	0.427	0.278	0.295	0.427	0.175	0.164	0.234
沈重	回家	車站	行李	0.422	0.295	0.326	0.309	0.214	0.086	0.209
笨重	火車	小弟	行李	0.417	0.344	0.293	0.265	0.164	0.206	0.113
沈重	旅遊	回家	行李	0.415	0.295	0.324	0.326	0.093	0.214	0.223
出遊	車站	小弟	行李	0.412	0.349	0.309	0.265	0.198	0.159	0.154
沈重	包裹	外出	行李	0.403	0.295	0.427	0.286	0.234	0.155	0.216
出國	衣服	小弟	行李	0.401	0.327	0.432	0.265	0.196	0.199	0.229
遠行	衣服	小弟	行李	0.4	0.278	0.432	0.265	0.211	0.135	0.229
沈重	衣服	小弟	行李	0.396	0.295	0.432	0.265	0.174	0.194	0.229
