				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
行人	冷清	棋盤	街道	0.559	0.35	0.292	0.313	0.22	0.076	0.1
人群	冷清	棋盤	街道	0.558	0.352	0.292	0.313	0.203	0.097	0.1
垃圾	棋盤	巷弄	街道	0.555	0.315	0.313	0.454	0.108	0.209	0.21
人群	棋盤	巷口	街道	0.554	0.352	0.313	0.364	0.097	0.235	0.142
人群	街燈	棋盤	街道	0.537	0.352	0.345	0.313	0.156	0.097	0.22
冷清	棋盤	巷口	街道	0.531	0.292	0.313	0.364	0.1	0.196	0.142
商店	行道樹	棋盤	街道	0.529	0.394	0.366	0.313	0.151	0.18	0.213
冷清	車輛	巷口	街道	0.527	0.292	0.362	0.364	0.076	0.196	0.219
冷清	格子	車輛	街道	0.526	0.292	0.279	0.362	0.153	0.076	0.179
人群	整潔	棋盤	街道	0.525	0.352	0.315	0.313	0.112	0.097	0.245
冷清	棋盤	巷弄	街道	0.518	0.292	0.313	0.454	0.1	0.233	0.21
冷清	房屋	棋盤	街道	0.517	0.292	0.366	0.313	0.192	0.1	0.162
房屋	棋盤	巷口	街道	0.515	0.366	0.313	0.364	0.162	0.224	0.142
冷清	垃圾	棋盤	街道	0.515	0.292	0.315	0.313	0.198	0.1	0.108
垃圾	棋盤	巷口	街道	0.512	0.315	0.313	0.364	0.108	0.229	0.142
人群	整潔	巷口	街道	0.494	0.352	0.315	0.364	0.112	0.235	0.189
冷清	汽車	巷弄	街道	0.492	0.292	0.254	0.454	0.074	0.233	0.202
人群	行道樹	棋盤	街道	0.487	0.352	0.366	0.313	0.234	0.097	0.213
人群	髒亂	棋盤	街道	0.484	0.352	0.317	0.313	0.173	0.097	0.228
行人	整潔	棋盤	街道	0.48	0.35	0.315	0.313	0.176	0.076	0.245
人群	格子	街燈	街道	0.478	0.352	0.279	0.345	0.167	0.156	0.174
冷清	行道樹	棋盤	街道	0.477	0.292	0.366	0.313	0.182	0.1	0.213
房屋	棋盤	路人	街道	0.472	0.366	0.313	0.307	0.162	0.22	0.132
整潔	人潮	棋盤	街道	0.467	0.315	0.339	0.313	0.141	0.245	0.113
冷清	垃圾	車輛	街道	0.466	0.292	0.315	0.362	0.198	0.076	0.229
行人	髒亂	棋盤	街道	0.463	0.35	0.317	0.313	0.213	0.076	0.228
商店	街燈	棋盤	街道	0.454	0.394	0.345	0.313	0.198	0.18	0.22
冷清	汽車	格子	街道	0.452	0.292	0.254	0.279	0.074	0.153	0.146
格子	行道樹	熱鬧	街道	0.451	0.279	0.366	0.273	0.153	0.093	0.222
冷清	格子	行道樹	街道	0.451	0.292	0.279	0.366	0.153	0.182	0.153
冷清	棋盤	路人	街道	0.447	0.292	0.313	0.307	0.1	0.234	0.132
垃圾	街燈	棋盤	街道	0.445	0.315	0.345	0.313	0.2	0.108	0.22
整潔	棋盤	路人	街道	0.443	0.315	0.313	0.307	0.245	0.115	0.132
人群	格子	行道樹	街道	0.443	0.352	0.279	0.366	0.167	0.234	0.153
房屋	熱鬧	巷口	街道	0.442	0.366	0.273	0.364	0.151	0.224	0.185
馬路	冷清	格子	街道	0.44	0.431	0.292	0.279	0.191	0.22	0.153
格子	熱鬧	巷口	街道	0.438	0.279	0.273	0.364	0.093	0.199	0.185
人群	整潔	格子	街道	0.434	0.352	0.315	0.279	0.112	0.167	0.232
人群	髒亂	格子	街道	0.432	0.352	0.317	0.279	0.173	0.167	0.176
整潔	汽車	人潮	街道	0.426	0.315	0.254	0.339	0.221	0.141	0.12
逛街	房屋	棋盤	街道	0.424	0.285	0.366	0.313	0.209	0.169	0.162
人群	冷清	汽車	街道	0.422	0.352	0.292	0.254	0.203	0.199	0.074
冷清	垃圾	巷弄	街道	0.422	0.292	0.315	0.454	0.198	0.233	0.209
垃圾	汽車	巷弄	街道	0.42	0.315	0.254	0.454	0.192	0.209	0.202
冷清	汽車	巷口	街道	0.418	0.292	0.254	0.364	0.074	0.196	0.221
冷清	街燈	棋盤	街道	0.417	0.292	0.345	0.313	0.213	0.1	0.22
人群	冷清	街燈	街道	0.417	0.352	0.292	0.345	0.203	0.156	0.213
房屋	街燈	棋盤	街道	0.415	0.366	0.345	0.313	0.227	0.162	0.22
整潔	棋盤	巷口	街道	0.415	0.315	0.313	0.364	0.245	0.189	0.142
路燈	人群	格子	街道	0.413	0.349	0.352	0.279	0.209	0.191	0.167
垃圾	巷弄	熱鬧	街道	0.411	0.315	0.454	0.273	0.209	0.175	0.247
車子	冷清	垃圾	街道	0.411	0.275	0.292	0.315	0.109	0.165	0.198
冷清	房屋	巷口	街道	0.41	0.292	0.366	0.364	0.192	0.196	0.224
車子	冷清	格子	街道	0.409	0.275	0.292	0.279	0.109	0.176	0.153
格子	車輛	巷口	街道	0.407	0.279	0.362	0.364	0.179	0.199	0.219
房屋	路人	熱鬧	街道	0.407	0.366	0.307	0.273	0.22	0.151	0.168
行人	格子	熱鬧	街道	0.406	0.35	0.279	0.273	0.224	0.18	0.093
整潔	房屋	路人	街道	0.406	0.315	0.366	0.307	0.247	0.115	0.22
人群	冷清	格子	街道	0.401	0.352	0.292	0.279	0.203	0.167	0.153
格子	熱鬧	車輛	街道	0.398	0.279	0.273	0.362	0.093	0.179	0.244
整潔	棋盤	巷弄	街道	0.398	0.315	0.313	0.454	0.245	0.229	0.21
髒亂	人潮	棋盤	街道	0.398	0.317	0.339	0.313	0.23	0.228	0.113
冷清	垃圾	汽車	街道	0.397	0.292	0.315	0.254	0.198	0.074	0.192
髒亂	棋盤	路人	街道	0.393	0.317	0.313	0.307	0.228	0.184	0.132
人群	格子	巷口	街道	0.392	0.352	0.279	0.364	0.167	0.235	0.199
人群	冷清	行道樹	街道	0.392	0.352	0.292	0.366	0.203	0.234	0.182
人群	車子	冷清	街道	0.389	0.352	0.275	0.292	0.22	0.203	0.109
人群	整潔	汽車	街道	0.388	0.352	0.315	0.254	0.112	0.199	0.221
冷清	格子	巷口	街道	0.387	0.292	0.279	0.364	0.153	0.196	0.199
整潔	房屋	巷口	街道	0.384	0.315	0.366	0.364	0.247	0.189	0.224
擁擠	棋盤	巷口	街道	0.382	0.265	0.313	0.364	0.236	0.182	0.142
格子	路人	熱鬧	街道	0.379	0.279	0.307	0.273	0.22	0.093	0.168
逛街	行道樹	棋盤	街道	0.378	0.285	0.366	0.313	0.204	0.169	0.213
冷清	格子	街燈	街道	0.377	0.292	0.279	0.345	0.153	0.213	0.174
