				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
藝人	行人	霸王	街頭	0.773	0.497	0.354	0.387	0.193	0.165	0.107
藝人	擁擠	霸王	街頭	0.768	0.497	0.365	0.387	0.227	0.165	0.089
遊行	髒亂	霸王	街頭	0.767	0.448	0.391	0.387	0.197	0.114	0.147
藝人	霸王	喧鬧	街頭	0.765	0.497	0.387	0.398	0.165	0.229	0.122
暴動	行人	霸王	街頭	0.764	0.357	0.354	0.387	0.116	0.111	0.107
藝人	霸王	紅綠燈	街頭	0.757	0.497	0.387	0.386	0.165	0.219	0.128
藝人	露宿	紅綠燈	街頭	0.757	0.497	0.404	0.386	0.168	0.219	0.143
遊民	霸王	喧鬧	街頭	0.749	0.385	0.387	0.398	0.194	0.104	0.122
遊民	熱鬧	霸王	街頭	0.748	0.385	0.379	0.387	0.097	0.194	0.111
舞蹈	擁擠	霸王	街頭	0.747	0.296	0.365	0.387	0.068	0.144	0.089
藝人	街燈	暴力	街頭	0.742	0.497	0.349	0.35	0.226	0.16	0.068
藝人	暴動	霸王	街頭	0.737	0.497	0.357	0.387	0.228	0.165	0.111
藝人	街燈	霸王	街頭	0.735	0.497	0.349	0.387	0.226	0.165	0.106
藝人	髒亂	霸王	街頭	0.729	0.497	0.391	0.387	0.233	0.165	0.147
熱鬧	行人	霸王	街頭	0.723	0.379	0.354	0.387	0.18	0.111	0.107
遊民	霸王	紅綠燈	街頭	0.714	0.385	0.387	0.386	0.194	0.121	0.128
遊行	街燈	霸王	街頭	0.714	0.448	0.349	0.387	0.25	0.114	0.106
抗議	行人	霸王	街頭	0.71	0.406	0.354	0.387	0.133	0.197	0.107
暴動	街燈	霸王	街頭	0.709	0.357	0.349	0.387	0.167	0.111	0.106
藝人	露宿	喧鬧	街頭	0.704	0.497	0.404	0.398	0.168	0.229	0.197
舞蹈	擁擠	浪人	街頭	0.702	0.296	0.365	0.353	0.068	0.219	0.026
藝人	暴力	紅綠燈	街頭	0.686	0.497	0.35	0.386	0.16	0.219	0.168
遊民	擁擠	霸王	街頭	0.684	0.385	0.365	0.387	0.17	0.194	0.089
人群	街燈	霸王	街頭	0.682	0.332	0.349	0.387	0.156	0.123	0.106
露宿	浪人	紅綠燈	街頭	0.682	0.404	0.353	0.386	0.24	0.143	0.078
遊行	遊民	霸王	街頭	0.677	0.448	0.385	0.387	0.235	0.114	0.194
藝人	霸王	逛街	街頭	0.676	0.497	0.387	0.351	0.165	0.209	0.185
行人	霸王	喧鬧	街頭	0.675	0.354	0.387	0.398	0.107	0.235	0.122
表演	擁擠	浪人	街頭	0.675	0.321	0.365	0.353	0.178	0.161	0.026
藝人	暴動	行人	街頭	0.672	0.497	0.357	0.354	0.228	0.193	0.116
藝人	露宿	街燈	街頭	0.669	0.497	0.404	0.349	0.168	0.226	0.186
暴動	霸王	紅綠燈	街頭	0.669	0.357	0.387	0.386	0.111	0.221	0.128
藝人	行人	暴力	街頭	0.668	0.497	0.354	0.35	0.193	0.16	0.18
人群	髒亂	霸王	街頭	0.666	0.332	0.391	0.387	0.173	0.123	0.147
遊行	髒亂	浪人	街頭	0.666	0.448	0.391	0.353	0.197	0.147	0.182
抗議	遊民	行人	街頭	0.665	0.406	0.385	0.354	0.16	0.133	0.187
髒亂	行人	霸王	街頭	0.665	0.391	0.354	0.387	0.213	0.147	0.107
遊民	拜票	紅綠燈	街頭	0.664	0.385	0.314	0.386	0.123	0.121	0.176
遊行	街燈	浪人	街頭	0.662	0.448	0.349	0.353	0.25	0.147	0.092
遊民	熱鬧	行人	街頭	0.654	0.385	0.379	0.354	0.097	0.187	0.18
人群	霸王	紅綠燈	街頭	0.653	0.332	0.387	0.386	0.123	0.2	0.128
藝人	行人	露宿	街頭	0.653	0.497	0.354	0.404	0.193	0.168	0.241
抗議	混混	行人	街頭	0.65	0.406	0.432	0.354	0.183	0.133	0.226
擁擠	拜票	浪人	街頭	0.649	0.365	0.314	0.353	0.196	0.026	0.16
髒亂	暴動	霸王	街頭	0.649	0.391	0.357	0.387	0.227	0.147	0.111
人潮	藝人	霸王	街頭	0.649	0.281	0.497	0.387	0.217	0.134	0.165
抗議	街燈	浪人	街頭	0.649	0.406	0.349	0.353	0.192	0.175	0.092
抗議	街燈	霸王	街頭	0.645	0.406	0.349	0.387	0.192	0.197	0.106
舞蹈	行人	霸王	街頭	0.643	0.296	0.354	0.387	0.143	0.144	0.107
表演	街燈	霸王	街頭	0.64	0.321	0.349	0.387	0.144	0.167	0.106
遊民	招牌	喧鬧	街頭	0.639	0.385	0.316	0.398	0.165	0.104	0.19
表演	擁擠	霸王	街頭	0.639	0.321	0.365	0.387	0.178	0.167	0.089
抗議	混混	街燈	街頭	0.639	0.406	0.432	0.349	0.183	0.192	0.173
拜票	浪人	紅綠燈	街頭	0.638	0.314	0.353	0.386	0.16	0.176	0.078
遊民	行人	霸王	街頭	0.638	0.385	0.354	0.387	0.187	0.194	0.107
流浪	抗議	街燈	街頭	0.637	0.426	0.406	0.349	0.22	0.132	0.192
髒亂	舞蹈	霸王	街頭	0.635	0.391	0.296	0.387	0.148	0.147	0.144
舞蹈	街燈	霸王	街頭	0.634	0.296	0.349	0.387	0.147	0.144	0.106
抗議	行人	浪人	街頭	0.633	0.406	0.354	0.353	0.133	0.175	0.173
舞蹈	霸王	喧鬧	街頭	0.632	0.296	0.387	0.398	0.144	0.182	0.122
舞蹈	熱鬧	霸王	街頭	0.632	0.296	0.379	0.387	0.175	0.144	0.111
藝人	暴動	露宿	街頭	0.63	0.497	0.357	0.404	0.228	0.168	0.232
藝人	商店	露宿	街頭	0.628	0.497	0.305	0.404	0.204	0.168	0.205
表演	街燈	浪人	街頭	0.627	0.321	0.349	0.353	0.144	0.161	0.092
暴動	乞丐	招牌	街頭	0.626	0.357	0.449	0.316	0.144	0.116	0.236
抗議	遊民	霸王	街頭	0.625	0.406	0.385	0.387	0.16	0.197	0.194
舞蹈	露宿	紅綠燈	街頭	0.623	0.296	0.404	0.386	0.132	0.187	0.143
熱鬧	行人	浪人	街頭	0.621	0.379	0.354	0.353	0.18	0.113	0.173
舞蹈	遊民	擁擠	街頭	0.618	0.296	0.385	0.365	0.19	0.068	0.17
藝人	商店	霸王	街頭	0.618	0.497	0.305	0.387	0.204	0.165	0.202
遊民	熱鬧	招牌	街頭	0.616	0.385	0.379	0.316	0.097	0.165	0.201
暴動	霸王	拜票	街頭	0.616	0.357	0.387	0.314	0.111	0.156	0.174
暴動	乞丐	街燈	街頭	0.615	0.357	0.449	0.349	0.144	0.167	0.229
遊民	行人	喧鬧	街頭	0.611	0.385	0.354	0.398	0.187	0.104	0.235
抗議	乞丐	街燈	街頭	0.611	0.406	0.449	0.349	0.171	0.192	0.229
遊民	擁擠	招牌	街頭	0.609	0.385	0.365	0.316	0.17	0.165	0.122
舞蹈	霸王	紅綠燈	街頭	0.609	0.296	0.387	0.386	0.144	0.187	0.128
混混	露宿	紅綠燈	街頭	0.608	0.432	0.404	0.386	0.238	0.233	0.143
霸王	拜票	紅綠燈	街頭	0.608	0.387	0.314	0.386	0.174	0.128	0.176
抗議	遊民	逛街	街頭	0.607	0.406	0.385	0.351	0.16	0.211	0.163
表演	遊民	紅綠燈	街頭	0.607	0.321	0.385	0.386	0.135	0.229	0.121
擁擠	霸王	拜票	街頭	0.606	0.365	0.387	0.314	0.089	0.196	0.174
遊民	跳舞	紅綠燈	街頭	0.606	0.385	0.305	0.386	0.124	0.121	0.224
藝人	髒亂	行人	街頭	0.603	0.497	0.391	0.354	0.233	0.193	0.213
流浪	暴動	街燈	街頭	0.603	0.426	0.357	0.349	0.231	0.132	0.167
藝人	暴力	逛街	街頭	0.602	0.497	0.35	0.351	0.16	0.209	0.227
