				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
帽子	女人	質料	衣服	0.777	0.48	0.434	0.35	0.211	0.117	0.158
品牌	漂亮	禦寒	衣服	0.706	0.332	0.372	0.443	0.156	0.167	0.117
乾淨	帽子	女人	衣服	0.679	0.263	0.48	0.434	0.145	0.142	0.211
乾淨	禦寒	名牌	衣服	0.676	0.263	0.443	0.446	0.152	0.115	0.209
乾淨	女人	禦寒	衣服	0.649	0.263	0.434	0.443	0.142	0.152	0.198
帽子	質料	花錢	衣服	0.648	0.48	0.35	0.291	0.117	0.151	0.205
保暖	女人	質料	衣服	0.646	0.445	0.434	0.35	0.193	0.232	0.158
搭配	帽子	質料	衣服	0.635	0.298	0.48	0.35	0.23	0.146	0.117
保暖	乾淨	女人	衣服	0.632	0.445	0.263	0.434	0.175	0.193	0.142
保暖	乾淨	名牌	衣服	0.63	0.445	0.263	0.446	0.175	0.234	0.115
乾淨	帽子	質料	衣服	0.624	0.263	0.48	0.35	0.145	0.207	0.117
搭配	女人	質料	衣服	0.619	0.298	0.434	0.35	0.159	0.146	0.158
乾淨	品牌	禦寒	衣服	0.611	0.263	0.332	0.443	0.108	0.152	0.167
搭配	帽子	女人	衣服	0.611	0.298	0.48	0.434	0.23	0.159	0.211
流行	帽子	質料	衣服	0.594	0.261	0.48	0.35	0.241	0.138	0.117
流行	女人	禦寒	衣服	0.589	0.261	0.434	0.443	0.197	0.155	0.198
品牌	漂亮	質料	衣服	0.586	0.332	0.372	0.35	0.156	0.188	0.123
品牌	好看	禦寒	衣服	0.578	0.332	0.404	0.443	0.225	0.167	0.209
帽子	質料	品味	衣服	0.577	0.48	0.35	0.326	0.117	0.242	0.22
搭配	乾淨	名牌	衣服	0.559	0.298	0.263	0.446	0.154	0.179	0.115
流行	女人	質料	衣服	0.552	0.261	0.434	0.35	0.197	0.138	0.158
乾淨	帽子	品味	衣服	0.541	0.263	0.48	0.326	0.145	0.141	0.242
外表	帽子	花錢	衣服	0.541	0.281	0.48	0.291	0.204	0.156	0.151
乾淨	女人	質料	衣服	0.54	0.263	0.434	0.35	0.142	0.207	0.158
搭配	乾淨	女人	衣服	0.54	0.298	0.263	0.434	0.154	0.159	0.142
流行	乾淨	禦寒	衣服	0.533	0.261	0.263	0.443	0.127	0.155	0.152
保暖	質料	名牌	衣服	0.53	0.445	0.35	0.446	0.232	0.234	0.245
流行	帽子	女人	衣服	0.525	0.261	0.48	0.434	0.241	0.197	0.211
搭配	質料	名牌	衣服	0.524	0.298	0.35	0.446	0.146	0.179	0.245
裝飾	帽子	女人	衣服	0.523	0.267	0.48	0.434	0.232	0.215	0.211
搭配	乾淨	帽子	衣服	0.512	0.298	0.263	0.48	0.154	0.23	0.145
帽子	花錢	品味	衣服	0.505	0.48	0.291	0.326	0.151	0.242	0.199
外表	品牌	禦寒	衣服	0.5	0.281	0.332	0.443	0.177	0.212	0.167
乾淨	禦寒	品味	衣服	0.495	0.263	0.443	0.326	0.152	0.141	0.245
搭配	帽子	花錢	衣服	0.493	0.298	0.48	0.291	0.23	0.195	0.151
流行	乾淨	女人	衣服	0.492	0.261	0.263	0.434	0.127	0.197	0.142
乾淨	質料	名牌	衣服	0.492	0.263	0.35	0.446	0.207	0.115	0.245
流行	乾淨	帽子	衣服	0.49	0.261	0.263	0.48	0.127	0.241	0.145
品牌	好看	質料	衣服	0.483	0.332	0.404	0.35	0.225	0.188	0.189
流行	帽子	花錢	衣服	0.449	0.261	0.48	0.291	0.241	0.191	0.151
保暖	乾淨	質料	衣服	0.443	0.445	0.263	0.35	0.175	0.232	0.207
外表	乾淨	帽子	衣服	0.443	0.281	0.263	0.48	0.232	0.204	0.145
乾淨	品牌	質料	衣服	0.442	0.263	0.332	0.35	0.108	0.207	0.188
保暖	質料	花錢	衣服	0.44	0.445	0.35	0.291	0.232	0.209	0.205
流行	外表	禦寒	衣服	0.422	0.261	0.281	0.443	0.196	0.155	0.212
品牌	質料	花錢	衣服	0.405	0.332	0.35	0.291	0.188	0.175	0.205
搭配	乾淨	質料	衣服	0.404	0.298	0.263	0.35	0.154	0.146	0.207
流行	乾淨	質料	衣服	0.402	0.261	0.263	0.35	0.127	0.138	0.207
搭配	外表	帽子	衣服	0.4	0.298	0.281	0.48	0.224	0.23	0.204
外表	品牌	花錢	衣服	0.396	0.281	0.332	0.291	0.177	0.156	0.175
搭配	質料	花錢	衣服	0.393	0.298	0.35	0.291	0.146	0.195	0.205
外表	乾淨	禦寒	衣服	0.392	0.281	0.263	0.443	0.232	0.212	0.152
流行	外表	帽子	衣服	0.38	0.261	0.281	0.48	0.196	0.241	0.204
乾淨	質料	品味	衣服	0.371	0.263	0.35	0.326	0.207	0.141	0.22
流行	質料	花錢	衣服	0.368	0.261	0.35	0.291	0.138	0.191	0.205
外表	乾淨	品牌	衣服	0.359	0.281	0.263	0.332	0.232	0.177	0.108
質料	花錢	品味	衣服	0.342	0.35	0.291	0.326	0.205	0.22	0.199
搭配	外表	花錢	衣服	0.295	0.298	0.281	0.291	0.224	0.195	0.156
流行	外表	花錢	衣服	0.29	0.261	0.281	0.291	0.196	0.191	0.156
流行	外表	乾淨	衣服	0.25	0.261	0.281	0.263	0.196	0.127	0.232
搭配	外表	乾淨	衣服	0.232	0.298	0.281	0.263	0.224	0.154	0.232
