				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
成績	南陽街	英文	補習	0.78	0.426	0.431	0.336	0.134	0.18	0.099
南陽街	英文	學費	補習	0.762	0.431	0.336	0.461	0.099	0.224	0.143
考試	南陽街	英文	補習	0.739	0.48	0.431	0.336	0.216	0.193	0.099
重考	英文	金錢	補習	0.737	0.405	0.336	0.313	0.189	0.098	0.03
用功	南陽街	學費	補習	0.715	0.323	0.431	0.461	0.062	0.214	0.224
南陽街	英文	金錢	補習	0.708	0.431	0.336	0.313	0.099	0.243	0.03
用功	南陽街	英文	補習	0.705	0.323	0.431	0.336	0.062	0.224	0.099
南陽街	英文	教育	補習	0.695	0.431	0.336	0.402	0.099	0.179	0.196
壓力	南陽街	英文	補習	0.686	0.321	0.431	0.336	0.172	0.131	0.099
聯考	南陽街	英文	補習	0.679	0.384	0.431	0.336	0.203	0.169	0.099
南陽街	花錢	英文	補習	0.677	0.431	0.35	0.336	0.193	0.099	0.148
南陽街	英文	進修	補習	0.674	0.431	0.336	0.437	0.099	0.248	0.184
聯考	用功	南陽街	補習	0.67	0.384	0.323	0.431	0.203	0.203	0.062
南陽街	英文	填鴨	補習	0.669	0.431	0.336	0.367	0.099	0.209	0.157
成績	南陽街	填鴨	補習	0.653	0.426	0.431	0.367	0.134	0.228	0.209
壓力	南陽街	教育	補習	0.645	0.321	0.431	0.402	0.172	0.157	0.179
重考	賺錢	英文	補習	0.644	0.405	0.403	0.336	0.18	0.189	0.131
聯考	英文	金錢	補習	0.643	0.384	0.336	0.313	0.169	0.191	0.03
用功	南陽街	金錢	補習	0.638	0.323	0.431	0.313	0.062	0.124	0.243
用功	南陽街	惡夢	補習	0.638	0.323	0.431	0.325	0.062	0.164	0.215
壓力	用功	南陽街	補習	0.635	0.321	0.323	0.431	0.205	0.172	0.062
南陽街	英文	惡夢	補習	0.631	0.431	0.336	0.325	0.099	0.215	0.148
學生	英文	惡夢	補習	0.621	0.436	0.336	0.325	0.157	0.171	0.148
用功	南陽街	填鴨	補習	0.617	0.323	0.431	0.367	0.062	0.233	0.209
英文	填鴨	公車	補習	0.612	0.336	0.367	0.337	0.157	0.138	0.133
英文	填鴨	金錢	補習	0.607	0.336	0.367	0.313	0.157	0.03	0.223
南陽街	英文	書呆子	補習	0.606	0.431	0.336	0.347	0.099	0.232	0.177
南陽街	教育	惡夢	補習	0.596	0.431	0.402	0.325	0.179	0.215	0.169
用功	英文	金錢	補習	0.595	0.323	0.336	0.313	0.224	0.124	0.03
英文	學費	惡夢	補習	0.594	0.336	0.461	0.325	0.143	0.148	0.238
成績	南陽街	惡夢	補習	0.592	0.426	0.431	0.325	0.134	0.241	0.215
聯考	南陽街	填鴨	補習	0.582	0.384	0.431	0.367	0.203	0.187	0.209
聯考	南陽街	花錢	補習	0.581	0.384	0.431	0.35	0.203	0.187	0.193
賺錢	英文	公車	補習	0.578	0.403	0.336	0.337	0.131	0.229	0.138
壓力	英文	教育	補習	0.574	0.321	0.336	0.402	0.131	0.157	0.196
聯考	英文	填鴨	補習	0.574	0.384	0.336	0.367	0.169	0.187	0.157
重考	花錢	英文	補習	0.569	0.405	0.35	0.336	0.185	0.189	0.148
聯考	花錢	英文	補習	0.566	0.384	0.35	0.336	0.187	0.169	0.148
成績	英文	填鴨	補習	0.565	0.426	0.336	0.367	0.18	0.228	0.157
南陽街	花錢	教育	補習	0.562	0.431	0.35	0.402	0.193	0.179	0.249
南陽街	教育	書呆子	補習	0.557	0.431	0.402	0.347	0.179	0.232	0.211
壓力	南陽街	填鴨	補習	0.555	0.321	0.431	0.367	0.172	0.182	0.209
英文	進修	公車	補習	0.555	0.336	0.437	0.337	0.184	0.138	0.234
壓力	英文	填鴨	補習	0.554	0.321	0.336	0.367	0.131	0.182	0.157
英文	教育	惡夢	補習	0.55	0.336	0.402	0.325	0.196	0.148	0.169
重考	填鴨	金錢	補習	0.549	0.405	0.367	0.313	0.215	0.098	0.223
重考	英文	填鴨	補習	0.547	0.405	0.336	0.367	0.189	0.215	0.157
重考	壓力	英文	補習	0.543	0.405	0.321	0.336	0.199	0.189	0.131
成績	英文	公車	補習	0.541	0.426	0.336	0.337	0.18	0.24	0.138
壓力	英文	公車	補習	0.541	0.321	0.336	0.337	0.131	0.184	0.138
南陽街	學費	惡夢	補習	0.541	0.431	0.461	0.325	0.224	0.215	0.238
用功	英文	學費	補習	0.54	0.323	0.336	0.461	0.224	0.214	0.143
學生	用功	惡夢	補習	0.539	0.436	0.323	0.325	0.209	0.171	0.164
重考	英文	惡夢	補習	0.532	0.405	0.336	0.325	0.189	0.197	0.148
用功	填鴨	公車	補習	0.531	0.323	0.367	0.337	0.233	0.13	0.133
成績	填鴨	公車	補習	0.528	0.426	0.367	0.337	0.228	0.24	0.133
壓力	填鴨	公車	補習	0.525	0.321	0.367	0.337	0.182	0.184	0.133
成績	英文	惡夢	補習	0.518	0.426	0.336	0.325	0.18	0.241	0.148
聯考	壓力	南陽街	補習	0.515	0.384	0.321	0.431	0.245	0.203	0.172
重考	英文	書呆子	補習	0.515	0.405	0.336	0.347	0.189	0.207	0.177
英文	公車	惡夢	補習	0.51	0.336	0.337	0.325	0.138	0.148	0.203
用功	英文	公車	補習	0.505	0.323	0.336	0.337	0.224	0.13	0.138
學生	用功	英文	補習	0.505	0.436	0.323	0.336	0.209	0.157	0.224
聯考	用功	金錢	補習	0.503	0.384	0.323	0.313	0.203	0.191	0.124
英文	教育	書呆子	補習	0.501	0.336	0.402	0.347	0.196	0.177	0.211
重考	壓力	填鴨	補習	0.496	0.405	0.321	0.367	0.199	0.215	0.182
聯考	壓力	英文	補習	0.495	0.384	0.321	0.336	0.245	0.169	0.131
花錢	英文	教育	補習	0.495	0.35	0.336	0.402	0.148	0.249	0.196
用功	學費	惡夢	補習	0.493	0.323	0.461	0.325	0.214	0.164	0.238
聯考	南陽街	金錢	補習	0.491	0.384	0.431	0.313	0.203	0.191	0.243
用功	公車	惡夢	補習	0.488	0.323	0.337	0.325	0.13	0.164	0.203
花錢	英文	惡夢	補習	0.488	0.35	0.336	0.325	0.148	0.228	0.148
用功	大學	惡夢	補習	0.482	0.323	0.385	0.325	0.159	0.164	0.229
英文	填鴨	惡夢	補習	0.481	0.336	0.367	0.325	0.157	0.148	0.243
老師	用功	英文	補習	0.479	0.495	0.323	0.336	0.246	0.206	0.224
南陽街	花錢	惡夢	補習	0.471	0.431	0.35	0.325	0.193	0.215	0.228
重考	花錢	惡夢	補習	0.471	0.405	0.35	0.325	0.185	0.197	0.228
壓力	教育	書呆子	補習	0.467	0.321	0.402	0.347	0.157	0.234	0.211
聯考	填鴨	金錢	補習	0.463	0.384	0.367	0.313	0.187	0.191	0.223
壓力	英文	書呆子	補習	0.462	0.321	0.336	0.347	0.131	0.234	0.177
壓力	用功	公車	補習	0.461	0.321	0.323	0.337	0.205	0.184	0.13
英文	公車	書呆子	補習	0.461	0.336	0.337	0.347	0.138	0.177	0.244
壓力	南陽街	書呆子	補習	0.46	0.321	0.431	0.347	0.172	0.234	0.232
聯考	壓力	填鴨	補習	0.457	0.384	0.321	0.367	0.245	0.187	0.182
南陽街	填鴨	惡夢	補習	0.456	0.431	0.367	0.325	0.209	0.215	0.243
聯考	用功	填鴨	補習	0.451	0.384	0.323	0.367	0.203	0.187	0.233
填鴨	公車	惡夢	補習	0.45	0.367	0.337	0.325	0.133	0.243	0.203
用功	英文	惡夢	補習	0.448	0.323	0.336	0.325	0.224	0.164	0.148
聯考	用功	英文	補習	0.448	0.384	0.323	0.336	0.203	0.169	0.224
重考	填鴨	惡夢	補習	0.442	0.405	0.367	0.325	0.215	0.197	0.243
南陽街	填鴨	金錢	補習	0.436	0.431	0.367	0.313	0.209	0.243	0.223
重考	壓力	書呆子	補習	0.432	0.405	0.321	0.347	0.199	0.207	0.234
花錢	教育	惡夢	補習	0.432	0.35	0.402	0.325	0.249	0.228	0.169
英文	大學	惡夢	補習	0.43	0.336	0.385	0.325	0.239	0.148	0.229
用功	填鴨	金錢	補習	0.424	0.323	0.367	0.313	0.233	0.124	0.223
用功	英文	大學	補習	0.423	0.323	0.336	0.385	0.224	0.159	0.239
壓力	用功	英文	補習	0.42	0.321	0.323	0.336	0.205	0.131	0.224
用功	英文	填鴨	補習	0.413	0.323	0.336	0.367	0.224	0.233	0.157
成績	填鴨	惡夢	補習	0.406	0.426	0.367	0.325	0.228	0.241	0.243
成績	公車	惡夢	補習	0.404	0.426	0.337	0.325	0.24	0.241	0.203
壓力	用功	填鴨	補習	0.39	0.321	0.323	0.367	0.205	0.182	0.233
用功	填鴨	惡夢	補習	0.375	0.323	0.367	0.325	0.233	0.164	0.243
聯考	壓力	用功	補習	0.374	0.384	0.321	0.323	0.245	0.203	0.205
壓力	公車	書呆子	補習	0.342	0.321	0.337	0.347	0.184	0.234	0.244
