				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
清涼	柳丁	小玉	西瓜	0.622	0.279	0.445	0.355	0.161	0.093	0.203
瓜子	消暑	黃色	西瓜	0.575	0.427	0.364	0.266	0.209	0.16	0.113
解渴	小玉	黃色	西瓜	0.538	0.313	0.355	0.266	0.189	0.073	0.134
瓜子	刨冰	黃色	西瓜	0.538	0.427	0.39	0.266	0.247	0.16	0.138
刨冰	小玉	黃色	西瓜	0.533	0.39	0.355	0.266	0.205	0.138	0.134
解渴	瓜子	黃色	西瓜	0.53	0.313	0.427	0.266	0.243	0.073	0.16
消暑	小玉	黃色	西瓜	0.524	0.364	0.355	0.266	0.214	0.113	0.134
口渴	鳳梨	小玉	西瓜	0.522	0.266	0.362	0.355	0.142	0.164	0.154
瓜子	口渴	黃色	西瓜	0.515	0.427	0.266	0.266	0.186	0.16	0.099
柳丁	口渴	小玉	西瓜	0.511	0.445	0.266	0.355	0.188	0.203	0.164
瓜子	小玉	黃色	西瓜	0.508	0.427	0.355	0.266	0.247	0.16	0.134
甜	小玉	黃色	西瓜	0.506	0.343	0.355	0.266	0.144	0.18	0.134
消暑	鳳梨	小玉	西瓜	0.499	0.364	0.362	0.355	0.215	0.214	0.154
解渴	鳳梨	小玉	西瓜	0.498	0.313	0.362	0.355	0.189	0.189	0.154
口渴	小玉	黃色	西瓜	0.489	0.266	0.355	0.266	0.164	0.099	0.134
清涼	芭樂	小玉	西瓜	0.485	0.279	0.302	0.355	0.158	0.093	0.201
清涼	瓜子	小玉	西瓜	0.478	0.279	0.427	0.355	0.244	0.093	0.247
瓜子	消暑	小玉	西瓜	0.477	0.427	0.364	0.355	0.209	0.247	0.214
瓜子	刨冰	小玉	西瓜	0.473	0.427	0.39	0.355	0.247	0.247	0.205
清涼	牛奶	小玉	西瓜	0.465	0.279	0.361	0.355	0.246	0.093	0.191
果汁	小玉	黃色	西瓜	0.464	0.355	0.355	0.266	0.195	0.183	0.134
夏天	柳丁	小玉	西瓜	0.463	0.338	0.445	0.355	0.23	0.242	0.203
夏天	鳳梨	小玉	西瓜	0.458	0.338	0.362	0.355	0.201	0.242	0.154
多汁	瓜子	黃色	西瓜	0.452	0.339	0.427	0.266	0.221	0.199	0.16
瓜子	口渴	小玉	西瓜	0.452	0.427	0.266	0.355	0.186	0.247	0.164
清涼	多汁	小玉	西瓜	0.435	0.279	0.339	0.355	0.221	0.093	0.224
多汁	瓜子	小玉	西瓜	0.43	0.339	0.427	0.355	0.221	0.224	0.247
夏天	芭樂	小玉	西瓜	0.421	0.338	0.302	0.355	0.131	0.242	0.201
夏天	瓜子	黃色	西瓜	0.421	0.338	0.427	0.266	0.243	0.207	0.16
清涼	好吃	柳丁	西瓜	0.418	0.279	0.314	0.445	0.232	0.161	0.227
甜美	鳳梨	小玉	西瓜	0.417	0.26	0.362	0.355	0.212	0.194	0.154
解渴	瓜子	小玉	西瓜	0.416	0.313	0.427	0.355	0.243	0.189	0.247
甜	芭樂	小玉	西瓜	0.408	0.343	0.302	0.355	0.247	0.144	0.201
香甜	小玉	黃色	西瓜	0.405	0.3	0.355	0.266	0.195	0.187	0.134
多汁	小玉	黃色	西瓜	0.402	0.339	0.355	0.266	0.224	0.199	0.134
夏天	好吃	柳丁	西瓜	0.394	0.338	0.314	0.445	0.246	0.23	0.227
口渴	芭樂	小玉	西瓜	0.392	0.266	0.302	0.355	0.166	0.164	0.201
夏天	瓜子	小玉	西瓜	0.388	0.338	0.427	0.355	0.243	0.242	0.247
解渴	芭樂	小玉	西瓜	0.387	0.313	0.302	0.355	0.193	0.189	0.201
牛奶	芭樂	小玉	西瓜	0.384	0.361	0.302	0.355	0.242	0.191	0.201
消暑	芭樂	小玉	西瓜	0.381	0.364	0.302	0.355	0.225	0.214	0.201
夏天	小玉	黃色	西瓜	0.376	0.338	0.355	0.266	0.242	0.207	0.134
清涼	多汁	瓜子	西瓜	0.359	0.279	0.339	0.427	0.221	0.244	0.221
甜美	小玉	黃色	西瓜	0.353	0.26	0.355	0.266	0.194	0.2	0.134
夏天	好吃	黃色	西瓜	0.345	0.338	0.314	0.266	0.246	0.207	0.12
多汁	芭樂	小玉	西瓜	0.332	0.339	0.302	0.355	0.239	0.224	0.201
甜美	芭樂	小玉	西瓜	0.309	0.26	0.302	0.355	0.213	0.194	0.201
甜美	口渴	鳳梨	西瓜	0.303	0.26	0.266	0.362	0.231	0.212	0.142
清涼	多汁	芭樂	西瓜	0.302	0.279	0.339	0.302	0.221	0.158	0.239
清涼	牛奶	芭樂	西瓜	0.296	0.279	0.361	0.302	0.246	0.158	0.242
甜美	口渴	小玉	西瓜	0.292	0.26	0.266	0.355	0.231	0.194	0.164
甜美	口渴	黃色	西瓜	0.262	0.26	0.266	0.266	0.231	0.2	0.099
甜美	口渴	芭樂	西瓜	0.218	0.26	0.266	0.302	0.231	0.213	0.166
