				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
主持人	看戲	眾多	觀眾	0.673	0.36	0.452	0.356	0.136	0.205	0.154
電視	掌聲	大家	觀眾	0.642	0.481	0.452	0.346	0.208	0.187	0.242
電視	掌聲	人群	觀眾	0.639	0.481	0.452	0.368	0.208	0.229	0.225
電視	拍手	熱情	觀眾	0.625	0.481	0.26	0.328	0.086	0.232	0.126
欣賞	主持人	人群	觀眾	0.604	0.412	0.36	0.368	0.159	0.133	0.245
掌聲	眾多	眼睛	觀眾	0.6	0.452	0.356	0.267	0.204	0.127	0.145
主持人	看戲	人群	觀眾	0.582	0.36	0.452	0.368	0.136	0.245	0.219
電視	拍手	人群	觀眾	0.58	0.481	0.26	0.368	0.086	0.229	0.213
鼓掌	眾多	眼睛	觀眾	0.575	0.346	0.356	0.267	0.077	0.172	0.145
看戲	眾多	眼睛	觀眾	0.55	0.452	0.356	0.267	0.154	0.226	0.145
舞台	拍手	眾多	觀眾	0.534	0.356	0.26	0.356	0.213	0.177	0.048
電視	熱情	人群	觀眾	0.531	0.481	0.328	0.368	0.232	0.229	0.184
舞台	反應	歡笑	觀眾	0.529	0.356	0.326	0.412	0.096	0.222	0.245
主持人	拍手	眾多	觀眾	0.513	0.36	0.26	0.356	0.21	0.205	0.048
主持人	反應	歡笑	觀眾	0.509	0.36	0.326	0.412	0.146	0.197	0.245
電視	熱情	大家	觀眾	0.509	0.481	0.328	0.346	0.232	0.187	0.227
主持人	熱情	人群	觀眾	0.497	0.36	0.328	0.368	0.13	0.245	0.184
掌聲	人群	眼睛	觀眾	0.49	0.452	0.368	0.267	0.225	0.127	0.245
拍手	眾多	眼睛	觀眾	0.489	0.26	0.356	0.267	0.048	0.201	0.145
舞台	熱情	眼睛	觀眾	0.488	0.356	0.328	0.267	0.127	0.193	0.143
主持人	反應	人群	觀眾	0.485	0.36	0.326	0.368	0.146	0.245	0.179
主持人	人群	歡笑	觀眾	0.484	0.36	0.368	0.412	0.245	0.197	0.215
主持人	拍手	熱情	觀眾	0.482	0.36	0.26	0.328	0.21	0.13	0.126
舞台	反應	眼睛	觀眾	0.481	0.356	0.326	0.267	0.096	0.193	0.179
主持人	看戲	眼睛	觀眾	0.48	0.36	0.452	0.267	0.136	0.238	0.226
舞台	拍手	熱情	觀眾	0.478	0.356	0.26	0.328	0.213	0.127	0.126
反應	人群	歡笑	觀眾	0.467	0.326	0.368	0.412	0.179	0.245	0.215
表演	眾多	眼睛	觀眾	0.466	0.385	0.356	0.267	0.18	0.217	0.145
舞台	眾多	眼睛	觀眾	0.464	0.356	0.356	0.267	0.177	0.193	0.145
反應	歡笑	大家	觀眾	0.463	0.326	0.412	0.346	0.245	0.127	0.248
表演	反應	歡笑	觀眾	0.453	0.385	0.326	0.412	0.21	0.214	0.245
主持人	熱情	眼睛	觀眾	0.444	0.36	0.328	0.267	0.13	0.238	0.143
拍手	熱情	人群	觀眾	0.432	0.26	0.328	0.368	0.126	0.213	0.184
欣賞	人群	眼睛	觀眾	0.43	0.412	0.368	0.267	0.133	0.239	0.245
表演	熱情	眼睛	觀眾	0.424	0.385	0.328	0.267	0.195	0.217	0.143
拍手	熱情	明星	觀眾	0.423	0.26	0.328	0.275	0.126	0.152	0.162
表演	歡笑	眼睛	觀眾	0.417	0.385	0.412	0.267	0.214	0.217	0.216
舞台	拍手	反應	觀眾	0.404	0.356	0.26	0.326	0.213	0.096	0.228
欣賞	主持人	眼睛	觀眾	0.404	0.412	0.36	0.267	0.159	0.239	0.238
舞台	歡笑	眼睛	觀眾	0.403	0.356	0.412	0.267	0.222	0.193	0.216
看戲	人群	眼睛	觀眾	0.398	0.452	0.368	0.267	0.219	0.226	0.245
主持人	眾多	眼睛	觀眾	0.396	0.36	0.356	0.267	0.205	0.238	0.145
欣賞	舞台	眼睛	觀眾	0.394	0.412	0.356	0.267	0.208	0.239	0.193
主持人	反應	眼睛	觀眾	0.39	0.36	0.326	0.267	0.146	0.238	0.179
熱情	人群	眼睛	觀眾	0.39	0.328	0.368	0.267	0.184	0.143	0.245
反應	歡笑	明星	觀眾	0.389	0.326	0.412	0.275	0.245	0.128	0.249
主持人	歡笑	眼睛	觀眾	0.388	0.36	0.412	0.267	0.197	0.238	0.216
拍手	熱情	眼睛	觀眾	0.384	0.26	0.328	0.267	0.126	0.201	0.143
表演	反應	眼睛	觀眾	0.372	0.385	0.326	0.267	0.21	0.217	0.179
人群	歡笑	眼睛	觀眾	0.371	0.368	0.412	0.267	0.215	0.245	0.216
反應	歡笑	眼睛	觀眾	0.364	0.326	0.412	0.267	0.245	0.179	0.216
主持人	拍手	反應	觀眾	0.361	0.36	0.26	0.326	0.21	0.146	0.228
反應	人群	眼睛	觀眾	0.358	0.326	0.368	0.267	0.179	0.179	0.245
拍手	反應	明星	觀眾	0.351	0.26	0.326	0.275	0.228	0.152	0.128
拍手	反應	人群	觀眾	0.333	0.26	0.326	0.368	0.228	0.213	0.179
主持人	拍手	人群	觀眾	0.32	0.36	0.26	0.368	0.21	0.245	0.213
舞台	拍手	眼睛	觀眾	0.276	0.356	0.26	0.267	0.213	0.193	0.201
主持人	人群	眼睛	觀眾	0.268	0.36	0.368	0.267	0.245	0.238	0.245
拍手	反應	眼睛	觀眾	0.244	0.26	0.326	0.267	0.228	0.201	0.179
主持人	拍手	眼睛	觀眾	0.238	0.36	0.26	0.267	0.21	0.238	0.201
拍手	人群	眼睛	觀眾	0.235	0.26	0.368	0.267	0.213	0.201	0.245
