				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
交通	流氓	鎮暴	警察	0.776	0.46	0.456	0.499	0.172	0.228	0.239
交通	褓母	槍	警察	0.756	0.46	0.26	0.309	0.117	0.117	0.038
交通	褓母	鎮暴	警察	0.744	0.46	0.26	0.499	0.117	0.228	0.13
伯伯	鎮暴	犯罪	警察	0.733	0.342	0.499	0.455	0.196	0.127	0.238
交通	褓母	條子	警察	0.732	0.46	0.26	0.259	0.117	0.071	0.058
交通	槍	流氓	警察	0.72	0.46	0.309	0.456	0.117	0.172	0.214
交通	流氓	手槍	警察	0.717	0.46	0.456	0.362	0.172	0.158	0.23
交通	伯伯	鎮暴	警察	0.712	0.46	0.342	0.499	0.164	0.228	0.196
交通	褓母	手槍	警察	0.707	0.46	0.26	0.362	0.117	0.158	0.1
褓母	鎮暴	犯罪	警察	0.706	0.26	0.499	0.455	0.13	0.139	0.238
交通	壞人	褓母	警察	0.706	0.46	0.421	0.26	0.12	0.117	0.199
交通	褓母	流氓	警察	0.685	0.46	0.26	0.456	0.117	0.172	0.201
正義	交通	臨檢	警察	0.674	0.332	0.46	0.406	0.112	0.172	0.24
罰單	流氓	鎮暴	警察	0.67	0.273	0.456	0.499	0.108	0.21	0.239
哨子	鎮暴	犯罪	警察	0.668	0.266	0.499	0.455	0.194	0.119	0.238
正義	交通	伯伯	警察	0.667	0.332	0.46	0.342	0.112	0.19	0.164
交通	流氓	臨檢	警察	0.663	0.46	0.456	0.406	0.172	0.24	0.246
交通	槍	伯伯	警察	0.661	0.46	0.309	0.342	0.117	0.164	0.168
秩序	伯伯	臨檢	警察	0.66	0.345	0.342	0.406	0.1	0.173	0.159
褓母	流氓	鎮暴	警察	0.645	0.26	0.456	0.499	0.201	0.13	0.239
交通	伯伯	臨檢	警察	0.644	0.46	0.342	0.406	0.164	0.24	0.159
褓母	槍	犯罪	警察	0.643	0.26	0.309	0.455	0.038	0.139	0.203
交通	保衛	流氓	警察	0.638	0.46	0.325	0.456	0.222	0.172	0.209
正義	交通	褓母	警察	0.634	0.332	0.46	0.26	0.112	0.189	0.117
保衛	伯伯	犯罪	警察	0.632	0.325	0.342	0.455	0.181	0.181	0.127
伯伯	臨檢	黑暗	警察	0.629	0.342	0.406	0.257	0.159	0.13	0.086
交通	條子	黑暗	警察	0.629	0.46	0.259	0.257	0.071	0.174	0.101
褓母	罰單	鎮暴	警察	0.624	0.26	0.273	0.499	0.067	0.13	0.21
交通	臨檢	黑暗	警察	0.623	0.46	0.406	0.257	0.24	0.174	0.086
交通	條子	伯伯	警察	0.623	0.46	0.259	0.342	0.071	0.164	0.202
交通	壞人	黑暗	警察	0.615	0.46	0.421	0.257	0.12	0.174	0.229
交通	臨檢	手槍	警察	0.612	0.46	0.406	0.362	0.24	0.158	0.218
褓母	罰單	流氓	警察	0.611	0.26	0.273	0.456	0.067	0.201	0.108
交通	條子	臨檢	警察	0.611	0.46	0.259	0.406	0.071	0.24	0.203
交通	伯伯	手槍	警察	0.609	0.46	0.342	0.362	0.164	0.158	0.232
罰單	伯伯	犯罪	警察	0.608	0.273	0.342	0.455	0.13	0.205	0.127
槍	伯伯	犯罪	警察	0.607	0.309	0.342	0.455	0.168	0.203	0.127
褓母	條子	執法	警察	0.602	0.26	0.259	0.483	0.058	0.111	0.23
交通	鎮暴	黑暗	警察	0.594	0.46	0.499	0.257	0.228	0.174	0.22
交通	伯伯	黑暗	警察	0.59	0.46	0.342	0.257	0.164	0.174	0.13
秩序	臨檢	手槍	警察	0.583	0.345	0.406	0.362	0.173	0.139	0.218
罰單	保衛	流氓	警察	0.582	0.273	0.325	0.456	0.154	0.108	0.209
哨子	流氓	鎮暴	警察	0.58	0.266	0.456	0.499	0.207	0.194	0.239
哨子	保衛	犯罪	警察	0.579	0.266	0.325	0.455	0.167	0.119	0.181
罰單	伯伯	鎮暴	警察	0.577	0.273	0.342	0.499	0.13	0.21	0.196
秩序	伯伯	手槍	警察	0.577	0.345	0.342	0.362	0.1	0.139	0.232
褓母	罰單	犯罪	警察	0.576	0.26	0.273	0.455	0.067	0.139	0.205
褓母	哨子	犯罪	警察	0.576	0.26	0.266	0.455	0.147	0.139	0.119
罰單	鎮暴	犯罪	警察	0.573	0.273	0.499	0.455	0.21	0.205	0.238
褓母	槍	流氓	警察	0.57	0.26	0.309	0.456	0.038	0.201	0.214
交通	條子	保衛	警察	0.57	0.46	0.259	0.325	0.071	0.222	0.181
褓母	條子	犯罪	警察	0.568	0.26	0.259	0.455	0.058	0.139	0.208
秩序	槍	伯伯	警察	0.567	0.345	0.309	0.342	0.159	0.1	0.168
秩序	哨子	臨檢	警察	0.565	0.345	0.266	0.406	0.136	0.173	0.143
交通	保衛	伯伯	警察	0.56	0.46	0.325	0.342	0.222	0.164	0.181
褓母	秩序	手槍	警察	0.559	0.26	0.345	0.362	0.168	0.1	0.139
正義	伯伯	臨檢	警察	0.559	0.332	0.342	0.406	0.19	0.172	0.159
褓母	哨子	執法	警察	0.556	0.26	0.266	0.483	0.147	0.111	0.195
褓母	保衛	犯罪	警察	0.556	0.26	0.325	0.455	0.164	0.139	0.181
交通	槍	黑暗	警察	0.555	0.46	0.309	0.257	0.117	0.174	0.179
褓母	哨子	鎮暴	警察	0.553	0.26	0.266	0.499	0.147	0.13	0.194
罰單	伯伯	黑暗	警察	0.551	0.273	0.342	0.257	0.13	0.06	0.13
罰單	秩序	伯伯	警察	0.551	0.273	0.345	0.342	0.178	0.13	0.1
伯伯	鎮暴	黑暗	警察	0.55	0.342	0.499	0.257	0.196	0.13	0.22
交通	黑暗	手槍	警察	0.549	0.46	0.257	0.362	0.174	0.158	0.198
伯伯	執法	黑暗	警察	0.548	0.342	0.483	0.257	0.18	0.13	0.224
褓母	秩序	槍	警察	0.548	0.26	0.345	0.309	0.168	0.038	0.159
褓母	流氓	手槍	警察	0.547	0.26	0.456	0.362	0.201	0.1	0.23
交通	貪污	褓母	警察	0.545	0.46	0.306	0.26	0.234	0.117	0.13
交通	褓母	保衛	警察	0.543	0.46	0.26	0.325	0.117	0.222	0.164
貪污	秩序	伯伯	警察	0.542	0.306	0.345	0.342	0.176	0.175	0.1
交通	褓母	臨檢	警察	0.539	0.46	0.26	0.406	0.117	0.24	0.23
罰單	鎮暴	黑暗	警察	0.539	0.273	0.499	0.257	0.21	0.06	0.22
壞人	秩序	哨子	警察	0.536	0.421	0.345	0.266	0.192	0.168	0.136
交通	貪污	伯伯	警察	0.535	0.46	0.306	0.342	0.234	0.164	0.175
