				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
安靜	功名	課本	讀書	0.756	0.451	0.322	0.451	0.088	0.208	0.172
升學	休息	氣質	讀書	0.75	0.491	0.28	0.398	0.123	0.188	0.108
用功	充實	眼鏡	讀書	0.702	0.446	0.398	0.279	0.241	0.074	0.105
知識	安靜	功名	讀書	0.7	0.444	0.451	0.322	0.239	0.191	0.088
休息	課本	氣質	讀書	0.68	0.28	0.451	0.398	0.116	0.108	0.223
努力	升學	氣質	讀書	0.675	0.283	0.491	0.398	0.192	0.118	0.188
努力	課本	氣質	讀書	0.672	0.283	0.451	0.398	0.119	0.118	0.223
玩樂	認真	功名	讀書	0.652	0.425	0.419	0.322	0.239	0.215	0.06
用功	玩樂	眼鏡	讀書	0.648	0.446	0.425	0.279	0.226	0.074	0.202
努力	升學	安靜	讀書	0.647	0.283	0.491	0.451	0.192	0.244	0.143
認真	眼鏡	功名	讀書	0.639	0.419	0.279	0.322	0.174	0.06	0.146
安靜	學歷	功名	讀書	0.639	0.451	0.389	0.322	0.196	0.088	0.24
用功	玩樂	學歷	讀書	0.637	0.446	0.425	0.389	0.226	0.19	0.207
功名	課本	氣質	讀書	0.627	0.322	0.451	0.398	0.172	0.148	0.223
努力	安靜	課本	讀書	0.615	0.283	0.451	0.451	0.244	0.119	0.208
休息	功名	課本	讀書	0.613	0.28	0.322	0.451	0.151	0.116	0.172
努力	升學	無聊	讀書	0.606	0.283	0.491	0.404	0.192	0.153	0.228
用功	玩樂	學位	讀書	0.602	0.446	0.425	0.389	0.226	0.222	0.21
充實	功名	課本	讀書	0.597	0.398	0.322	0.451	0.154	0.248	0.172
升學	安靜	眼鏡	讀書	0.595	0.491	0.451	0.279	0.143	0.247	0.236
升學	休息	眼鏡	讀書	0.593	0.491	0.28	0.279	0.123	0.247	0.087
充實	眼鏡	功名	讀書	0.593	0.398	0.279	0.322	0.105	0.154	0.146
休息	功名	氣質	讀書	0.592	0.28	0.322	0.398	0.151	0.108	0.148
安靜	眼鏡	功名	讀書	0.582	0.451	0.279	0.322	0.236	0.088	0.146
知識	休息	功名	讀書	0.582	0.444	0.28	0.322	0.123	0.191	0.151
升學	認真	眼鏡	讀書	0.577	0.491	0.419	0.279	0.19	0.247	0.174
努力	玩樂	學歷	讀書	0.575	0.283	0.425	0.389	0.158	0.157	0.207
努力	玩樂	眼鏡	讀書	0.568	0.283	0.425	0.279	0.158	0.059	0.202
聯考	安靜	功名	讀書	0.567	0.282	0.451	0.322	0.18	0.22	0.088
玩樂	認真	學位	讀書	0.56	0.425	0.419	0.389	0.239	0.21	0.224
用功	無聊	學位	讀書	0.558	0.446	0.404	0.389	0.236	0.222	0.224
努力	升學	眼鏡	讀書	0.555	0.283	0.491	0.279	0.192	0.059	0.247
休息	學歷	功名	讀書	0.555	0.28	0.389	0.322	0.045	0.151	0.24
努力	玩樂	學位	讀書	0.554	0.283	0.425	0.389	0.158	0.176	0.21
用功	聯考	無聊	讀書	0.534	0.446	0.282	0.404	0.203	0.236	0.16
努力	安靜	學歷	讀書	0.527	0.283	0.451	0.389	0.244	0.157	0.196
努力	無聊	學位	讀書	0.524	0.283	0.404	0.389	0.153	0.176	0.224
努力	聯考	無聊	讀書	0.517	0.283	0.282	0.404	0.14	0.153	0.16
用功	充實	聯考	讀書	0.515	0.446	0.398	0.282	0.241	0.203	0.166
聯考	認真	功名	讀書	0.511	0.282	0.419	0.322	0.232	0.22	0.06
努力	安靜	學位	讀書	0.509	0.283	0.451	0.389	0.244	0.176	0.195
玩樂	認真	眼鏡	讀書	0.508	0.425	0.419	0.279	0.239	0.202	0.174
用功	聯考	玩樂	讀書	0.507	0.446	0.282	0.425	0.203	0.226	0.218
知識	努力	安靜	讀書	0.504	0.444	0.283	0.451	0.192	0.239	0.244
休息	眼鏡	功名	讀書	0.496	0.28	0.279	0.322	0.087	0.151	0.146
努力	安靜	眼鏡	讀書	0.475	0.283	0.451	0.279	0.244	0.059	0.236
興趣	聯考	休息	讀書	0.475	0.405	0.282	0.28	0.228	0.152	0.112
興趣	休息	功名	讀書	0.475	0.405	0.28	0.322	0.152	0.229	0.151
努力	聯考	玩樂	讀書	0.475	0.283	0.282	0.425	0.14	0.158	0.218
玩樂	學歷	功名	讀書	0.474	0.425	0.389	0.322	0.207	0.215	0.24
玩樂	眼鏡	功名	讀書	0.462	0.425	0.279	0.322	0.202	0.215	0.146
充實	聯考	功名	讀書	0.461	0.398	0.282	0.322	0.166	0.154	0.22
努力	聯考	安靜	讀書	0.452	0.283	0.282	0.451	0.14	0.244	0.18
聯考	無聊	功名	讀書	0.443	0.282	0.404	0.322	0.16	0.22	0.185
聯考	玩樂	認真	讀書	0.438	0.282	0.425	0.419	0.218	0.232	0.239
聯考	休息	功名	讀書	0.4	0.282	0.28	0.322	0.112	0.22	0.151
聯考	玩樂	功名	讀書	0.376	0.282	0.425	0.322	0.218	0.22	0.215
興趣	努力	聯考	讀書	0.37	0.405	0.283	0.282	0.232	0.228	0.14
興趣	聯考	功名	讀書	0.332	0.405	0.282	0.322	0.228	0.229	0.22
