				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
便利	蔬果	收銀機	超市	0.679	0.432	0.485	0.424	0.211	0.212	0.239
方便	蔬果	收銀機	超市	0.667	0.283	0.485	0.424	0.139	0.147	0.239
蔬果	收銀機	便宜	超市	0.66	0.485	0.424	0.347	0.239	0.178	0.179
水果	主婦	打折	超市	0.655	0.478	0.34	0.44	0.234	0.239	0.13
便利	蔬果	購買	超市	0.65	0.432	0.485	0.301	0.211	0.221	0.135
蔬果	收銀機	打折	超市	0.64	0.485	0.424	0.44	0.239	0.248	0.222
便利	蔬果	減價	超市	0.631	0.432	0.485	0.326	0.211	0.153	0.247
便利	蔬果	推車	超市	0.627	0.432	0.485	0.321	0.211	0.181	0.219
水果	便宜	主婦	超市	0.623	0.478	0.347	0.34	0.239	0.234	0.069
便利	蔬果	特價	超市	0.612	0.432	0.485	0.276	0.211	0.156	0.214
蔬果	購買	收銀機	超市	0.611	0.485	0.301	0.424	0.135	0.239	0.224
方便	蔬果	減價	超市	0.597	0.283	0.485	0.326	0.139	0.11	0.247
方便	蔬果	特價	超市	0.591	0.283	0.485	0.276	0.139	0.1	0.214
便宜	主婦	物品	超市	0.585	0.347	0.34	0.341	0.069	0.212	0.162
方便	水果	減價	超市	0.579	0.283	0.478	0.326	0.172	0.11	0.225
便利	食物	特價	超市	0.577	0.432	0.386	0.276	0.222	0.156	0.138
蔬果	推車	打折	超市	0.575	0.485	0.321	0.44	0.219	0.248	0.203
便利	主婦	物品	超市	0.565	0.432	0.34	0.341	0.138	0.249	0.162
便利	食物	減價	超市	0.562	0.432	0.386	0.326	0.222	0.153	0.205
方便	水果	特價	超市	0.56	0.283	0.478	0.276	0.172	0.1	0.205
方便	水果	主婦	超市	0.553	0.283	0.478	0.34	0.172	0.142	0.234
便利	收銀機	物品	超市	0.524	0.432	0.424	0.341	0.212	0.249	0.212
方便	商品	主婦	超市	0.52	0.283	0.412	0.34	0.193	0.142	0.181
方便	買賣	蔬果	超市	0.518	0.283	0.289	0.485	0.165	0.139	0.234
便利	食物	購買	超市	0.51	0.432	0.386	0.301	0.222	0.221	0.165
方便	蔬果	推車	超市	0.51	0.283	0.485	0.321	0.139	0.22	0.219
收銀機	便宜	物品	超市	0.509	0.424	0.347	0.341	0.179	0.212	0.212
便利	主婦	特價	超市	0.508	0.432	0.34	0.276	0.138	0.156	0.246
方便	食物	特價	超市	0.506	0.283	0.386	0.276	0.201	0.1	0.138
便利	購買	收銀機	超市	0.499	0.432	0.301	0.424	0.221	0.212	0.224
方便	蔬果	販賣	超市	0.497	0.283	0.485	0.261	0.139	0.143	0.25
便利	物品	減價	超市	0.489	0.432	0.341	0.326	0.249	0.153	0.208
方便	水果	買賣	超市	0.484	0.283	0.478	0.289	0.172	0.165	0.228
便利	特價	物品	超市	0.478	0.432	0.276	0.341	0.156	0.249	0.166
方便	食物	減價	超市	0.477	0.283	0.386	0.326	0.201	0.11	0.205
方便	收銀機	物品	超市	0.463	0.283	0.424	0.341	0.147	0.226	0.212
方便	食物	買賣	超市	0.459	0.283	0.386	0.289	0.201	0.165	0.132
蔬果	收銀機	販賣	超市	0.449	0.485	0.424	0.261	0.239	0.25	0.233
方便	收銀機	販賣	超市	0.446	0.283	0.424	0.261	0.147	0.143	0.233
蔬果	販賣	打折	超市	0.44	0.485	0.261	0.44	0.25	0.248	0.248
方便	主婦	物品	超市	0.434	0.283	0.34	0.341	0.142	0.226	0.162
蔬果	便宜	販賣	超市	0.428	0.485	0.347	0.261	0.178	0.25	0.237
收銀機	販賣	打折	超市	0.423	0.424	0.261	0.44	0.233	0.222	0.248
方便	主婦	特價	超市	0.411	0.283	0.34	0.276	0.142	0.1	0.246
水果	主婦	特價	超市	0.409	0.478	0.34	0.276	0.234	0.205	0.246
方便	特價	物品	超市	0.409	0.283	0.276	0.341	0.1	0.226	0.166
食物	販賣	打折	超市	0.407	0.386	0.261	0.44	0.211	0.221	0.248
方便	物品	減價	超市	0.405	0.283	0.341	0.326	0.226	0.11	0.208
收銀機	便宜	販賣	超市	0.384	0.424	0.347	0.261	0.179	0.233	0.237
主婦	特價	物品	超市	0.383	0.34	0.276	0.341	0.246	0.162	0.166
方便	食物	販賣	超市	0.374	0.283	0.386	0.261	0.201	0.143	0.211
方便	商品	推車	超市	0.371	0.283	0.412	0.321	0.193	0.22	0.233
食物	便宜	販賣	超市	0.307	0.386	0.347	0.261	0.239	0.211	0.237
