				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
運動	巴西	裁判	足球	0.754	0.332	0.422	0.488	0.07	0.24	0.177
運動	巴西	守門員	足球	0.753	0.332	0.422	0.489	0.07	0.227	0.192
運動	巴西	球門	足球	0.684	0.332	0.422	0.453	0.07	0.225	0.226
巴西	卡通	裁判	足球	0.684	0.422	0.322	0.488	0.187	0.177	0.184
巴西	射門	卡通	足球	0.677	0.422	0.423	0.322	0.142	0.187	0.161
卡通	法國	裁判	足球	0.661	0.322	0.272	0.488	0.142	0.184	0.094
巴西	卡通	規則	足球	0.658	0.422	0.322	0.261	0.187	0.038	0.121
巴西	草地	規則	足球	0.646	0.422	0.354	0.261	0.239	0.038	0.113
巴西	守門員	卡通	足球	0.644	0.422	0.489	0.322	0.192	0.187	0.209
巴西	卡通	體能	足球	0.643	0.422	0.322	0.307	0.187	0.128	0.093
射門	卡通	法國	足球	0.643	0.423	0.322	0.272	0.161	0.072	0.142
巴西	守門員	草地	足球	0.64	0.422	0.489	0.354	0.192	0.239	0.193
比賽	巴西	卡通	足球	0.623	0.447	0.422	0.322	0.178	0.202	0.187
巴西	卡通	球場	足球	0.616	0.422	0.322	0.418	0.187	0.178	0.181
運動	巴西	卡通	足球	0.613	0.332	0.422	0.322	0.07	0.205	0.187
巴西	卡通	競賽	足球	0.611	0.422	0.322	0.319	0.187	0.089	0.176
巴西	草地	競賽	足球	0.589	0.422	0.354	0.319	0.239	0.089	0.177
巴西	球門	卡通	足球	0.589	0.422	0.453	0.322	0.226	0.187	0.195
巴西	射門	草地	足球	0.589	0.422	0.423	0.354	0.142	0.239	0.229
守門員	草地	法國	足球	0.584	0.489	0.354	0.272	0.193	0.158	0.179
巴西	卡通	選手	足球	0.576	0.422	0.322	0.318	0.187	0.203	0.096
巴西	規則	體能	足球	0.575	0.422	0.261	0.307	0.038	0.128	0.248
守門員	卡通	法國	足球	0.573	0.489	0.322	0.272	0.209	0.158	0.142
射門	草地	法國	足球	0.569	0.423	0.354	0.272	0.229	0.072	0.179
運動	巴西	草地	足球	0.553	0.332	0.422	0.354	0.07	0.245	0.239
球門	卡通	法國	足球	0.551	0.453	0.322	0.272	0.195	0.159	0.142
守門員	草地	卡通	足球	0.528	0.489	0.354	0.322	0.193	0.209	0.233
運動	法國	裁判	足球	0.516	0.332	0.272	0.488	0.242	0.24	0.094
卡通	體能	法國	足球	0.514	0.322	0.307	0.272	0.093	0.142	0.151
運動	卡通	裁判	足球	0.513	0.332	0.322	0.488	0.205	0.24	0.184
運動	守門員	草地	足球	0.509	0.332	0.489	0.354	0.227	0.245	0.193
比賽	卡通	法國	足球	0.505	0.447	0.322	0.272	0.202	0.191	0.142
運動	守門員	卡通	足球	0.501	0.332	0.489	0.322	0.227	0.205	0.209
巴西	草地	體能	足球	0.493	0.422	0.354	0.307	0.239	0.128	0.222
卡通	球場	法國	足球	0.482	0.322	0.418	0.272	0.181	0.142	0.207
運動	球門	卡通	足球	0.482	0.332	0.453	0.322	0.225	0.205	0.195
射門	草地	卡通	足球	0.476	0.423	0.354	0.322	0.229	0.161	0.233
草地	卡通	規則	足球	0.469	0.354	0.322	0.261	0.233	0.113	0.121
運動	守門員	法國	足球	0.466	0.332	0.489	0.272	0.227	0.242	0.158
草地	卡通	選手	足球	0.453	0.354	0.322	0.318	0.233	0.211	0.096
巴西	草地	選手	足球	0.441	0.422	0.354	0.318	0.239	0.203	0.211
巴西	草地	卡通	足球	0.438	0.422	0.354	0.322	0.239	0.187	0.233
草地	卡通	體能	足球	0.433	0.354	0.322	0.307	0.233	0.222	0.093
運動	球門	法國	足球	0.431	0.332	0.453	0.272	0.225	0.242	0.159
卡通	規則	體能	足球	0.427	0.322	0.261	0.307	0.121	0.093	0.248
草地	卡通	競賽	足球	0.408	0.354	0.322	0.319	0.233	0.177	0.176
草地	規則	法國	足球	0.407	0.354	0.261	0.272	0.113	0.179	0.187
卡通	規則	法國	足球	0.405	0.322	0.261	0.272	0.121	0.142	0.187
草地	卡通	法國	足球	0.392	0.354	0.322	0.272	0.233	0.179	0.142
卡通	法國	競賽	足球	0.386	0.322	0.272	0.319	0.142	0.176	0.209
草地	體能	法國	足球	0.38	0.354	0.307	0.272	0.222	0.179	0.151
草地	法國	競賽	足球	0.379	0.354	0.272	0.319	0.179	0.177	0.209
草地	規則	體能	足球	0.337	0.354	0.261	0.307	0.113	0.222	0.248
運動	卡通	法國	足球	0.337	0.332	0.322	0.272	0.205	0.242	0.142
運動	草地	卡通	足球	0.324	0.332	0.354	0.322	0.245	0.205	0.233
運動	草地	法國	足球	0.291	0.332	0.354	0.272	0.245	0.242	0.179
規則	體能	法國	足球	0.254	0.261	0.307	0.272	0.248	0.187	0.151
