				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
紅色	性能	兜風	跑車	0.794	0.39	0.389	0.499	0.081	0.213	0.191
美女	紅色	性能	跑車	0.76	0.373	0.39	0.389	0.158	0.152	0.081
紅色	兜風	奢侈	跑車	0.731	0.39	0.499	0.308	0.213	0.112	0.142
速度	紅色	兜風	跑車	0.726	0.295	0.39	0.499	0.117	0.128	0.213
性能	兜風	金錢	跑車	0.702	0.389	0.499	0.398	0.191	0.16	0.235
美女	性能	兜風	跑車	0.701	0.373	0.389	0.499	0.152	0.217	0.191
金錢	炫	機車	跑車	0.696	0.398	0.32	0.437	0.146	0.205	0.109
帥氣	奢侈	公路	跑車	0.679	0.449	0.308	0.373	0.202	0.096	0.152
美女	紅色	兜風	跑車	0.674	0.373	0.39	0.499	0.158	0.217	0.213
金錢	炫	公路	跑車	0.673	0.398	0.32	0.373	0.146	0.153	0.119
紅色	性能	奢侈	跑車	0.671	0.39	0.389	0.308	0.081	0.112	0.223
紅色	奢侈	公路	跑車	0.664	0.39	0.308	0.373	0.112	0.142	0.152
美女	機車	奢侈	跑車	0.664	0.373	0.437	0.308	0.218	0.212	0.024
速度	兜風	金錢	跑車	0.658	0.295	0.499	0.398	0.128	0.172	0.235
紅色	性能	馳騁	跑車	0.65	0.39	0.389	0.34	0.081	0.203	0.186
速度	美女	兜風	跑車	0.648	0.295	0.373	0.499	0.174	0.128	0.217
兜風	金錢	炫	跑車	0.648	0.499	0.398	0.32	0.235	0.189	0.146
紅色	炫	公路	跑車	0.646	0.39	0.32	0.373	0.175	0.142	0.119
性能	兜風	奢侈	跑車	0.641	0.389	0.499	0.308	0.191	0.223	0.142
機車	奢侈	馳騁	跑車	0.639	0.437	0.308	0.34	0.024	0.241	0.181
美女	昂貴	機車	跑車	0.632	0.373	0.353	0.437	0.159	0.218	0.155
紅色	兜風	炫	跑車	0.632	0.39	0.499	0.32	0.213	0.175	0.189
美女	昂貴	兜風	跑車	0.628	0.373	0.353	0.499	0.159	0.217	0.222
美女	性能	馳騁	跑車	0.627	0.373	0.389	0.34	0.152	0.137	0.186
速度	兜風	奢侈	跑車	0.626	0.295	0.499	0.308	0.128	0.206	0.142
紅色	性能	炫	跑車	0.619	0.39	0.389	0.32	0.081	0.175	0.224
昂貴	炫	機車	跑車	0.617	0.353	0.32	0.437	0.229	0.155	0.109
美女	炫	機車	跑車	0.611	0.373	0.32	0.437	0.192	0.218	0.109
美女	兜風	奢侈	跑車	0.61	0.373	0.499	0.308	0.217	0.212	0.142
美女	流線型	公路	跑車	0.609	0.373	0.454	0.373	0.133	0.247	0.209
速度	美女	紅色	跑車	0.608	0.295	0.373	0.39	0.174	0.117	0.158
美女	流線型	奢侈	跑車	0.605	0.373	0.454	0.308	0.133	0.212	0.184
美女	紅色	馳騁	跑車	0.604	0.373	0.39	0.34	0.158	0.137	0.203
性能	兜風	炫	跑車	0.604	0.389	0.499	0.32	0.191	0.224	0.189
美女	兜風	炫	跑車	0.594	0.373	0.499	0.32	0.217	0.192	0.189
流線型	奢侈	公路	跑車	0.589	0.454	0.308	0.373	0.184	0.209	0.152
美女	紅色	奢侈	跑車	0.588	0.373	0.39	0.308	0.158	0.212	0.112
美女	紅色	公路	跑車	0.587	0.373	0.39	0.373	0.158	0.247	0.142
美女	昂貴	馳騁	跑車	0.585	0.373	0.353	0.34	0.159	0.137	0.185
速度	昂貴	兜風	跑車	0.578	0.295	0.353	0.499	0.219	0.128	0.222
速度	機車	奢侈	跑車	0.578	0.295	0.437	0.308	0.231	0.206	0.024
性能	金錢	炫	跑車	0.578	0.389	0.398	0.32	0.16	0.224	0.146
炫	機車	馳騁	跑車	0.576	0.32	0.437	0.34	0.109	0.171	0.241
美女	炫	流線型	跑車	0.573	0.373	0.32	0.454	0.192	0.133	0.248
炫	流線型	公路	跑車	0.57	0.32	0.454	0.373	0.248	0.119	0.209
速度	美女	流線型	跑車	0.564	0.295	0.373	0.454	0.174	0.25	0.133
性能	金錢	馳騁	跑車	0.563	0.389	0.398	0.34	0.16	0.186	0.219
速度	紅色	奢侈	跑車	0.557	0.295	0.39	0.308	0.117	0.206	0.112
美女	紅色	炫	跑車	0.556	0.373	0.39	0.32	0.158	0.192	0.175
美女	機車	馳騁	跑車	0.555	0.373	0.437	0.34	0.218	0.137	0.241
昂貴	炫	公路	跑車	0.552	0.353	0.32	0.373	0.229	0.146	0.119
昂貴	機車	馳騁	跑車	0.549	0.353	0.437	0.34	0.155	0.185	0.241
美女	昂貴	公路	跑車	0.547	0.373	0.353	0.373	0.159	0.247	0.146
紅色	奢侈	馳騁	跑車	0.541	0.39	0.308	0.34	0.112	0.203	0.181
美女	炫	馳騁	跑車	0.532	0.373	0.32	0.34	0.192	0.137	0.171
昂貴	兜風	炫	跑車	0.532	0.353	0.499	0.32	0.222	0.229	0.189
速度	帥氣	奢侈	跑車	0.53	0.295	0.449	0.308	0.113	0.206	0.202
帥氣	性能	奢侈	跑車	0.527	0.449	0.389	0.308	0.193	0.202	0.223
速度	金錢	機車	跑車	0.522	0.295	0.398	0.437	0.172	0.231	0.205
金錢	炫	馳騁	跑車	0.521	0.398	0.32	0.34	0.146	0.219	0.171
美女	性能	炫	跑車	0.513	0.373	0.389	0.32	0.152	0.192	0.224
金錢	機車	馳騁	跑車	0.511	0.398	0.437	0.34	0.205	0.219	0.241
美女	炫	公路	跑車	0.507	0.373	0.32	0.373	0.192	0.247	0.119
速度	紅色	馳騁	跑車	0.501	0.295	0.39	0.34	0.117	0.204	0.203
紅色	炫	馳騁	跑車	0.5	0.39	0.32	0.34	0.175	0.203	0.171
速度	美女	馳騁	跑車	0.492	0.295	0.373	0.34	0.174	0.204	0.137
美女	奢侈	馳騁	跑車	0.491	0.373	0.308	0.34	0.212	0.137	0.181
美女	性能	奢侈	跑車	0.482	0.373	0.389	0.308	0.152	0.212	0.223
速度	美女	機車	跑車	0.481	0.295	0.373	0.437	0.174	0.231	0.218
速度	昂貴	機車	跑車	0.48	0.295	0.353	0.437	0.219	0.231	0.155
速度	美女	昂貴	跑車	0.469	0.295	0.373	0.353	0.174	0.219	0.159
性能	炫	馳騁	跑車	0.468	0.389	0.32	0.34	0.224	0.186	0.171
昂貴	比賽	炫	跑車	0.466	0.353	0.423	0.32	0.238	0.229	0.162
美女	昂貴	炫	跑車	0.465	0.373	0.353	0.32	0.159	0.192	0.229
性能	奢侈	馳騁	跑車	0.447	0.389	0.308	0.34	0.223	0.186	0.181
美女	奢侈	公路	跑車	0.442	0.373	0.308	0.373	0.212	0.247	0.152
速度	金錢	馳騁	跑車	0.438	0.295	0.398	0.34	0.172	0.204	0.219
昂貴	炫	馳騁	跑車	0.427	0.353	0.32	0.34	0.229	0.185	0.171
速度	流線型	奢侈	跑車	0.416	0.295	0.454	0.308	0.25	0.206	0.184
速度	機車	馳騁	跑車	0.396	0.295	0.437	0.34	0.231	0.204	0.241
速度	美女	奢侈	跑車	0.383	0.295	0.373	0.308	0.174	0.206	0.212
速度	昂貴	馳騁	跑車	0.38	0.295	0.353	0.34	0.219	0.204	0.185
速度	奢侈	馳騁	跑車	0.351	0.295	0.308	0.34	0.206	0.204	0.181
