				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
不平	工程	車子	路面	0.788	0.388	0.44	0.422	0.131	0.135	0.196
不平	斑馬線	工程	路面	0.783	0.388	0.445	0.44	0.128	0.131	0.23
凹凸	工程	車子	路面	0.748	0.342	0.44	0.422	0.106	0.154	0.196
不平	石頭	交通	路面	0.747	0.388	0.3	0.493	0.159	0.179	0.095
斑馬線	光滑	工程	路面	0.708	0.445	0.386	0.44	0.157	0.23	0.176
平坦	工程	車子	路面	0.703	0.441	0.44	0.422	0.193	0.211	0.196
凹凸	斑馬線	工程	路面	0.702	0.342	0.445	0.44	0.189	0.106	0.23
石頭	交通	平直	路面	0.701	0.3	0.493	0.323	0.095	0.15	0.17
平坦	斑馬線	工程	路面	0.683	0.441	0.445	0.44	0.219	0.193	0.23
光滑	工程	車子	路面	0.682	0.386	0.44	0.422	0.176	0.195	0.196
平坦	石頭	交通	路面	0.68	0.441	0.3	0.493	0.234	0.224	0.095
凹凸	顛簸	工程	路面	0.677	0.342	0.349	0.44	0.222	0.106	0.126
工程	車子	平直	路面	0.673	0.44	0.422	0.323	0.196	0.155	0.161
斑馬線	工程	平直	路面	0.659	0.445	0.44	0.323	0.23	0.163	0.155
顛簸	斑馬線	工程	路面	0.659	0.349	0.445	0.44	0.219	0.126	0.23
不平	石頭	工程	路面	0.656	0.388	0.3	0.44	0.159	0.131	0.181
顛簸	光滑	工程	路面	0.656	0.349	0.386	0.44	0.218	0.126	0.176
顛簸	交通	光滑	路面	0.627	0.349	0.493	0.386	0.228	0.218	0.156
垃圾	車子	平直	路面	0.622	0.32	0.422	0.323	0.165	0.118	0.161
凹凸	石頭	交通	路面	0.617	0.342	0.3	0.493	0.211	0.212	0.095
坎坷	工程	車子	路面	0.612	0.271	0.44	0.422	0.189	0.137	0.196
不平	垃圾	車子	路面	0.61	0.388	0.32	0.422	0.22	0.135	0.165
石頭	坎坷	交通	路面	0.605	0.3	0.271	0.493	0.167	0.095	0.197
平坦	垃圾	車子	路面	0.603	0.441	0.32	0.422	0.205	0.211	0.165
斑馬線	垃圾	平直	路面	0.601	0.445	0.32	0.323	0.206	0.163	0.118
不平	斑馬線	垃圾	路面	0.599	0.388	0.445	0.32	0.128	0.22	0.206
凹凸	工程	平直	路面	0.598	0.342	0.44	0.323	0.106	0.245	0.155
交通	垃圾	平直	路面	0.597	0.493	0.32	0.323	0.25	0.17	0.118
凹凸	垃圾	車子	路面	0.596	0.342	0.32	0.422	0.169	0.154	0.165
顛簸	斑馬線	光滑	路面	0.587	0.349	0.445	0.386	0.219	0.218	0.157
凹凸	石頭	工程	路面	0.584	0.342	0.3	0.44	0.211	0.106	0.181
石頭	工程	平直	路面	0.577	0.3	0.44	0.323	0.181	0.15	0.155
平坦	斑馬線	垃圾	路面	0.576	0.441	0.445	0.32	0.219	0.205	0.206
平坦	交通	垃圾	路面	0.575	0.441	0.493	0.32	0.224	0.205	0.25
平坦	石頭	工程	路面	0.572	0.441	0.3	0.44	0.234	0.193	0.181
交通	光滑	垃圾	路面	0.551	0.493	0.386	0.32	0.156	0.25	0.242
不平	交通	垃圾	路面	0.551	0.388	0.493	0.32	0.179	0.22	0.25
坎坷	斑馬線	工程	路面	0.55	0.271	0.445	0.44	0.186	0.189	0.23
斑馬線	光滑	垃圾	路面	0.546	0.445	0.386	0.32	0.157	0.206	0.242
凹凸	斑馬線	垃圾	路面	0.543	0.342	0.445	0.32	0.189	0.169	0.206
顛簸	斑馬線	垃圾	路面	0.534	0.349	0.445	0.32	0.219	0.155	0.206
凹凸	交通	平直	路面	0.53	0.342	0.493	0.323	0.212	0.245	0.17
顛簸	交通	垃圾	路面	0.53	0.349	0.493	0.32	0.228	0.155	0.25
凹凸	車子	平直	路面	0.528	0.342	0.422	0.323	0.154	0.245	0.161
光滑	垃圾	車子	路面	0.527	0.386	0.32	0.422	0.242	0.195	0.165
凹凸	交通	垃圾	路面	0.524	0.342	0.493	0.32	0.212	0.169	0.25
凹凸	顛簸	交通	路面	0.523	0.342	0.349	0.493	0.222	0.212	0.228
凹凸	斑馬線	平直	路面	0.514	0.342	0.445	0.323	0.189	0.245	0.163
凹凸	坎坷	工程	路面	0.512	0.342	0.271	0.44	0.245	0.106	0.189
坎坷	垃圾	車子	路面	0.507	0.271	0.32	0.422	0.204	0.137	0.165
凹凸	顛簸	斑馬線	路面	0.507	0.342	0.349	0.445	0.222	0.189	0.219
凹凸	坎坷	車子	路面	0.499	0.342	0.271	0.422	0.245	0.154	0.137
石頭	坎坷	工程	路面	0.474	0.3	0.271	0.44	0.167	0.181	0.189
凹凸	顛簸	垃圾	路面	0.466	0.342	0.349	0.32	0.222	0.169	0.155
凹凸	垃圾	平直	路面	0.453	0.342	0.32	0.323	0.169	0.245	0.118
凹凸	坎坷	交通	路面	0.452	0.342	0.271	0.493	0.245	0.212	0.197
顛簸	光滑	垃圾	路面	0.441	0.349	0.386	0.32	0.218	0.155	0.242
坎坷	斑馬線	垃圾	路面	0.439	0.271	0.445	0.32	0.186	0.204	0.206
凹凸	坎坷	斑馬線	路面	0.438	0.342	0.271	0.445	0.245	0.189	0.186
坎坷	交通	垃圾	路面	0.432	0.271	0.493	0.32	0.197	0.204	0.25
凹凸	石頭	平直	路面	0.36	0.342	0.3	0.323	0.211	0.245	0.15
凹凸	坎坷	垃圾	路面	0.314	0.342	0.271	0.32	0.245	0.169	0.204
凹凸	石頭	坎坷	路面	0.291	0.342	0.3	0.271	0.211	0.245	0.167
